id,quality,tags,status,gate,manual_check,local_paths,local_exists,urls,db_hits,next_action,reference,note
"SRC-A-001","primær","A-feed, baseline","db-linked","external-ready-candidate","false","research/bibliotek/akademia/nmbu/foods-of-norway-novel-feed-2024.md","research/bibliotek/akademia/nmbu/foods-of-norway-novel-feed-2024.md:yes","","Document:cmmy00hak001wio0d7zi6ujtl -> Doc:cmmy00hak001wio0d7zi6ujtl (Novel Microbial Protein Feed Ingredients for Sustainable Salmon Aquaculture) [path:foods-of-norway-novel-feed-2024.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/nmbu/foods-of-norway-novel-feed-2024.md","NMBU/Foods of Norway-studie om mikrobielt protein som erstatning for soyaprotein i laksefôr."
"SRC-A-002","sekundær","A-feed, finance","db-linked","external-ready-candidate","false","research/bibliotek/akademia/internasjonalt/nordic-protein-shift-research-2024.md","research/bibliotek/akademia/internasjonalt/nordic-protein-shift-research-2024.md:yes","","Document:cmmxvfmo7000c1i0di9mwo5mj -> Doc:cmmxvfmo7000c1i0di9mwo5mj (Nordic Alternative Protein Research Ecosystem) [path:nordic-protein-shift-research-2024.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/internasjonalt/nordic-protein-shift-research-2024.md","GFI Europe-kartlegging av nordisk alternativ-protein-forskning og finansiering."
"SRC-A-003","sekundær","A-feed, B-sidestream, policy","db-linked","external-ready-candidate","false","research/bibliotek/akademia/pubmed/van-der-fels-klerx-hj-2024-framework-for-evaluation-of-food.md","research/bibliotek/akademia/pubmed/van-der-fels-klerx-hj-2024-framework-for-evaluation-of-food.md:yes","","Document:cmnyng1l1005od50dp83156r2 -> Doc:cmnyng1l1005od50dp83156r2 (Framework for evaluation of food safety in the circular food system) [path:van-der-fels-klerx-hj-2024-framework-for-evaluation-of-food.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/pubmed/van-der-fels-klerx-hj-2024-framework-for-evaluation-of-food.md","Fagfellevurdert mattrygghetsrammeverk for sirkulære matsystemer, inkludert sidestrømmer til insektoppdrett."
"SRC-A-004","sekundær","A-feed, B-sidestream, policy","db-linked","external-ready-candidate","false","research/bibliotek/akademia/pubmed/van-leeuwen-spj-2024-a-novel-approach-to-identify.md","research/bibliotek/akademia/pubmed/van-leeuwen-spj-2024-a-novel-approach-to-identify.md:yes","","Document:cmnyng1l6005pd50d2najtjqf -> Doc:cmnyng1l6005pd50d2najtjqf (A novel approach to identify critical knowledge gaps for food safety in circular ...) [path:van-leeuwen-spj-2024-a-novel-approach-to-identify.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/pubmed/van-leeuwen-spj-2024-a-novel-approach-to-identify.md","Fagfellevurdert ramme for kunnskapshull ved swill/tidligere matvarer til fôr og avløpsbaserte ressurser."
"SRC-A-005","primær","A-feed, baseline","db-linked","external-ready-candidate","false","research/evidence-pack/forskningsinstitutt/hi-risikorapport-fiskeoppdrett-2025.md","research/evidence-pack/forskningsinstitutt/hi-risikorapport-fiskeoppdrett-2025.md:yes","","Document:cmo87fhf900erq30ddnbx35gj -> Doc:cmo87fhf900erq30ddnbx35gj (Risikorapport norsk fiskeoppdrett 2025) [path:hi-risikorapport-fiskeoppdrett-2025.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/evidence-pack/forskningsinstitutt/hi-risikorapport-fiskeoppdrett-2025.md","Havforskningsinstituttet-kilde for miljø- og risikokontekst i norsk oppdrett."
"SRC-A-006","intern syntese","A-feed, baseline","db-linked","internal-synthesis","false","research/norden/verdikjede/04-innsatsvarer.md","research/norden/verdikjede/04-innsatsvarer.md:yes","","Document:cmmpax3rx002mu10d3imte3fi -> Doc:cmmpax3rx002mu10d3imte3fi (Innsatsvarer og oppstrøms verdikjeder i nordisk landbruk) [path:04-innsatsvarer.md]; SourceDoc:src-58 -> Doc:cmmpax3rx002mu10d3imte3fi (Nordiske Innsatsvarer og Oppstroms Forsyningskjede) [path:04-innsatsvarer.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/norden/verdikjede/04-innsatsvarer.md","Nordisk innsatsvareanalyse med fôr, soya/proteinavhengighet, gjødsel og kritiske importpunkter."
"SRC-A-007","uvalidert","A-feed, baseline","db-linked","internal-only","true","research/bibliotek/forskningsrunde-2026-04-20-r2/p09-soyaimport-norden-2026-04-20.md","research/bibliotek/forskningsrunde-2026-04-20-r2/p09-soyaimport-norden-2026-04-20.md:yes","","Document:cmo87fgli00a3q30dv4ajs3q7 -> Doc:cmo87fgli00a3q30dv4ajs3q7 (Kartlegg komplett soyaimport til de nordiske landene (NO, SE, DK, FI) med:) [path:p09-soyaimport-norden-2026-04-20.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/bibliotek/forskningsrunde-2026-04-20-r2/p09-soyaimport-norden-2026-04-20.md","Arbeidsnotat om soyaimportvolum, opprinnelse, sluttbruk og avskogsrisiko; tall må primærkildesjekkes."
"SRC-A-008","uvalidert","A-feed, baseline","db-linked","internal-only","true","research/bibliotek/forskningsrunde-2026-04-20-r2/p12-fiskemel-verdikjede-global-2026-04-20.md","research/bibliotek/forskningsrunde-2026-04-20-r2/p12-fiskemel-verdikjede-global-2026-04-20.md:yes","","Document:cmo87fgly00a6q30dfmxbnwjw -> Doc:cmo87fgly00a6q30dfmxbnwjw (Kartlegg den globale fiskemel-verdikjeden med nordisk perspektiv:) [path:p12-fiskemel-verdikjede-global-2026-04-20.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/bibliotek/forskningsrunde-2026-04-20-r2/p12-fiskemel-verdikjede-global-2026-04-20.md","Arbeidsnotat om global fiskemelverdikjede, nordisk import og etiske risikopunkter."
"SRC-A-009","uvalidert","A-feed, policy","db-linked","internal-only","true","research/bibliotek/forskningsrunde-2026-04-20-r2/p10-eu-tse-novel-food-regulering-2026-04-20.md","research/bibliotek/forskningsrunde-2026-04-20-r2/p10-eu-tse-novel-food-regulering-2026-04-20.md:yes","","Document:cmo87fglm00a4q30d97e7cfxc -> Doc:cmo87fglm00a4q30d97e7cfxc (Gi en detaljert analyse av EU-reguleringen som påvirker alternativt fôr i Norden:) [path:p10-eu-tse-novel-food-regulering-2026-04-20.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/bibliotek/forskningsrunde-2026-04-20-r2/p10-eu-tse-novel-food-regulering-2026-04-20.md","Arbeidsnotat om EU TSE, insektfôr, kategori 3-materiale og regulatoriske flaskehalser."
"SRC-A-010","uvalidert","A-feed, actor, finance","db-linked","internal-only","true","research/bibliotek/forskningsrunde-2026-04-20-r2/p13-ax-framtidens-foder-2026-04-20.md","research/bibliotek/forskningsrunde-2026-04-20-r2/p13-ax-framtidens-foder-2026-04-20.md:yes","","Document:cmo87fgm400a7q30dmgcu1vc4 -> Doc:cmo87fgm400a7q30dmgcu1vc4 ([Deep Research] Lag en detaljert dossier over AX Foundations prosjekt «Framtidens...) [path:p13-ax-framtidens-foder-2026-04-20.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/bibliotek/forskningsrunde-2026-04-20-r2/p13-ax-framtidens-foder-2026-04-20.md","Dossier om Axfoundations ""Framtidens foder"" som mulig pilot-/benchmarkcase."
