number	observedTitle	observedYear	associationNote
1	Kesko Annual Report 2024	2024	compatible_title_scope
2	Common Grocery Self-Service Checkout Failures That Customers Can Resolve Without Employee Assistance	2025	compatible_title_scope
3	Iceland Exporter Guide	2023	compatible_title_scope
4	Retail Foods Annual — Denmark DA2025-0002	2025	compatible_title_scope
5	Bærekraft i ASKO 2024	2024	compatible_title_scope
6	Organic food conversion in Danish public kitchens	2016	compatible_title_scope
7	Paraplykjedenes overtakelse av distribusjonen i dagligvaremarkedet	2016	compatible_title_scope
8	Hemmelige kontrakter i dagligvaremarkedet	2019	compatible_title_scope
9	Better together — Reitan Retail 2024 Annual and sustainability report	2024	filename_2025_is_not_report_year
10	Coop Danmark A/S Årsrapport 2024	2024	compatible_title_scope
11	Dagligvarukartan 2024	2024	registered_2024_2025_range_needs_precision
12	Coop Norge SA Års- og bærekraftsrapport 2024	2024	compatible_title_scope
13	The Greenhouse Gas Protocol — A Corporate Accounting and Reporting Standard, Revised Edition		other_document_not_demand_forecasting_report
14	Solar Foods Oyj Financial statements release 2025 (unaudited)	2025	unaudited_release_not_audited_annual_report
15	The state of the European insect food production sector and future perspectives — IPIFF Survey: Main Findings Report		cover_mentions_survey_2023_not_publication_date
16	Salling Group A/S’ erhvervelse af dele af Coop Danmark A/S	2025	decision_dated_26_march_2025
17	Konkurransen i Norge		other_document_not_Hemmelige_kontrakter
18	What effect can algorithms have on competition?	2021	english_translation_scope_on_cover
19	Utredning om prisjusteringsvinduer	2023	compatible_title_scope
20	Konkurransetilsynets marginstudie 2024 — Del 1. Lønnsomhetsberegninger på virksomhetsnivå	2024	enterprise_level_not_product_margin
21	Konkurransetilsynets marginstudie 2024 — Del 2. Kartlegging av marginer ved bruk av informasjon på produktnivå	2024	product_level_scope
22	The Norwegian Competition Authority's Margin Study 2024 — Part 2. Survey of margins using product-level information	2024	english_version_do_not_count_as_independent_study
23	The Norwegian Competition Authority's Margin Study 2024 — Part 1. Survey of profitability at the enterprise level	2024	english_version_do_not_count_as_independent_study
24	Vedtak V2024-4 — offentlig versjon — Coop Norge SA / Norgesgruppen ASA / Rema 1000 AS	2024	decision_identity_only_no_current_legal_status_inference
25	Konkurransetilsynets Dagligvarerapport 2024	2024	registered_2024_25_requires_edition_precision
