number	observedTitle	observedYear	associationStatus	associationNote
1	Går det att öka graden av självförsörjning? — en jämförelsestudie mellan svensk nötkötts- och spannmålsproduktion	2022	compatible_limited	Master thesis; title and year on first page only.
2	Curriculum Vitae — Øystein Foros		different_document_do_not_substitute	CV, not the registered Vertical Integration and Market Power report.
3	Prevention and valorisation of surplus bread at the supplier–retailer interface		compatible_limited	Pedro Brancoli; doctoral thesis; year not visible on first page.
4	Norway – the Black Sheep in the Scandinavian Grocery Industry	2022	compatible_limited	Master thesis, autumn 2022.
5	Dynamics in the Swedish Grocery Retail Industry	2019	compatible_limited	Master degree project by Kayhan and Rönnbäck.
6	The resilience of the food supply chain to pandemic COVID-19	2021	compatible_limited	Case study of the Swedish grain supply chain; not general operational proof.
7	Enacting a Circular Economy		compatible_limited	Multi-sited ethnography; Tampere University Dissertations 810; no year read on first page.
8	Food for Thought: Essays on Green Public Procurement and the Market for Organic Food	2021	compatible_limited	Only 24 physical pages in this file; completeness of the dissertation is not established.
9	Managing waste in food supply chains with supply chain collaboration and integration	2023	compatible_limited	Master thesis by Mika Mäkelä.
10	Impacts of data-driven demand forecasting in reducing food waste and CO2 emissions in campus restaurants: a case study	2025	compatible_limited	Cover says 2025, despite local filename 2024; intended study recovered locally.
11	Food supply chain resilience to pandemics: A rapid review	2023	compatible_limited	Intended review recovered locally; unrelated downloaded COVID-19 report remains excluded.
12	Learning for Crisis: Improving food security in Uppsala County through participative localized food production		compatible_limited	Intended thesis recovered locally; year not visible on first page.
13	Unlocking bacterial potential to reduce farmland N2O emissions	2024	compatible_limited	Nature article, published online 29 May 2024; no evaluation of results in this identity pass.
14	Waste-to-nutrition: a review of current and emerging conversion pathways	2021	compatible_limited	Author manuscript with Version of Record link; retain manuscript identity.
15	Assessing the role of CAP for more sustainable and healthier food systems in Europe: A literature review	2019	compatible_limited	Journal volume 2019; copyright 2018 is a separate date.
16	Reducing food waste in the HORECA sector using AI-based waste-tracking devices	2025	compatible_limited	Waste Management article; first-page identity only.
17	Food Waste Governance Architectures in Europe: Actors, Steering Modes, and Harmonization Trends	2024	compatible_limited	Global Challenges research article.
18	Framework for evaluation of food safety in the circular food system	2024	compatible_limited	npj Science of Food article.
19	A novel approach to identify critical knowledge gaps for food safety in circular food systems	2024	compatible_limited	Perspective article; not an empirical intervention result.
20	Environmental and economic assessment of food-packaging systems with a focus on food waste. Case study on tomato ketchup	2020	compatible_limited	Specific packaging case; scope not generalised.
21	Biogas production from food waste via co-digestion and digestion — effects on performance and microbial ecology	2017	compatible_limited	Scientific Reports article; first-page identity only.
22	The Economics of Vertical Restraints	2005	compatible_limited	Patrick Rey and Thibaud Vergé; March 2005 manuscript.
23	Kunnskapsgrunnlag om kundeprogrammene i dagligvaremarkedet — Del 1: Appanalyse og litteraturgjennomgang	2026	compatible_limited	SIFO-rapport 1-2026; not a causal estimate of competitive effects.
24	Organic food conversion in Danish public kitchens	2016	compatible_limited	Repository cover identifies thesis and publication date; not full semantic review.
25	Politics you can Eat — Insights from the Implementation of Södertälje Municipality’s Food Supply Strategy	2024	compatible_limited	Degree project in Energy and Environment.
26	Sustainable bread supply chains in Sweden	2023	compatible_limited	Scenario study; title and edition only.
27	Acknowledgements		identity_unresolved	File starts with acknowledgements, not a title page; registered thesis identity needs additional evidence.
28	AI in the Swedish Food System	2024	compatible_limited	Exploring adoption, challenges and opportunities in primary production through a socio-technical lens; master thesis May 2024.
29	NorgesGruppen — Års- og bærekraftsrapport 2024	2024	compatible_limited	Annual report; separate from the half-year report under the same registered record.
30	NorgesGruppen — Halvårsregnskap 2025	2025	compatible_limited	Half-year report; not a full-year 2025 annual report.
31	Salling Group — Annual Report 2024	2024	compatible_limited	Title and reporting year only.
32	Elintarvikemarkkinavaltuutetun toimintakertomus 2023	2023	different_edition_do_not_substitute	Finnish Food Market Ombudsman annual report 2023, while registered title asks for 2024.
33	Food2030 — Finland feeds us and the world		compatible_limited	English government report on food policy; year not read on cover.
