cell_id,profile_id,aggregation_class,geography_id,geography_label,axis_bindings_json,value_chain_stage_id,value_chain_stage_label,domain_id,domain_label,legacy_field_id,legacy_field_label,cell_tier,parent_cell_id,child_dimension_bindings_json,child_specification_state,required_child_dimensions_json,required_child_cell_ids_json,required_units_json,system_boundary_question,population_definition_json,required_readiness_profile,taxonomy_version,active
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=consumption.commercial_meals,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.consumption.commercial_meals""}]",stage.consumption.commercial_meals,Commercial meals,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=consumption.household,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.consumption.household""}]",stage.consumption.household,Household consumption,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=consumption.public_meals,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.consumption.public_meals""}]",stage.consumption.public_meals,Public meals,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=distribution.cold_chain,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.distribution.cold_chain""}]",stage.distribution.cold_chain,Cold chain,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=distribution.storage,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.distribution.storage""}]",stage.distribution.storage,Storage,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=distribution.transport_logistics,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.distribution.transport_logistics""}]",stage.distribution.transport_logistics,Transport and logistics,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=distribution.wholesale,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.distribution.wholesale""}]",stage.distribution.wholesale,Wholesale,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=inputs.production_inputs,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.inputs.production_inputs""}]",stage.inputs.production_inputs,Production inputs,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=inputs.resource_base,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.inputs.resource_base""}]",stage.inputs.resource_base,Natural resource base,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
cov.v1.profile=canonical_political_macro.geography=ax.domains=animal_health_welfare.value_chain_stages=market.direct_sales,profile.canonical_political_macro,political_nordic,geo.ax,Åland,"[{""dimension"":""domains"",""valueId"":""domain.animal_health_welfare""},{""dimension"":""valueChainStages"",""valueId"":""stage.market.direct_sales""}]",stage.market.direct_sales,Direct sales,domain.animal_health_welfare,Animal health and welfare,,,tier_1_macro,,[],unknown,"[""subnational_geography"",""commodity"",""actor"",""flow"",""outcome"",""period"",""metric"",""relationship"",""knowledge_object""]",[],[],"What is included, excluded and crossing this cell boundary?","{""definition"":null,""notApplicableReason"":null,""state"":""unknown""}",internal_analysis,1.0.0,true
