path,classification,word_count,has_md_companion,has_text_companion,referenced_in_seed,severity,action
"cathrine-ten-step-oppsummering.html",ok-snapshot,1028,yes,no,no,LOW,"OK — Markdown companion present"
"evidence-pack/beredskap/beredskap-island-food-stockpiles-2025.html",ok-snapshot,962,yes,no,yes,LOW,"OK — Markdown companion present"
"evidence-pack/beredskap/beredskap-island-melmolle-2025.html",ok-snapshot,964,yes,no,yes,LOW,"OK — Markdown companion present"
"evidence-pack/bransje/dlf-leverandor-2025.html",ok-snapshot,498,yes,no,yes,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/fi-proluomu-market-2024.html",ok-snapshot,592,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/fi-proluomu-organics-in-finland.html",ok-snapshot,1036,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/fi-ruokavirasto-luomuvalvonta-2024.html",ok-snapshot,7886,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-eea-area-under-organic-farming-2025.html",ok-snapshot,493,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-hagstofa-sdg-2-4-1-2026.html",ok-snapshot,271,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-lifraent-island-home-2026.html",ok-snapshot,973,no,yes,no,LOW,"OK — extracted text companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-mast-arsskyrsla-2024.html",ok-snapshot,3508,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-statice-agriculture-2026.html",ok-snapshot,1638,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-statice-production-in-agriculture-2024-news-2026.html",ok-snapshot,1693,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-statice-production-value-agriculture-2024-news-2026.html",ok-snapshot,1818,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-tun-lifraent-vottun-2026.html",ok-snapshot,830,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-tun-vottunarskra-2026-refresh.html",ok-snapshot,449,no,yes,no,LOW,"OK — extracted text companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/is-tun-vottunarskra-2026.html",ok-snapshot,449,no,yes,no,LOW,"OK — extracted text companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025-press.html",ok-snapshot,790,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-ekomatcentrum-ekologiska-marknadsdagen-2024-page.html",ok-snapshot,565,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-ekomatcentrum-ekomatligan-2025-page.html",ok-snapshot,612,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-ekomatcentrum-ekomatsligan-2024-page.html",ok-snapshot,1017,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-ekomatcentrum-nationella-rapporter-statistik-marknadsrapporter-2026.html",ok-snapshot,3901,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-ekomatcentrum-offentlig-sektor-2023-page.html",ok-snapshot,628,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-jordbruksverket-ekologisk-animalieproduktion-2024.html",ok-snapshot,2543,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-jordbruksverket-ekologisk-vaxtodling-2024.html",ok-snapshot,2588,yes,yes,no,LOW,"OK — Markdown companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-krav-effektrapport-page-2026.html",ok-snapshot,726,no,yes,no,LOW,"OK — extracted text companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-krav-ekobarometer-page-2026.html",ok-snapshot,1099,no,yes,no,LOW,"OK — extracted text companion present"
"evidence-pack/okologisk-norden-2026-04-29/downloads/se-krav-rapporter.html",ok-snapshot,694,no,yes,no,LOW,"OK — extracted text companion present"
"statusrapport-mars-2026.html",ok-snapshot,824,yes,no,no,LOW,"OK — Markdown companion present"
