type,id,score,year,category,provenance,hasUrl,title,signals
report,matsystemutvalget-2026,5.0,2026,nou,external_report,yes,"Matsystemutvalget — Status 2026","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,kt-markedsundersokelser-2026,5.0,2026,konkurransetilsyn,external_report,yes,"Markedsundersokelser § 14 — Status","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,menon-funksjonelt-skille-2026,5.0,2026,konsulentrapport,external_report,yes,"Funksjonelt og regnskapsmessig skille","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,beredskap-nibio-selvforsyning-2026,5.0,2026,beredskap,external_report,yes,"NIBIO: Norsk selvforsyningsgrad 2026","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,akademia-sifo-kundeprogram-2026,5.0,2026,akademia,external_report,yes,"SIFO: Lojalitetsprogrammer og prisdata","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,motiva-food-procurement-2026,5.0,2026,offentlig,external_report,yes,"Guide for Responsible Procurement of Food (Motiva, januar 2026)","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
thesis,lund-beijer-2026,5.0,2026,master,external_report,yes,"Impact of food retail market power on small food producers in Sweden: Challenges and opportunities","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
report,kt-dagligvarerapport-2024,5.0,2025,konkurransetilsyn,external_report,yes,"Dagligvarerapport 2024-25","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,kt-marginstudie-2025-del2,5.0,2025,konkurransetilsyn,external_report,yes,"Marginstudie Del 2","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,kfst-salling-coop-2025,5.0,2025,konkurransetilsyn,external_report,yes,"Salling Group / Coop Danmark-oppkjop","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,dt-samarbeidsklima-2025,5.0,2025,offentlig,external_report,yes,"Samarbeidsklima-undersokelsen 2025","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,asko-infrastruktur-2025,5.0,2025,bransje,external_report,yes,"ASKO — Infrastruktur og Logistikkmakt","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,dagligvarerapporten-2025,5.0,2025,bransje,external_report,yes,"Dagligvarerapporten 2025","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
