"gap_id","wave","priority","source_tier","source_target","source_url_or_path","artifact_target","method","acceptance_gate","status"
"A4","1","important","official_table","Landbruksdirektoratet biogass statistikk for husdyrgjødsel levert til biogassanlegg","https://www.landbruksdirektoratet.no/nb/statistikk-og-utviklingstrekk/statistikk-over-miljotilskudd-i-jordbruket/biogass","research/data/nordic/biogas/biogas-manure-deliveries-no-2013-2024.csv","HTML/table extraction to CSV","År, tonn, tilskudd, anleggskategori og kildefelt finnes","queued"
"A4","1","important","industry_report","Biogass Norge/Norwaste bransjestatistikk 2024","https://biogassnorge.no/statistikk","research/data/nordic/biogas/biogas-facilities-no-2024.csv","Report extraction plus facility normalization","Anlegg, kapasitet/status, år og kilde er skilt fra virkemiddeltall","queued"
"G3","1","important","official_report","NIBIO selvforsyningsgrad og engrosforbruk","https://nibio.no/tema/landbruksokonomi/selvforsyningsgrad-og-engrosforbruk","research/data/nordic/self-sufficiency/no-self-sufficiency-scenarios-2024.csv","Download/parse NIBIO/Helsedirektoratet-linked tables","Jordbruksmat og sjømatjustert scenario er eksplisitt skilt","queued"
"G3","1","important","official_api","SSB/Fiskeridirektoratet sjømat eksport og produksjonsgrunnlag","https://www.ssb.no/en/api/pxwebapi","research/data/nordic/self-sufficiency/no-seafood-export-adjustment-2024.csv","API extraction plus scenario calculation","Eksportvolum/verdi og metode for justering er sporbar","queued"
"B12","1","important","official_api","Eurostat PPP/PLI for food and consumer price levels","https://ec.europa.eu/eurostat/web/purchasing-power-parities/information-data","research/data/nordic/prices/nordic-food-ppp-pli-2015-2024.csv","Eurostat data extraction","PPP, PLI, varegruppe, basis og land er eksplisitt","queued"
"B12","1","important","official_api","OECD PPP/comparative price levels","https://www.oecd.org/en/data/datasets/purchasing-power-parities.html","research/data/nordic/prices/oecd-nordic-ppp-control-points.csv","OECD extraction as cross-check","OECD tall brukes som kontrollpunkt, ikke blandes med Eurostat uten metodefelt","queued"
"B11","1","important","official_pdf","Konkurransetilsynet Dagligvarerapport 2024-25 Figur 2","https://konkurransetilsynet.no/wp-content/uploads/2025/04/Konkurransetilsynets-Dagligvarerapport-2024-25-1.pdf","research/data/nordic/market-share/no-grocery-market-share-2020-2024.csv","Figure/table transcription already started","2020-2024 HHI og CR3 rekalkulerer fra andelene","done_partial"
"B11","1","important","archive_request","Dagligvarefasiten/NielsenIQ eller eldre Konkurransetilsynet-rapporter for 2017-2019","research/data/nordic/market-share/no-grocery-market-share-backlog-2026-04-29.csv","research/data/nordic/market-share/no-grocery-market-share-2017-2024.csv","Local/archive search then request if not public","Ingen interpolering; eksplisitt år-for-år-kilde kreves","queued"
"A7","1","important","official_pdf","Klimakur 2030 og Klimastatus-/statsbudsjettspor for matsystemtiltak","research/evidence-pack/gap-cards/A7-klimakur-framdrift-2026-04.md","research/data/norway/climate-measures/klimakur-food-measures-status-2026.csv","PDF/report extraction to one row per measure","Tiltak, ansvarlig aktør, status, år og kilde finnes","queued"
"A6","1","important","official_api","Eurostat/nasjonale packaging waste tables for plastics","https://ec.europa.eu/eurostat","research/data/nordic/packaging/plastic-packaging-waste-nordic-2015-2024.csv","API/table extraction","Total plastemballasje er ikke overclaimet som matemballasje","queued"
"A6","1","important","industry_report","Nasjonale emballasje-/avfallsaktører for matkontaktavgrensning","research/evidence-pack/gap-cards/A6-plast-matemballasje-2026-04.md","research/data/nordic/packaging/food-packaging-plastics-boundary-note-2026.csv","Source review plus boundary memo","Matemballasjeavgrensning er dokumentert eller markert request-needed","queued"
"A1","2","critical","company_report","NorgesGruppen/ASKO, Coop og Reitan Scope 3 rapportering","research/evidence-pack/gap-cards/A1-scope3-dagligvare-2026-04.md","research/data/nordic/scope3/no-grocery-scope3-comparability-2026.csv","Annual/sustainability report extraction plus actor request","Basisår, scope, kategori og avgrensning per aktør finnes","queued"
"A2","2","critical","official_report","NORSUS/Matvett matsvinn 2024 og forbrukerundersøkelse","https://norsus.no/prosjekt/matsvinn-2024/","research/data/nordic/food-waste/no-household-food-waste-drivers-2024.csv","Report/factsheet extraction","Målt svinn, selvrapportert atferd og driverdata skilles","queued"
"A3","2","critical","research_report","SINTEF Analyse marint restråstoff 2024","https://www.sintef.no/publikasjoner/publikasjon/019cb816e9d8-613672ba-42ff-40f5-8c4a-d11bcb98a574/","research/data/nordic/seafood/no-marine-restraw-material-2024.csv","Report extraction plus value-chain normalization","Oppstått, utnyttet, uutnyttet og anvendelse er separate felt","queued"
"C5","2","critical","model_sources","NIBIO, gjødselvaredata, importstatistikk og miljødata for N/P/K","research/evidence-pack/model-notes/nutrient-mfa-gap-note-2026-05.md","research/data/nordic/nutrients/no-npk-recycling-gap-2026.csv","Multi-source balance model","Alle proxyer har formel og usikkerhetsnote","queued"
"C6","2","critical","model_sources","Oppdrettsfôr, akvakulturstatistikk og utslippsfaktorer for N/P tap","research/evidence-pack/model-notes/nutrient-mfa-gap-note-2026-05.md","research/data/nordic/aquaculture/no-aquaculture-nutrient-loss-2026.csv","Formula-based model from primary quantities and factors","Fôrinput, retensjon/tap og kilde for faktor er eksplisitt","queued"
"B3","2","critical","partner_validation","DK/SE/FI markedsandeler og +/-2-3 prosent validering","research/norden/partner-validation-pack-food-2026.md","research/data/nordic/market-share/nordic-grocery-market-share-validation-2026.csv","Partner request plus national-source cross-check","Hvert land har kilde, respondent eller pending-status","queued"
"E1-E7","2","critical/important","actor_response","Ekstern validering og sitater for leverandør, Nordstad, NMBU, KT, DK/SE/FI aktører","research/interviews/","research/validation/actor-validation-log-food-2026.csv","Structured outreach and response logging","Svarstatus, sitatbruk og konfidensialitet er eksplisitt","queued"
