id,area,priority,type,title,source,evidence_status,closure_mode,lane,status,note
A1,A baerekraftsdata,critical,Data/Validering,Harmonisert Scope 3-rapportering hos de tre store dagligvarekjedene,baerekraft-norsk-matsektor-2026.html + datagap HTML,delvis-verifisert-trenger-presisering,partner- eller aktorvalidering,hovedoppgave,open,
A2,A baerekraftsdata,critical,Data,Husholdningsmatsvinn - driverforståelse og atferdsdata,baerekraft-norsk-matsektor-2026.html + datagap HTML,delvis-verifisert-trenger-presisering,datainnhenting + syntese,hovedoppgave,open,
A3,A baerekraftsdata,critical,Modell,Marint restråstoff - volumestimat og verdikjedekartlegging,baerekraft-norsk-matsektor-2026.html + datagap HTML,delvis-verifisert-trenger-presisering,modellbygging + kildekobling,hovedoppgave,open,
A4,A baerekraftsdata,important,Data,Biogass - anlegg-for-anlegg-status og virkemiddelhistorikk,baerekraft-norsk-matsektor-2026.html + datagap HTML,initial-card-created,datainnhenting + syntese,hurtig-plukk,initial-card,"Kort opprettet: research/evidence-pack/gap-cards/A4-biogass-anlegg-virkemidler-2026-04.md"
A5,A baerekraftsdata,important,Data,"Fôrimport - soya, mais og fiskemel-balanser",baerekraft-norsk-matsektor-2026.html + datagap HTML,delvis-verifisert-trenger-presisering,datainnhenting + syntese,bredding,open,
A6,A baerekraftsdata,important,KPI,Plast i matemballasje - gjenvinningsrate per kategori,baerekraft-norsk-matsektor-2026.html + datagap HTML,initial-card-created,indikatoroperasjonalisering,hurtig-plukk,initial-card,"Kort opprettet: research/evidence-pack/gap-cards/A6-plast-matemballasje-2026-04.md"
A7,A baerekraftsdata,important,Data,Klimakur 2030 - oppdatert framdriftsrapport for matsystem-tiltakene,baerekraft-norsk-matsektor-2026.html + datagap HTML,initial-card-created,datainnhenting + syntese,hurtig-plukk,initial-card,"Kort opprettet: research/evidence-pack/gap-cards/A7-klimakur-framdrift-2026-04.md"
A8,A baerekraftsdata,structural,Data,HORECA og storhusholdning - klimaregnskap,baerekraft-norsk-matsektor-2026.html + datagap HTML,delvis-verifisert-trenger-presisering,datainnhenting + syntese,bredding,open,
A9,A baerekraftsdata,structural,Modell,Per-produkt-LCA-database - utvidelse fra 120 produkter,baerekraft-norsk-matsektor-2026.html + datagap HTML,delvis-verifisert-trenger-presisering,modellbygging + kildekobling,modellbygging,open,
B1,B whitepaper/leveranse,critical,Beslutning,"TG Charter (1 side, mandate + suksesskriterier)",research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,beslutningsworkshop,leveranseblokkering,open,Gabriel + Cathrine (Einar/Martin-godkjenning)
B2,B whitepaper/leveranse,critical,Beslutning,Stakeholder Mapping / Commitment Map,research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,beslutningsworkshop,leveranseblokkering,open,Gabriel + Cathrine + Einar
B3,B whitepaper/leveranse,critical,Validering,Nordic Data Validation (DK/SE/FI markedsandeler +/-2-3 %),research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,partner- eller aktorvalidering,leveranseblokkering,open,"Michel Bajuk (SE), Betina Simonsen (DK)"
B4,B whitepaper/leveranse,important,Stemme,"Stakeholder-intervjuer (frykt-kultur, Nordstad, NMBU, Konkurransetilsynet, NCH)",research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,intervju/partnerdialog,bredding,open,Gabriel + Cathrine
B5,B whitepaper/leveranse,important,Beslutning,Pilot-konsepter (2-5 scoped pilots),research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,beslutningsworkshop,bredding,open,Hele TG (workshop)
B6,B whitepaper/leveranse,important,Modell,Adoption Track Note (1 side på adopsjonsmekanismer),research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,modellbygging + kildekobling,modellbygging,open,Gabriel + Cathrine
B7,B whitepaper/leveranse,structural,Beslutning,"Finance Note (NIB, EIB, Nordic Innovation funding)",research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,beslutningsworkshop,bredding,open,Martin/Einar
B8,B whitepaper/leveranse,structural,Beslutning,Roadmap 1-3 år,research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,beslutningsworkshop,bredding,open,Hele TG
B9,B whitepaper/leveranse,structural,Beslutning,Decision Log (løpende),research/whitepaper/gap-list.md,lokalt-verifisert-kildedokument,beslutningsworkshop,bredding,open,TG-sekretær
B10,B whitepaper/leveranse,important,Modell,Municipal HHI-beregning (point-in-polygon for 3 849 butikker x 357 kommuner),research/whitepaper/gap-list.md,data-artifact-created,modellbygging + kildekobling,hurtig-plukk,data-artifact,"Dataartefakt opprettet: research/data/nordic/municipal-hhi/municipal-hhi-store-count-proxy-2026-04-29.csv; evidence card: research/evidence-pack/gap-cards/B10-municipal-hhi-2026-04.md"
