company,orgnr,country,valueChainStage,metric,value,unit,fiscal_year,fiscal_year_note,source_publisher,source_title,source_url,accessed_at,provenance_type,claim_status,note
Kesko Oyj,FI-0110456-8,FI,retail,net_sales,12474.7,EUR_million,2025,kalenderår,Kesko Oyj,Financial statements release 1.1.-31.12.2025,https://www.kesko.fi/en/media/news-and-releases/stock-exchange-releases/2026/kesko-financial-statements-release-1.1.31.12.2025-keskos-result-improved-net-sales-grew-in-all-divisions/,2026-07-21,external_report,candidate_unlocked,Konsern totalt
Kesko Oyj,FI-0110456-8,FI,retail,comparable_operating_profit,654.9,EUR_million,2025,kalenderår,Kesko Oyj,Financial statements release 1.1.-31.12.2025,https://www.kesko.fi/en/media/news-and-releases/stock-exchange-releases/2026/kesko-financial-statements-release-1.1.31.12.2025-keskos-result-improved-net-sales-grew-in-all-divisions/,2026-07-21,external_report,candidate_unlocked,Sammenlignbart driftsresultat konsern
Kesko Oyj (grocery trade),FI-0110456-8,FI,retail,net_sales,6447.7,EUR_million,2025,kalenderår,Kesko Oyj,Financial statements release 1.1.-31.12.2025,https://www.kesko.fi/en/media/news-and-releases/stock-exchange-releases/2026/kesko-financial-statements-release-1.1.31.12.2025-keskos-result-improved-net-sales-grew-in-all-divisions/,2026-07-21,external_report,candidate_unlocked,Kun dagligvaredivisjonen
Kesko Oyj (grocery trade),FI-0110456-8,FI,retail,comparable_operating_profit,418.1,EUR_million,2025,kalenderår,Kesko Oyj,Financial statements release 1.1.-31.12.2025,https://www.kesko.fi/en/media/news-and-releases/stock-exchange-releases/2026/kesko-financial-statements-release-1.1.31.12.2025-keskos-result-improved-net-sales-grew-in-all-divisions/,2026-07-21,external_report,candidate_unlocked,Dagligvare driftsmargin 6.5%
SOK (S Group),FI-0116323-9,FI,retail,retail_sales,14506,EUR_million,2025,kalenderår,SOK / S-ryhmä,S-ryhman liiketulos sailyi vahvana ja bonuksia maksettiin ennatysmaara,https://s-ryhma.fi/uutinen/s-ryhman-liiketulos-sailyi-vahvana-ja-bonuksia-mak/22sciHeUEhUS5vg0ZuBiCy,2026-07-21,external_report,candidate_unlocked,Total detaljomsetning; publisert 12.02.2026
SOK (S Group grocery),FI-0116323-9,FI,retail,grocery_sales,10997,EUR_million,2025,kalenderår,SOK / S-ryhmä,S-ryhman liiketulos sailyi vahvana ja bonuksia maksettiin ennatysmaara,https://s-ryhma.fi/uutinen/s-ryhman-liiketulos-sailyi-vahvana-ja-bonuksia-mak/22sciHeUEhUS5vg0ZuBiCy,2026-07-21,external_report,candidate_unlocked,Marketkauppa (dagligvare)
SOK (S Group),FI-0116323-9,FI,retail,operating_result,495,EUR_million,2025,kalenderår,SOK / S-ryhmä,S-ryhman liiketulos sailyi vahvana ja bonuksia maksettiin ennatysmaara,https://s-ryhma.fi/uutinen/s-ryhman-liiketulos-sailyi-vahvana-ja-bonuksia-mak/22sciHeUEhUS5vg0ZuBiCy,2026-07-21,external_report,candidate_unlocked,Liiketulos
Lidl Suomi Ky,FI-1615492-7,FI,retail,net_sales,2021,EUR_million,2024,regnskapsår t.o.m. 28.02.2025,Lidl Suomi / STT Info,Lidlin tilinpaatos 2024,https://www.sttinfo.fi/tiedote/71377885/lidlin-tilinpaatos-2024-panostuksia-asiakkaisiin-ja-tyontekijoihin?publisherId=69820360&lang=fi,2026-07-21,external_report,candidate_unlocked,AVVIKENDE REGNSKAPSÅR - må merkes; markedsandel 9.4%
Lidl Suomi Ky,FI-1615492-7,FI,retail,operating_profit,65.1,EUR_million,2024,regnskapsår t.o.m. 28.02.2025,Lidl Suomi / STT Info,Lidlin tilinpaatos 2024,https://www.sttinfo.fi/tiedote/71377885/lidlin-tilinpaatos-2024-panostuksia-asiakkaisiin-ja-tyontekijoihin?publisherId=69820360&lang=fi,2026-07-21,external_report,candidate_unlocked,Liikevoitto; nyeste tilgjengelige (2025-tall ikke publisert enda)
Hagar hf,IS-670203-2120,IS,retail,revenue,197043,ISK_million,2025/26,regnskapsår 01.03.2025-28.02.2026,Hagar hf / GlobeNewswire,Hagar hf Financial Statements 2025/26,https://www.globenewswire.com/news-release/2026/04/29/3284093/0/en/Hagar-hf-Financial-Statements-2025-26.html,2026-07-21,external_report,candidate_unlocked,AVVIKENDE REGNSKAPSÅR - må merkes; +9.3% YoY
Hagar hf,IS-670203-2120,IS,retail,ebitda,18129,ISK_million,2025/26,regnskapsår 01.03.2025-28.02.2026,Hagar hf / GlobeNewswire,Hagar hf Financial Statements 2025/26,https://www.globenewswire.com/news-release/2026/04/29/3284093/0/en/Hagar-hf-Financial-Statements-2025-26.html,2026-07-21,external_report,candidate_unlocked,9.2% av omsetning
Hagar hf,IS-670203-2120,IS,retail,profit,7394,ISK_million,2025/26,regnskapsår 01.03.2025-28.02.2026,Hagar hf / GlobeNewswire,Hagar hf Financial Statements 2025/26,https://www.globenewswire.com/news-release/2026/04/29/3284093/0/en/Hagar-hf-Financial-Statements-2025-26.html,2026-07-21,external_report,candidate_unlocked,PwC unmodified opinion
Festi hf,IS-540206-2010,IS,retail,revenue,175727,ISK_million,2025,kalenderår,Festi hf / GlobeNewswire,Festi hf Arsreikningur 2025,https://www.globenewswire.com/news-release/2026/02/05/3233264/0/is/Festi-hf-%C3%81rsreikningur-2025.html,2026-07-21,external_report,candidate_unlocked,Rekstrartekjur; +12.1% YoY (arsskyrsla2025.festi.is)
Festi hf,IS-540206-2010,IS,retail,ebitda,16001,ISK_million,2025,kalenderår,Festi hf / GlobeNewswire,Festi hf Arsreikningur 2025,https://www.globenewswire.com/news-release/2026/02/05/3233264/0/is/Festi-hf-%C3%81rsreikningur-2025.html,2026-07-21,external_report,candidate_unlocked,+27.9% YoY
Festi hf,IS-540206-2010,IS,retail,profit,6220,ISK_million,2025,kalenderår,Festi hf / GlobeNewswire,Festi hf Arsreikningur 2025,https://www.globenewswire.com/news-release/2026/02/05/3233264/0/is/Festi-hf-%C3%81rsreikningur-2025.html,2026-07-21,external_report,candidate_unlocked,Hagnadur arsins 2025
Samkaup hf,IS-571298-3769,IS,retail,revenue,,ISK_million,2025,kalenderår,,,,2026-07-21,,gap_open,APEN B-CELLE - brukbart driftsresultatfelt mangler; krever arsreikningur-PDF eller aktorkontakt
