url,title,author_institution,year,country,doc_type,theme,priority,download_status,local_path,next_action,origin_files,origin_entity_ids,sources_count
http://kesko.fi/4930ac/contentassets/2e27fbfe66fb4e97a8c683de564a73d2/kesko-annual-report-2024.pdf,Annual report 2024 / investor report,Kesko,2024,FI,annual_report,annual-reports,P3,downloaded,research/evidence-pack/arsrapporter/kesko-annual-report-2024.pdf,register_and_extract_key_figures,research/evidence-pack/download-backlog-2026-03-18.csv,,1
https://2024.reitaneiendom.no/,Reitan Eiendom aarsrapport 2024; Reitan Eiendom arsrapport 2024,Reitan Eiendom; Reitan Eiendom AS,2024,NO,annual_report; insight-source; årsrapport,eiendom,P1,downloaded,research/evidence-pack/arsrapporter/reitan-eiendom-2024.pdf,extract_pdf_from_online_rapport,research/evidence-pack/download-backlog-2026-04-20.csv; src/lib/data/insights.ts; src/lib/data/sources.ts,ins-95; src-138,5
https://agfundernews.com/breaking-danish-insect-ag-firm-enorm-declared-bankrupt-after-failed-reconstruction-process,Danish insect ag firm ENORM declared bankrupt after failed reconstruction,AgFunderNews,2025,INT,media,sirkular-konkurser,P2,downloaded,research/evidence-pack/sirkular-konkurser/enorm-biofactory/media-agfundernews-2025.pdf,snapshot_full_article,research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv,,1
https://agfundernews.com/brief-infarm-closes-copenhagen-operations-amid-ongoing-strategy-shift-vertical-farming-consolidation,Infarm closes Copenhagen operations - strategy shift,AgFunderNews,2023,INT,media,sirkular-konkurser,P2,downloaded,research/evidence-pack/sirkular-konkurser/infarm-dk/media-agfundernews.pdf,snapshot_full_article,research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv,,1
https://agrain.com/,Capital raise and business model 2024,Agrain,2024,DK,corporate,benchmark,P2,downloaded,research/evidence-pack/internasjonal/agrain-2024.pdf,archive_website_snapshot,research/evidence-pack/download-backlog-2026-04-20.csv,,1
https://agriculture.ec.europa.eu/common-agricultural-policy/agri-food-supply-chain/unfair-trading-practices_en,unfair trading practices en,EU-kommisjonen,2024,INT,web-page,general,P2,downloaded,research/evidence-pack/nordisk/eu-utp-directive-brochure.pdf,none,research/evidence-pack/download-backlog-perplexity-kilder-2026-04-20.csv,,1
https://andershusa.com/rest-in-oslo-zero-waste-restaurant-turns-trash-into-edible-treasures/,Rest in Oslo - Zero Waste Restaurant (closure context),Anders Husa,2024,NO,media,sirkular-konkurser,P2,downloaded,research/evidence-pack/sirkular-konkurser/rest-oslo/media-andershusa.pdf,snapshot_full_article,research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv,,1
https://apps.eurofound.europa.eu/restructuring-events/detail/201509,Billund Aquaculture Bankruptcy Factsheet 201509,Eurofound,2024,EU,media,sirkular-konkurser,P2,downloaded,research/evidence-pack/sirkular-konkurser/billund-aquaculture/eurofound-factsheet.pdf,fetch_factsheet,research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv,,1
https://arcticstartup.com/mycorena-acquired-by-naplasol/,Swedish foodtech Mycorena restructures via Naplasol acquisition,ArcticStartup,2024,FI,media,sirkular-konkurser,P2,downloaded,research/evidence-pack/sirkular-konkurser/mycorena/media-arcticstartup-2024.pdf,snapshot_full_article,research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv,,1
https://asko.no/globalassets/om-asko/miljo/barekraft-i-asko-2024.pdf,Baerekraft i ASKO 2024,ASKO,2024,NO,annual_report,logistics,P2,downloaded,research/evidence-pack/arsrapporter/asko-barekraft-2024.pdf,register_and_extract_logistics_relevance,research/evidence-pack/download-backlog-2026-03-18.csv,,1
https://assets.fsnforum.fao.org/public/contributions/2024/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,Denmark Plant-Based Foods Action Plan (institutional support),Ministry of Food Agriculture Fisheries,2023,DK,benchmark,sirkular-konkurser,P3,downloaded,research/evidence-pack/sirkular-konkurser/_benchmarks/dk-plant-based-action-plan.pdf,download_pdf,research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv,,1
https://backend.orbit.dtu.dk/ws/files/124231485/PhD_Thesis_Nina_N_rgaard_S_rensen_print_final.pdf,Organic food conversion in Danish public kitchens,DTU Orbit,2016,DK,phd_thesis,public-procurement,P1,downloaded,research/evidence-pack/akademia/sorensen-phd-2016-danish-public-kitchens.pdf,register_in_thesis_or_source_layer,research/evidence-pack/download-backlog-2026-03-18.csv,,1
https://beccle.no/files/2016/09/Paraplykjedenes-overtakelse-av-distribusjonen-i-dagligvaremarkedet.pdf,Paraplykjedenes overtakelse av distribusjonen i dagligvaremarkedet,BECCLE; Skjervheim Bernes & Flo / NHH,2016,NO,thesis,academic-theses,P1,downloaded,research/evidence-pack/akademia/skjervheim-flo-2016.pdf,register_in_thesis_layer,research/evidence-pack/download-backlog-2026-03-18.csv; src/lib/data/theses.ts,skjervheim-flo-2016,3
https://beccle.no/files/2020/01/Susanne_Helen_Gangst%C3%B8e_Masteroppgave.pdf,Hemmelige kontrakter i dagligvaremarkedet,BECCLE,2019,NO,thesis,academic-theses,P1,downloaded,research/evidence-pack/akademia/gangstoe-2019-uib.pdf,register_in_thesis_layer,research/evidence-pack/download-backlog-2026-03-18.csv,,1
https://bolagsverket.se/,DUG Foodtech AB (tidl. Veg of Lund) konkurs jan 2026 - asset tender; Hooked Foods AB konkurs 15.01.2026,Bolagsverket,2026,SE,konkursbehandling,sirkular-konkurser,P1,downloaded,research/evidence-pack/sirkular-konkurser/hooked-foods/konkurs-bolagsverket.pdf,lookup_konkurs_via_bolagsverket,research/evidence-pack/download-backlog-sirkular-konkurser-2026-04-20.csv,,1
