"actor_id","canonical_name","aliases","org_number","country","county","municipality","website","actor_kind","circular_category","value_chain_stage","r_ladder_level","circular_mechanism","product_or_stream","status","founding_year","founders_or_key_people","employee_count","revenue_latest","strongest_source","weakest_point","source_class","gap_type","gate","registry_decision","confidence","ikke_si","last_checked"
"car-no-pronofa-asa","PRONOFA ASA","Pronofa","926501836","NO","Ostfold","Fredrikstad","https://pronofa.no/en/","company","alternativt protein","processing","R2","low-trophic tunicate ingredient for food and sustainable raw materials","Ciona/Purply","active","2021","","","","https://pronofa.no/en/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Pronofa&size=5","Needs source-separated treatment of Ciona food activity versus historical insect/Ecoprot portfolio","A","Type A","PCQ","ready_for_verified_import","high","Do not call insect production active under Pronofa without current primary source. Do not use climate footprint as registry claim without product-specific source handling.","2026-06-24"
"car-no-norinsect-as","NORINSECT AS","NorInsect","916325010","NO","More og Romsdal","Fjord","https://norinsect.no","company","insekter","processing","R2","mealworm conversion of low-value residues into feed ingredients and organic fertilizer","mealworm protein/oil/frass","active","2015","Peder Vikenes founder; Harald Espeland co-founder and CEO [NorInsect primary source]","","","https://norinsect.no/about-us/this-is-norisect/%26lang%3D2; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Norinsect&size=5","Output volume and customer segments still need current primary evidence","A","Type A","PCQ","ready_for_verified_import","high","Do not infer national output volume or market share from factory size alone.","2026-06-24"
"car-no-invertapro-as","INVERTAPRO AS","Invertapro","917809755","NO","Vestland","Voss","https://www.invertapro.com/en","company","insekter","processing","R2","food waste and organic side-streams converted to larvae feed/food products and frass fertilizer","insect larvae/frass/Blome","active","2016","","","","https://www.invertapro.com/en; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Invertapro&size=5","Industrial scale timing and realized volumes need follow-up","A","Type A","PCQ","ready_for_verified_import","high","Do not treat LCA percentages as independently verified registry KPI without reading the underlying LCA.","2026-06-24"
"car-no-bio3-as","BIO3 AS","Bio3","915334504","NO","More og Romsdal","Averoy","https://www.bio3.no/","company","mykoprotein/fermentering","processing","R2","single-cell protein / fermentation approach for fish-feed ingredients from sustainable raw materials","encelleprotein/fiskefor","pilot","2015","","","","https://www.bio3.no/; https://wa3rm.com/projects/wtl-averoy/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=BIO3&size=5","Facility is pre-commercial/under development in source set. Production-start and capacity must not be treated as realized output.","A/B","Type A","PCQ","ready_for_candidate_enrichment","high","Do not treat planned WTL Averoy tonnage as operating production. Do not call PEKILO licensed unless contract source is found.","2026-06-24"
"car-no-nomy-as","NORWEGIAN MYCELIUM AS","NoMy","925995762","NO","Oslo","Oslo","https://nomy.no/","company","mykoprotein/fermentering","processing","R2","fungal fermentation of food-industry side streams into protein ingredients for food and aquafeed","mycoprotein","active","2020","","","","https://nomy.no/; https://arcticstartup.com/norwegian-mycelium-as-nomy-raises-new-funding/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Norwegian%20Mycelium&size=5","Official website was not extractable in this pass. Side-stream and funding details currently rely on secondary startup coverage.","B","Type A","source-shortlist","candidate_enrichment","medium","Do not import founders or funding amounts from secondary startup press without primary confirmation.","2026-06-24"
"car-no-seaweed-solutions-as","SEAWEED SOLUTIONS AS","Seaweed Solutions","993491780","NO","Trondelag","Trondheim","https://seaweedsolutions.com/","company","tang/tare","input","R2","seaweed seed/culture supply and cultivation/restoration services","macroalgae seeds/cultures","active","2009","","","","https://seaweedsolutions.com/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Seaweed%20Solutions&size=5","Food/feed end-use and production volume need actor-specific follow-up","A","Type A","PCQ","ready_for_verified_import","high","Do not infer food or feed volume from seaweed cultivation capability alone.","2026-06-24"
"car-no-arctic-seaweed-as","ARCTIC SEAWEED AS","Arctic Seaweed","917378819","NO","Agder","Flekkefjord","https://aseaweed.com/","company","tang/tare","primary","R2","technology and deployed systems for scalable seaweed farming","seaweed farming modules","active","2016","","","","https://aseaweed.com/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Arctic%20Seaweed&size=5","Actor is primarily technology/production-enablement in current source. Food/feed customer end-use needs confirmation.","A","Type A","PCQ","ready_for_verified_import","high","Do not classify as a food producer if the sourced role is farming technology and service enablement.","2026-06-24"
"car-no-norwegian-seaweed-cluster","NORWEGIAN SEAWEED CLUSTER","NSC; Norwegian Seaweed Association cluster","916520425","NO","Nordland; Trondelag","Bodo; Trondheim","https://www.norseaweed.no/","network","FoU/nettverk","support","R2","cluster for the seaweed value chain from production to food feed and biostimulants","seaweed value-chain network","active","","","","","https://www.norseaweed.no/","Member list and company-level coverage are not fully harvested in this pass","A","Type A","source-shortlist","candidate_enrichment","high","Do not count cluster membership as verified producer rows without individual actor checks.","2026-06-24"
"car-no-felleskjopet-forutvikling-as","FELLESKJOPET FORUTVIKLING AS","Felleskjopet Forutvikling; FKF","998232058","NO","Trondelag","Trondheim","https://www.felleskjopet.no/om-felleskjopet/forutvikling","company","sirkulært fôr","research","R2","feed research/development environment relevant to new Norwegian sustainable feed raw materials","kraftfor/fôrravarer","active","2012","","","","https://data.brreg.no/enhetsregisteret/api/enheter?navn=Felleskj%C3%B8pet%20F%C3%B4rutvikling&size=5; https://fka.felleskjopet.no/alle-artikler/alle-artikler-husdyr/nye-regelverk-kan-frigi-300-000-tonn-nye-raavarer/","Direct actor page not fully extracted. Circular-food role is support/R&D rather than producer.","B","Type A","source-shortlist","candidate_enrichment","medium","Do not present policy or regulatory potential as company impact.","2026-06-24"
"car-no-multifuellarve-project","MultiFuelLarve","NIBIO MultiFuelLarve","","NO","","","https://nibio.no/nyheter/tre-fluger-i-ein-smekk--sirkulaer-produksjon-av-insektlarvar","project","insekter","research","R2","research on insect larvae and frass from organic resources for circular production","larver/frass/organiske reststrommer","active","","","","","https://nibio.no/nyheter/tre-fluger-i-ein-smekk--sirkulaer-produksjon-av-insektlarvar","Project-partner rows need separation before company import","A","Type A","source-shortlist","context","high","Do not double-count project consortium as producer capacity.","2026-06-24"
