actor_id,canonical_name,aliases,org_number,country,county,municipality,website,actor_kind,circular_category,value_chain_stage,r_ladder_level,circular_mechanism,product_or_stream,status,founding_year,founders_or_key_people,employee_count,revenue_latest,strongest_source,weakest_point,source_class,gap_type,gate,registry_decision,confidence,ikke_si,last_checked
car-no-matvett-as,MATVETT AS,Matvett,997898397,NO,Oslo,Oslo,https://www.matvett.no,company,FoU/nettverk,support,multi,coordination knowledge and industry-agreement work for food-waste reduction across the value chain,matsvinnstatistikk/bransjeavtale,active,2012,"Anne-Grete Furst Haugen daglig leder; Anne Marie Schroder kommunikasjonssjef; owned by NHO Mat og Drikke, DLF, Dagligvarehandelens miljoforum, NHO Reiseliv and Virke [Matvett primary]",,,research/norge/circular-actors/brreg-validated.md; https://www.matvett.no/kontakt; https://www.matvett.no/om-matvett; https://data.brreg.no/enhetsregisteret/api/enheter/997898397/roller,"Ownership is sector-governance context, not operational throughput",A,Type A,verified,verified,high,Do not make Matvett a direct food-waste handler or producer. Keep effect claims tied to agreement/report sources.,2026-06-24
car-no-nibio,NIBIO - NORSK INSTITUTT FOR BIOOKONOMI,NIBIO; Norsk institutt for biookonomi,988983837,NO,Akershus,As,https://www.nibio.no,research,FoU/nettverk,research,multi,research on bioeconomy food feed bioresources and circular economy risks,mat for bioressurser matavfall biorest,active,,,,,https://www.nibio.no/tema/mat/en-helse-i-landbruks-og-matproduksjonen; https://www.nibio.no/om-nibio,Parent institute row must not be merged with Norsk genressurssenter sub-row without intent,A,Type A,verified,verified,high,Do not treat NIBIO as a producer or claim circular benefit without project-specific evidence.,2026-06-24
car-no-nofima-as,NOFIMA AS,Nofima,989278835,NO,Troms,Tromsø,https://nofima.no,research,FoU/nettverk,research,multi,food and aquaculture research,matforskning og havbruksforskning,active,2005,,365,,research/norge/circular-actors/brreg-validated.md,Registry row verifies institution only; project-specific claims need project source,A,Type A,verified,verified,high,Do not treat Nofima as a producer in actor maps,2026-06-24
car-no-norsus,NORSUS NORSK INSTITUTT FOR BAEREKRAFTSFORSKNING AS,NORSUS,989861751,NO,Ostfold,Fredrikstad,https://norsus.no,research,FoU/nettverk,research,multi,food waste mapping methods and circular food-system research,matavfall matsvinn food value chain,active,2006,,,,https://norsus.no/en/forskningsomrade/matsvinn/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=NORSUS&size=5,Existing candidate can be upgraded for institution and food-waste research role but not impact totals,A,Type A,verified,verified,high,Do not treat research institute as a waste handler or producer.,2026-06-24
car-no-sintef-as,SINTEF AS,SINTEF,919303808,NO,Trondelag,Trondheim,https://www.sintef.no,research,FoU/nettverk,research,multi,research on circular bioeconomy side-streams and feed ingredients,matrester slam overskuddsvarme industrielle sidestrommer,active,2017,,,,https://www.sintef.no/fagomrader/sirkulaer_biookonomi/; https://www.sintef.no/prosjekter/2026/sirkular-lavtrofisk-forproduksjon-fra-industrielle-sidestrommer-gp-circfeed/,SINTEF group and institute structure may require sub-entity split for project ownership,A,Type A,verified,verified,high,Do not treat SINTEF research projects as production or market adoption.,2026-06-24
car-no-pronofa-asa,PRONOFA ASA,Pronofa,926501836,NO,Ostfold,Fredrikstad,https://pronofa.no/en/,company,alternativt protein,processing,R2,sustainable protein commercialisation with current Ciona/tunicate focus and historical insect portfolio separated,Ciona/Purply; historical insect assets,active,2021,"Hans Petter Olsen CEO; Bjorge Gretland chair; owners above 75 percent include Denofa AS, Godthab Holding AS, Convexa Asymmetric AS, Reitan Kapital AS and Silvercoin Industries [Pronofa primary]",11,,https://pronofa.no/en/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Pronofa&size=5; https://pronofa.no/en/about/; https://data.brreg.no/enhetsregisteret/api/enheter/926501836/roller,People/ownership should not revive older insect framing; current primary source foregrounds Ciona/Purply,A,Type A,verified,verified,high,Do not call insect production active under Pronofa without a current primary insect-production source.,2026-06-24
car-no-bir-bioressurs-as,BIR BIORESSURS AS,BIR biogassanlegget pa Voss,927802546,NO,Vestland,Voss,https://bir.no/om-bir/vaare-anlegg/biogassanlegget/,company,biogass/digestat,waste,R8,food waste and manure to biogas and biofertilizer at Voss,matavfall; husdyrmokk; biogass; biogjodsel,active,2021,,,,https://bir.no/om-bir/vaare-anlegg/biogassanlegget/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=BIR%20BIORESSURS%20AS&size=5,Opened late 2025; actual annual volumes need later operating evidence,A,Type A,verified,verified,high,Do not treat design capacity or opening claims as realized annual production.,2026-06-24
car-no-cambi-asa,CAMBI ASA,Cambi,976929284,NO,Akershus,Asker,https://www.cambi.com,company,biogass/digestat,support,R8,thermal hydrolysis technology enabling anaerobic digestion of sludge and organic waste,sewage sludge; biomass; food waste; wet organic waste,active,1996,,,,https://www.cambi.com/; https://www.cambi.com/process; https://data.brreg.no/enhetsregisteret/api/enheter?navn=CAMBI%20ASA&size=3,"Technology provider, not a Norwegian food-waste processor by itself",A,Type A,verified,verified,medium,Do not count Cambi customer capacity as Cambi-operated Norwegian food-system recycling.,2026-06-24
car-no-den-magiske-fabrikken-as,DEN MAGISKE FABRIKKEN AS,Den Magiske Fabrikken; The Magic Factory,926389998,NO,Vestfold,Tonsberg,https://dmfas.no,company,biogass/digestat,waste,R8,anaerobic digestion of food waste and manure to biogas biofertilizer and green CO2,matavfall; husdyrgjodsel; biogass; biogjodsel; gronn CO2,active,2020,,,,https://dmfas.no/aktuelt/den_magiske_fabrikken_vant_stor_kontrakt; https://www.grevebiogass.no/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=DEN%20MAGISKE%20FABRIKKEN%20AS&size=3,Facility/source wording is strong but ownership and operator roles must stay separated from Greve and Lindum,A,Type A,verified,verified,high,Do not import the old combined Greve Biogass / Lindum seed row as a verified actor.,2026-06-24
car-no-ecopro-as,ECOPRO AS,Ecopro,984853998,NO,Trondelag,Verdal,https://ecopro.no,company,biogass/digestat,waste,R8,organic waste and sludge processing to biogas and organic fertilizer,matavfall; slam; organisk avfall; biogass; biogjodsel,active,2002,,,,https://ecopro.no/; https://ecopro.no/2024/04/nye-konkurranser-pa-transport-av-matavfall/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=ECOPRO%20AS&size=3,Use official current source for actual stream mix; expansion permits are not realized throughput,A,Type A,verified,verified,high,Do not treat planned/permit capacity as actual processed volume.,2026-06-24
