source,id,best_score,best_doi,best_year,best_title,candidate_title
SourceDoc,src-20,1.00,10.2139/ssrn.5216185,2025,Media Attention and Price Competition: Evidence from Norwegian Grocery Retailing,Media attention and price competition: Evidence from Norwegian grocery retailing
SourceDoc,src-38,0.85,10.1016/j.ijindorg.2014.11.001,2015,Buyer power and exclusion in vertically related markets,Buyer power and exclusion in vertically related markets
SourceDoc,src-73,0.84,10.1038/s43016-023-00734-9,2023,Circularity in Europe strengthens the sustainability of the global food system,Circularity in Europe strengthens the sustainability of global food systems
SourceDoc,src-175,0.78,10.3390/fermentation5040099,2019,"Evaluation of Filamentous Fungal Biomass Cultivated on Vinasse as an Alternative Nutrient Source of Fish Feed: Protein, Lipid, and Mineral Composition",Evaluation of Filamentous Fungal Biomass Cultivated on Vinasse as an Alternative Nutrient Source of Fish Feed
SourceDoc,src-89,0.77,10.54612/a.2fjqatdg6h,2024,Sustainability of food waste prevention through food consumption,Sustainability of food waste prevention
Report,pty-finnish-grocery-trade-2024,0.53,10.18356/9789211072839,2025,Key Statistics and Trends in Trade Policy 2024,Finnish Grocery Trade Statistics 2024
SourceDoc,src-174,0.50,10.1002/047147844x.wr2172,2004,Food and Water in an Emergency,Food and Water 2030 Programme
SourceDoc,src-88,0.49,10.1016/j.resconrec.2014.11.016,2015,Carbon footprint of supermarket food waste,Supermarket food waste: Prevention and management at the retail stage
Report,salling-group-2024,0.47,10.1596/ar2025,2025,The World Bank Group Annual Report 2025,Salling Group Annual Report 2024 — Every Day Better
SourceDoc,src-81,0.47,10.5089/9781616354053.043,2013,"Government Finance Statistics Yearbook, 2012",Statistics Finland HBS 2012: Butikkavstand
Report,norden-policy-2024,0.45,10.6027/nord2023-016,2023,Policy Brief: Healthyand sustainable food futures - Policy design for behaviour change,Policy tools for sustainable and healthy eating
SourceDoc,src-160,0.45,10.3390/resources9030027,2020,Sustainability Assessment of Food Redistribution Initiatives in Sweden,Food chain sustainability in Sweden
Report,biogas-danmark-outlook-2024,0.44,10.7146/ntfk.v112i1.156714,2025,De nordiske kriminalistforeninger 2024,Biogas Outlook 2024
SourceDoc,src-92,0.44,10.6027/9789289349710-6-en,2017,The Nordic Bioeconomy Panel,Nordic Bioeconomy Programme: 15 Action Points for Sustainable Change
SourceDoc,src-138,0.44,10.5617/pt.12097,2024,Reitan: Bokanmeldelse,Reitan Eiendom aarsrapport 2024
Report,coop-danmark-2024,0.42,10.7146/ntfk.v112i1.156714,2025,De nordiske kriminalistforeninger 2024,Coop Danmark arsrapport 2024
SourceDoc,src-86,0.42,10.46756/sci.fsa.nfy518,2024,Consumer Insights Tracker (April 2024 to June 2024),NHH FOOD: Prof. Frode Steen markedsanalyse april 2024
SourceDoc,src-163,0.42,10.31705/eru.2023.18,2023,Recycling plastic waste for enabling circular economy,Seafood in the Circular Economy — Analysis March 2022
Report,reitan-2024-25,0.40,10.5617/pt.12097,2024,Reitan: Bokanmeldelse,Reitan Retail / REMA 1000 (2024/2025)
SourceDoc,src-90,0.40,10.1016/j.futures.2023.103241,2023,"The circular economy futures in the making: Transformativity and object ontologies in food waste practices in Finnish households, supermarkets and biogas plants",Enacting a Circular Economy: An Ethnography of Multiple Possible Futures
Report,etmv-toimintakertomus-2024,0.39,10.46756/sci.fsa.nfy518,2024,Consumer Insights Tracker (April 2024 to June 2024),Elintarvikemarkkinavaltuutettu toimintakertomus 2024
SourceDoc,src-143,0.39,10.46756/sci.fsa.nfy518,2024,Consumer Insights Tracker (April 2024 to June 2024),Elintarvikemarkkinavaltuutettu toimintakertomus 2024
SourceDoc,src-156,0.38,10.3389/fenrg.2025.1699265,2025,"Correction: Energy development in rural China toward a clean energy system: utilization status, co-benefit mechanism, and countermeasures",System dynamics modeling of food loss and waste in the Norwegian seafood sector: Toward a circular economy
SourceDoc,src-74,0.38,10.1016/s0140-6736(14)62263-7,2014,Tackling liver disease in the UK: a Lancet Commission,EAT-Lancet Commission 2.0: Food in the Anthropocene
SourceDoc,src-162,0.38,10.6027/9789289339964-3-en,2015,Traceability of waste through the value chain,Effective waste prevention needs policies targeting the entire value chain
SourceDoc,src-166,0.38,10.6027/9789289332040-3-en,2009,The Action Plan,Action Plan for Vision 2030
SourceDoc,src-173,0.38,10.14214/sf.24068,2024,Corrigendum: Forests of Finland 2019–2023 and their development 1921–2023,Balance Sheet for Food Commodities 2024 (preliminary) and 2023 (final)
Report,finland-food-market-ombudsman-2023,0.38,10.2903/sp.efsa.2023.en-8200,2023,Plant Health Newsletter on Horizon Scanning – July 2023,Elintarvikemarkkinavaltuutetun toimintakertomus 2023
SourceDoc,src-54,0.38,10.5617/pt.12097,2024,Reitan: Bokanmeldelse,Reitan Retail Års- og ansvarsrapport 2024 / Foreløpige tall 2025
SourceDoc,src-22,0.36,10.62225/2583049x.2025.5.2.4029,2025,Sustainable development of stock market: Research in Vietnam stock market,Restrictive covenants in the Norwegian grocery market
SourceDoc,src-70,0.36,10.22439/revy.v49i1.7754,2026,Postersession med UX og tamilske palmeblade,Sirkularitet og Matsvinn: Dyp Research med Biogass-gap-analyse
SourceDoc,src-79,0.36,10.7146/ntfk.v112i1.156714,2025,De nordiske kriminalistforeninger 2024,KFST fusjonsanalyse Salling/Coop 2024-2025 (drive-time HHI)
SourceDoc,src-82,0.36,10.62383/imajinasi.v1i2.147,2024,Ekstrakurikuler Tari Persembahan di SMK Negeri 1 Kuok T.A 2023/2024,ECR Dagligvarukartan 2024/2025
SourceDoc,src-158,0.36,10.4324/9780429259203,2019,The Circular Economy,Delivering the Circular Economy: A Toolkit for Policymakers — Denmark case study
Report,luke-peat-soils-roadmap-finland-2024,0.36,10.19103/as.2024.0146.16,2025,Life cycle assessment (LCA) of poultry meat production,Climate-smart food production on peat soils
SourceDoc,src-71,0.35,10.21323/2071-2499-2025-3-15-20,2025,About prospects of further research on the use of probiotics in production of fermented sausages,Research Focus Report: Meeting-4
SourceDoc,src-109,0.35,10.55126/ijzab.2025.v10.i04.006,2025,Studies on bee diversity in Indian coffee varieties and impact of bee pollination on coffee quality,Fuglen Coffee — kildeliste og leverandørkjede
Report,ica-gruppen-annual-report-2024,0.35,10.59899/ges-cono-61-c17,2023,"Capítulo 17: Impacto de la informalidad en el desarrollo económico del Distrito de Subtanjalla, ICA - Perú",ICA Gruppen Annual Report 2024
SourceDoc,src-18,0.35,10.2224/sbp.14907,2025,Sports advertising and consumer intentions: Insights from the 2024 Paris Olympics,Coops årsresultat og medlemsnytte 2024
SourceDoc,src-24,0.35,10.13052/nbict.2015.002,2014,"Designing the Future Emergency Service Vehicle: Needs, Approach, Benefits and Competition",Kilpailulaki (Competition Act) Section 4a
SourceDoc,src-55,0.35,10.58286/32816,2026,Prozessintegrierte thermografische Analyse zur Qualitätssicherung beim Widerstandsschweißen von Hartmetall-Stahl-Verbindungen,Nordisk Primaerproduksjon: Komparativ Analyse
SourceDoc,src-56,0.35,10.58286/32816,2026,Prozessintegrierte thermografische Analyse zur Qualitätssicherung beim Widerstandsschweißen von Hartmetall-Stahl-Verbindungen,Nordisk Foredlingsindustri: Komparativ Analyse
SourceDoc,src-61,0.35,10.58286/32816,2026,Prozessintegrierte thermografische Analyse zur Qualitätssicherung beim Widerstandsschweißen von Hartmetall-Stahl-Verbindungen,Nordisk Sjomatverdikjede: Komparativ Analyse
SourceDoc,src-84,0.35,10.19103/as.2025.0155.25,2025,The USDA Root Zone Water Quality Model,USDA GAIN Retail Foods Annual: Denmark DA2025-0002
Report,nordisk-sammenligning-2024,0.35,10.62383/terang.v2i4.1380,2025,Kepemimpinan Prosedural dalam Penguatan Soliditas Partai Golkar Kota Jambi pada Pilkada Serentak 2024,Nordisk sammenligning 2024
SourceDoc,src-101,0.35,10.55126/ijzab.2025.v10.i04.006,2025,Studies on bee diversity in Indian coffee varieties and impact of bee pollination on coffee quality,Coffee & Forest EUDR Compliance Platform PRD
Report,ifro-danish-soy-imports-2025,0.34,10.1016/bs.abr.2024.05.001,2025,Is agroforestry a sustainable management system for future coffee production?,Status of Danish imports of sustainable and deforestation- and conversion-free soy
SourceDoc,src-83,0.34,10.7256/2454-0617.2026.2.78950,2026,The evolution of Chinese-Cambodian relations in the post-bipolar period (1991–2025),PTY Finnish Grocery Trade Statistics 2024/2025
SourceDoc,src-99,0.34,10.1093/eurpub/ckaf161.842,2025,Neighbourhood green space and mental health: the moderating role of socio-economic status,Green Platform NOK 93.3M: Mikroalger CO2-basert
SourceDoc,src-153,0.34,10.55277/researchhub.uf0861oh.1,2026,"(ดูซีรีย์ไทย‼️)""เป็นต่อ 2026 Pen Tor 2026"" EP.16 พากย์ไทย+ซับไทย ดูฟรี UNCUT VER [ตอนที่16] ย้อนหลัง เต็มเรื่อง HD ซีรีส์ไทย 2026",Download backlog for forskningsrunde 2026-04-20
SourceDoc,src-136,0.34,10.5346/trbane.2002.43,2002,Report of Research Committee for Optimizing a Shot-Peening Process,Research Report — Food Research Process 2026-04-20 (samlet)
SourceDoc,src-87,0.34,10.2139/ssrn.5352354,2025,Do Informed Consumers Pay Less? Evidence from a Survey with Linked Grocery Purchase Data,Competition and Grocery Retail Formats: CID-analyse
Report,oslo-economics-forsvar-2024,0.34,10.69486/113.2.2025.15,2025,"Temples and Elephants: An Exhibition about Carl Bock (12 Dec.–6 April 2025, Bangkok &amp; Oslo)",Oslo Economics — Konkurransen bedre enn sitt rykte
Report,eu-utp-staff-working-doc-2024,0.33,10.1787/b3704e14-en,2024,Health at a Glance: Europe 2024,Unfair Trading Practices (UTP) — Overview tables on Member States' transposition choices and enforcement activities (SWD(2024) 106 final)
Report,asko-barekraft-2024,0.33,10.1016/j.agrformet.2024.109986,2024,Corrigendum to “Energy availability and leaf area dominate control of ecosystem evapotranspiration in the southeastern U.S” [Agriculture and Forest Meteorology Volume 349 (2024)/109960],Bærekraft i ASKO 2024
Report,motiva-food-procurement-2026,0.33,10.37871/jbres2231,2025,"A Theoretical and Numerical Analysis of the Axial Flow Fan with a Conical Hub, Guide Vanes and Rectifier Vanes","Guide for Responsible Procurement of Food (Motiva, januar 2026)"
SourceDoc,src-150,0.33,10.37871/jbres2231,2025,"A Theoretical and Numerical Analysis of the Axial Flow Fan with a Conical Hub, Guide Vanes and Rectifier Vanes",Motiva - Guide for Responsible Procurement of Food (januar 2026)
Report,eu-utp-report-2024,0.33,10.1787/b3704e14-en,2024,Health at a Glance: Europe 2024,Implementing the prohibition of unfair trading practices to strengthen the position of farmers and operators in the agricultural and food supply chain — State of play (COM(2024) 176 final)
