node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
andelslandbruk-eri-andelsgard,Eri andelsgard,gaard,lokale-verdikjeder,andelslandbruk,NO,"Nyoppstarta andelslandbruk i Laerdal, Indre Sogn.",,,,https://okologisknorge.no/oekoguiden/eri-andelsgard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-vestern-andelslandbruk-sa,Vestern Andelslandbruk SA,gaard,lokale-verdikjeder,andelslandbruk,NO,"Andelslandbruk som dyrker gronnsaker i sesong og er organisert som samvirke der medlemmene deler pa avlingen.",,,,https://okologisknorge.no/oekoguiden/vestern-andelslandbruk-sa/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-druehagen-gard,Druehagen Gard,gaard,lokale-verdikjeder,andelslandbruk,NO,"Gard med mennesker, dyr, gronnsaker, druer, epler og baer, oppfort i Oekoguiden under andelslandbruk.",,,,https://okologisknorge.no/oekoguiden/druehagen-gaard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-al-markedshage,Al Markedshage,gaard,lokale-verdikjeder,andelslandbruk,NO,"Markedshage/andelslandbruk for lokale gronnsaker, oppfort i Oekoguiden under andelslandbruk.",,,,https://okologisknorge.no/oekoguiden/aal-markedshage/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-langekjenngard,Langekjenngard,gaard,lokale-verdikjeder,andelslandbruk,NO,"Liten gard i Kongsberg med oppstart av andelslandbruk og direkte salg av gronnsaker til kunder og andelshavere.",,,,https://okologisknorge.no/oekoguiden/langekjenngaard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-osternes-andelslandbruk,Osternes Andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Andelslandbruk paa Tuftaland med kortreist mat og landlig produksjon, oppfort i Oekoguiden.",,,,https://okologisknorge.no/oekoguiden/osternes-andelslandbruk/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-strandabruket-andelsgard,Strandabruket Andelsgard,gaard,lokale-verdikjeder,andelslandbruk,NO,"Oekologisk andelsgard startet i 2019 med gronnsaker og planlagt utvidelse med frukt og baer.",,,,https://okologisknorge.no/oekoguiden/strandabruket-andelsgard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-gjerdsbakkane,Gjerdsbakkane,gaard,lokale-verdikjeder,andelslandbruk,NO,"Gard paa Dimnoya i Ulstein med bier, baer og andelslandbruk siden 2016.",,,,https://okologisknorge.no/oekoguiden/gjerdsbakkane/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-tutturen-gard,Tutturen Gard,gaard,lokale-verdikjeder,andelslandbruk,NO,"Andelsgard som dyrker et stort utvalg gronnsaker etter oekologiske og regenerative metoder.",,,,https://okologisknorge.no/oekoguiden/tutturen-gaard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-gjerstad-andelslandbruk,Gjerstad andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Sentralt beliggende andelslandbruk i Larvik.",,,,https://okologisknorge.no/oekoguiden/gjerstad-andelslandbruk/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-svanhovd-andelslandbruk,Svanhovd andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Andelslandbruk i Pasvikdalen, 69.27 nord og 30.2 ost, med gronnsaksdyrking i nordlig klima.",,,,https://okologisknorge.no/oekoguiden/svanhovd-andelslandbruk/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-anda-andelsgard,Anda andelsgard,gaard,lokale-verdikjeder,andelslandbruk,NO,"Bondestyrt andelslandbruk paa smabruk i Klepp stasjon paa Jaeren med gronnsaker og urter etter oekologiske prinsipper.",,,,https://okologisknorge.no/oekoguiden/anda-andelsgard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
andelslandbruk-solbakken-pa-berg-andelsgard-sa,Solbakken pa Berg andelsgard SA,gaard,lokale-verdikjeder,andelslandbruk,NO,"Forbrukerdrevet andelsgard basert paa samarbeid, baerekraftig mat og oekologisk dyrking.",,,,https://okologisknorge.no/oekoguiden/solbakken-paa-berg-andelsgaard-sa/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=8467 (Andelslandbruk); fetched 2026-06-25.
