domain,subdomain,geo,estimated_universe,universe_source,universe_confidence,mapped_count,gap,last_updated
lokale-verdikjeder,reko,NO,140,"REKO Norge feb. 2022 (140+ ringer); siste offisielle",middels,20,120,2026-06-25
lokale-verdikjeder,bondens-marked,NO,20,"Stiftelsen Bondens marked: ~20 faste markedsplasser",middels,0,0,2026-06-25
lokale-verdikjeder,andelslandbruk,NO,93,"Oekologisk Norge: 93 i drift (2023)",middels,20,73,2026-06-25
lokale-verdikjeder,gaardsutsalg,NO,0,"Ingen samlet telling; agent-fanout-celle",lav,0,0,2026-06-26
lokale-verdikjeder,markedshager,NO,0,"Markedshager Norge: ikke tallfestet",lav,0,0,2026-06-25
lokale-verdikjeder,paraply-nettverk,NO,8,"REKO Norge, Bondens marked, HANEN, Oekologisk Norge, NBS, Smaaskala Groent, Matsentralen, Stiftelsen Norsk Mat",hoey,0,0,2026-06-25
regenerativ-praksis,holistic-management-beiting,NO,12,"Regenerativt Norge/NLR maalrettet beiting og Holistic Management-raadgivermiljoe; grovt anslag",lav,0,0,2026-06-25
regenerativ-praksis,market-gardening,NO,30,"Markedshager Norge og Smaaskala Groent Norge; ingen samlet offentlig telling",lav,10,20,2026-06-26
regenerativ-praksis,biodynamisk,NO,12,"Biologisk-dynamisk Forening/Debio Demeter-gaardsliste: 12 Demeter-gaarder 2025",middels,0,0,2026-06-25
regenerativ-praksis,jordhelse-karbon,NO,20,"NIBIO/NLR/Regenerativt Norge jordhelse- og karbonprosjekter; grovt prosjektnode-anslag",lav,0,0,2026-06-25
regenerativ-praksis,raadgivning-nettverk,NO,15,"Regenerativt Norge, NLR, DebioInfo og uavhengige raadgivernettverk; grovt anslag",lav,0,0,2026-06-25
permakultur-fleraarige,permakultur-foreninger,NO,12,"Norsk Permakulturforening: nasjonal forening + ca. 10 lokallag; grovt anslag",middels,0,0,2026-06-25
permakultur-fleraarige,skogshage-agroforestry,NO,20,"NPF skoghagekart, KVANN/Schuebelers hager og kjente LAND-/demo-steder; grovt anslag",lav,0,0,2026-06-25
permakultur-fleraarige,froebevaring,NO,10,"KVANN, Norsk genressurssenter og nordiske froesamarbeid; konservativt node-anslag",middels,0,0,2026-06-25
permakultur-fleraarige,planteskoler-froeleverandoerer,NO,15,"Solhatt, Efferus og oekologiske/permakultur-naere planteskoler/froeleverandoerer; grovt anslag",lav,0,0,2026-06-25
permakultur-fleraarige,demonstrasjonssteder,NO,20,"LAND-sentre, skoghager, oekolandsbyer og undervisningshager; grovt anslag",lav,0,0,2026-06-25
institusjon-finansiering,forskningsinstitutt,NO,8,"NIBIO, NORSOK, Ruralis og tilgrensende FoU-institutt i feltet; konservativt anslag",middels,0,0,2026-06-25
institusjon-finansiering,universitet-utdanning,NO,8,"NMBU, UiO/SUM og relevante UH-miljoer/utdanninger; konservativt anslag",middels,0,0,2026-06-25
institusjon-finansiering,virkemiddel-ordning,NO,12,"Innovasjon Norge, Forskningsraadet, jordbruksavtaleprogram og EU-prosjektordninger; grovt anslag",lav,0,0,2026-06-25
institusjon-finansiering,kontroll-sertifisering,NO,6,"Debio, Stiftelsen Norsk Mat og sertifiserings-/merkeordninger i feltet; konservativt anslag",middels,0,0,2026-06-25
institusjon-finansiering,interesseorg-paraply,NO,15,"Oekologisk Norge, NBS, Bondelaget, fag-/paraplyorganisasjoner og nettverk; grovt anslag",lav,0,0,2026-06-25
innsatsfaktorer,froe-genressurser,NO,20,"Arbeidsanslag for taksonomi-metning; KVANN NordGen Norsk genressurssenter og froeleverandoerer verifiseres i gather",lav,13,7,2026-06-26
innsatsfaktorer,for-protein,NO,20,"Arbeidsanslag for taksonomi-metning; kraftfor proteinvekster og alternative for-kilder verifiseres i gather",lav,0,0,2026-06-26
innsatsfaktorer,gjodsel-jordforbedring,NO,20,"Arbeidsanslag for taksonomi-metning; gjodsel biorest kompost og jordforbedring verifiseres i gather",lav,0,0,2026-06-26
innsatsfaktorer,biostimulanter-jordliv,NO,20,"Arbeidsanslag for taksonomi-metning; biostimulanter og jordlivsmiljoer verifiseres i gather",lav,0,0,2026-06-26
primaerproduksjon,jordbruk-groent,NO,20,"Arbeidsanslag for taksonomi-metning; groentprodusenter og produsentnettverk verifiseres i gather",lav,0,0,2026-06-26
primaerproduksjon,husdyr-beite,NO,20,"Arbeidsanslag for taksonomi-metning; husdyr beite og jordhelsepraksis verifiseres i gather",lav,0,0,2026-06-26
primaerproduksjon,havbruk-akvakultur,NO,20,"Arbeidsanslag for taksonomi-metning; akvakulturregister og sjoenmat-aktorer verifiseres i gather",lav,0,0,2026-06-26
primaerproduksjon,villfisk-fiskeri,NO,20,"Arbeidsanslag for taksonomi-metning; Fiskeridirektoratet og fiskeriorganisasjoner verifiseres i gather",lav,0,0,2026-06-26
primaerproduksjon,ville-ressurser-sanking,NO,20,"Arbeidsanslag for taksonomi-metning; sanking ville vekster og ressursmiljoer verifiseres i gather",lav,0,0,2026-06-26
primaerproduksjon,urban-dyrking,NO,20,"Arbeidsanslag for taksonomi-metning; urbant landbruk og dyrkingsnettverk verifiseres i gather",lav,0,0,2026-06-26
foredling-industri,meieri,NO,20,"Arbeidsanslag for taksonomi-metning; meieriaktorer og lokale foredlere verifiseres i gather",lav,0,0,2026-06-26
foredling-industri,kjott-egg,NO,20,"Arbeidsanslag for taksonomi-metning; kjott egg slakteri og foredling verifiseres i gather",lav,0,0,2026-06-26
foredling-industri,korn-molle-bakeri,NO,20,"Arbeidsanslag for taksonomi-metning; korn molle og bakeriaktorer verifiseres i gather",lav,0,0,2026-06-26
foredling-industri,frukt-groent-foredling,NO,20,"Arbeidsanslag for taksonomi-metning; frukt groent og lokal foredling verifiseres i gather",lav,0,0,2026-06-26
foredling-industri,drikke-bryggeri,NO,20,"Arbeidsanslag for taksonomi-metning; bryggeri sider most og drikkeaktorer verifiseres i gather",lav,0,0,2026-06-26
foredling-industri,sjomat-foredling,NO,20,"Arbeidsanslag for taksonomi-metning; sjomatforedling verifiseres i gather",lav,0,0,2026-06-26
foredling-industri,naeringsmiddel-ovrig,NO,20,"Arbeidsanslag for taksonomi-metning; oevrig naeringsmiddelindustri verifiseres i gather",lav,0,0,2026-06-26
distribusjon-grossist,grossist-distributor,NO,20,"Arbeidsanslag for taksonomi-metning; grossister og distributorer verifiseres i gather",lav,0,0,2026-06-26
distribusjon-grossist,logistikk-lager,NO,20,"Arbeidsanslag for taksonomi-metning; logistikk lager og mattransport verifiseres i gather",lav,0,0,2026-06-26
