node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
markedshage-botun-gardsbutikk,Botun Gardsbutikk,gaard,regenerativ-praksis,market-gardening,NO,"Botun - Okologisk Markedshage og Smabruk ligger 240 moh i Luster kommune. De driver med gronnsaker, blomster, handlaget sjokolade og utegris. Gardskafe og butikk.",,,,https://okologisknorge.no/oekoguiden/boetun-gaardsbutikk/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=9952 (Markedshage); fetched 2026-06-25.
markedshage-undeland-gard,Undeland gard,gaard,regenerativ-praksis,market-gardening,NO,Undeland gard tilbyr okologiske gardsblomster og gronnsaker fra en duggfrisk aker i Hardanger!,,,,https://okologisknorge.no/oekoguiden/undeland-gaard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=9952 (Markedshage); fetched 2026-06-25.
markedshage-korsviken-gard,Korsviken gard,gaard,regenerativ-praksis,market-gardening,NO,Markedshage med okologisk gronnsaksproduksjon og beitehons.,,,,https://okologisknorge.no/oekoguiden/korsviken-gaard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=9952 (Markedshage); fetched 2026-06-25.
markedshage-grindal-gardsbutikk,Grindal gardsbutikk,gaard,regenerativ-praksis,market-gardening,NO,"Gardsbutikk med gronnsaker fra Gront fra Grindal i sesong, knyttet til markedshagekategorien i Oekoguiden.",,,,https://okologisknorge.no/oekoguiden/grindal-gaardsbutikk/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=9952 (Markedshage); fetched 2026-06-25.
markedshage-vedervang-okologiske-utsalg,Vedervang okologiske utsalg,gaard,lokale-verdikjeder,gaardsutsalg,NO,"Sjolbetjent okologisk gardsutsalg med egenprodusert og lokal mat, oppfort i Oekoguiden under markedshage.",,,,https://okologisknorge.no/oekoguiden/vedervang-oekologiske-utsalg/,registry_snapshot,machine_verified,hoey,2026-06-25,"Oekoguiden API categoryId=9952; reklassifisert til gaardsutsalg (sjoelvbetjent utsalg, ikke market-garden) 2026-06-26."
markedshage-akersmak-huseby-gard,Akersmak Huseby gard,gaard,regenerativ-praksis,market-gardening,NO,"Huseby gard i Tjolling; Akersmak Gardsutsalg dyrker kortreiste sesonggronnsaker.",,,,https://okologisknorge.no/oekoguiden/aakersmak-huseby-gaard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=9952 (Markedshage); fetched 2026-06-25.
markedshage-gjoding-gard,Gjoding Gard,gaard,regenerativ-praksis,market-gardening,NO,"Okologisk kjottproduksjon av storfe og gris med markedshage, frukthage og gardsbutikk.",,,,https://okologisknorge.no/oekoguiden/gjoeding-gaard/,registry_snapshot,machine_verified,hoey,2026-06-25,"Oekoguiden API categoryId=9952 (Markedshage). Samme gaard som node multistrata-gjoeding (EU-agroforestry-prosjektet hostes her); beholdt som egen markedshage-node."
markedshage-sander-nordstuen-gard,Sander Nordstuen Gard,gaard,regenerativ-praksis,market-gardening,NO,"Gard med andelsproduksjon og levende smabruk, oppfort i Oekoguiden under markedshage.",,,,https://okologisknorge.no/oekoguiden/sander-nordstuen-gaard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=9952 (Markedshage); fetched 2026-06-25.
markedshage-sveivdokk-okologiske-gard,Sveivdokk okologiske gard,gaard,regenerativ-praksis,market-gardening,NO,"Selvbetjent gardsutsalg paa Sveivdokk okologiske gard med gronnsaker, kjott og meieriprodukter.",,,,https://okologisknorge.no/oekoguiden/sveivdokk-oekologiske-gaard/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=9952 (Markedshage); fetched 2026-06-25.
markedshage-slettene-hage,Slettene Hage,gaard,regenerativ-praksis,market-gardening,NO,"Okologisk gardsbruk med epler, gronnsaker, baer, egg, eplemost og syltetoyproduksjon.",,,,https://okologisknorge.no/oekoguiden/slettene-hage/,registry_snapshot,machine_verified,hoey,2026-06-25,Oekoguiden API categoryId=9952 (Markedshage); fetched 2026-06-25.
