node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
reko-ring-arendal,REKO-ringen Arendal,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/1937710362945137/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-asker,REKO-ringen Asker,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-side/-gruppe.",,2022,,https://www.facebook.com/profile.php?id=100077301828611,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; lokator er Facebook-profil og derfor flagges for menneske."
reko-ring-askim-mysen,REKO-ringen Askim og Mysen,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/rekoaskim/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-aure,REKO-ringen Aure,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/rekoringenaure,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-balsfjord,REKO-ringen Balsfjord,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/634636273913984,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-beitostolen,REKO-ringen Beitostolen,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/REKO.BEITOSTOLEN/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-bergen-fana,REKO-ringen Bergen Fana,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/2377478842509796/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-bergen-fyllingsdalen,REKO-ringen Bergen Fyllingsdalen,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/rekobergen/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-bergen-asane,REKO-ringen Bergen Asane,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/rekobergenikea/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-bergen-sentrum,REKO-ringen Bergen Sentrum,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/229566011437134/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-bjorkelangen,REKO-ringen Bjorkelangen,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/174639780639272/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-brumunddal,REKO-ringen Brumunddal,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/486750929064311,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-bronnoysund-berg,REKO-ringen Bronnoysund/Berg,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/435481990490067,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
reko-ring-dokka,REKO-ringen Dokka,nettverk,lokale-verdikjeder,reko,NO,"Lokal REKO-ring for direktehandel mellom lokale matprodusenter og kunder via Facebook-gruppe.",,2022,,https://www.facebook.com/groups/346109372734835/,secondary,unverified,middels,2026-06-25,"Kandidat fra Spiseligs REKO-liste oppdatert 27.11.2022; REKO Norge beskriver Facebook-gruppene som ringens lokator. Human review: sjekk fortsatt aktivitet."
