insight_id,insight_title,doc_id,doc_title,source,rank,confidence,decision
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmmpax3i2001pu10dyrnjc98w,Sirkularitet i nordisk mat — dypanalyse,Report,38.00000190734863,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmmqza93t001sy70dcwbyzm6v,Nordiske mat-tenkere og paavirkernettverk,Report,32.00000047683716,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmmv9nxrb0018w70du3q8av2t,Nordisk avhandlingsregister — matpolitikk,Report,32.00000047683716,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmmxa66g4003mty0dl3iidwm5,Hagar plc — Management Report 2024/25 and Q4 Results,Report,30,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmoh2g8gr003mn60d5og028js,Breaking Barriers,Report,30,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmo87fi8l00kiq30dv4w4v2xn,Perplexity Promptpack — Møte 7 (20.04.2026),Document,24,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmo87ff59000aq30dug05vwd4,Research Corpus Audit -- Food Systems 2026,Document,22.200000762939453,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmn7lfl4d0004fy0d8rbhfxsd,Research Corpus Audit -- Food Systems 2026,Document,22.200000762939453,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmnyng10v000xd50dki28l95j,PDF-gjennomgang: Nordisk komparativ mappe,Document,18.400001525878906,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmn7lflbd0026fy0d9gzydjoo,The Impact of Food Loss and Waste Reduction Practices on Consumer Grocery Store Choice,Thesis,18.000000715255737,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmn7lflc8002gfy0dcl4adf21,Rema 1000: Nokkelen til succes pa det danske detailmarked,Thesis,18.000000715255737,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmo87ff5z000eq30dh9polgas,Arkiv-indeks — research/,Document,15.000000953674316,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmnyng0ve0000d50ddmwephuv,Arkiv-indeks — research/,Document,15.000000953674316,high,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmmpax3rx002mu10d3imte3fi,Innsatsvarer og oppstrøms verdikjeder i nordisk landbruk,Document,14.500000953674316,medium,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmmv9ny04004mw70d4mf5vlop,Perplexity-masterliste: Food Systems 2026,Document,13.800000190734863,medium,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmmpax3ej000lu10dexppjdhp,ICAs fall i Norge,Thesis,12.000000476837158,medium,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmmv9nxq2000lw70d4aqkmxkp,Dynamics in the Swedish Grocery Retail Industry,Thesis,12.000000476837158,medium,
ins-03,Nordisk matsikkerhetsstrategi mangler koordinering,cmn7lflel003dfy0d7wwaxwum,Politics You Can Eat: Insights from the Implementation of Sodertalje Municipality's Food Supply Strategy,Thesis,12.000000476837158,medium,
