type,id,year,domain,malformed,url,wayback_probe,title
Report,akademia-sifo-kundeprogram-2026,2026,regjeringen.no,0,https://www.regjeringen.no/contentassets/139405f88a35456986e5aa579de7f290/sifo-rapport-1-2026-kunnskapsgrunnlag-om-kundeprogrammene-i-dagligvaremarkedet.pdf,https://web.archive.org/web/2026*/https://www.regjeringen.no/contentassets/139405f88a35456986e5aa579de7f290/sifo-rapport-1-2026-kunnskapsgrunnlag-om-kundeprogrammene-i-dagligvaremarkedet.pdf,SIFO: Lojalitetsprogrammer og prisdata
Report,dagligvaretilsynet-aarsrapport-2021,2021,regjeringen.no,0,https://www.regjeringen.no/contentassets/a9f933fc2c5c4d8aaed0a267b45a033d/dagligvaretilsynet-arsrapport-for-2022.pdf,https://web.archive.org/web/2026*/https://www.regjeringen.no/contentassets/a9f933fc2c5c4d8aaed0a267b45a033d/dagligvaretilsynet-arsrapport-for-2022.pdf,Dagligvaretilsynet — Årsrapport 2021
Report,dagligvaretilsynet-aarsrapport-2022,2022,regjeringen.no,0,https://www.regjeringen.no/contentassets/a9f933fc2c5c4d8aaed0a267b45a033d/arsrapport_dagligvaretilsynet-2023.pdf,https://web.archive.org/web/2026*/https://www.regjeringen.no/contentassets/a9f933fc2c5c4d8aaed0a267b45a033d/arsrapport_dagligvaretilsynet-2023.pdf,Dagligvaretilsynet — Årsrapport 2022
Report,dagligvaretilsynet-aarsrapport-2023,2023,regjeringen.no,0,https://www.regjeringen.no/contentassets/036ffda0c81e4b3f99456a78ec31df0e/arsrapport-dagligvaretilsynet-2024.pdf,https://web.archive.org/web/2026*/https://www.regjeringen.no/contentassets/036ffda0c81e4b3f99456a78ec31df0e/arsrapport-dagligvaretilsynet-2024.pdf,Dagligvaretilsynet — Årsrapport 2023
Report,dagligvaretilsynet-aarsrapport-2024,2024,regjeringen.no,0,https://www.regjeringen.no/contentassets/41847427caa14feb8b8578af3d6d45bc/r15-2023-kartlegging-av-egne-merkevarer-og-vertikal-integrasjon-i-dagligvaremarkedet.pdf,https://web.archive.org/web/2026*/https://www.regjeringen.no/contentassets/41847427caa14feb8b8578af3d6d45bc/r15-2023-kartlegging-av-egne-merkevarer-og-vertikal-integrasjon-i-dagligvaremarkedet.pdf,Dagligvaretilsynet — Årsrapport 2024
Report,emv-kartlegging-2023,2023,regjeringen.no,0,https://www.regjeringen.no/contentassets/41847427caa14feb8b8578af3d6d45bc/r15-2023-kartlegging-av-egne-merkevarer-og-vertikal-integrasjon-i-dagligvaremarkedet.pdf,https://web.archive.org/web/2026*/https://www.regjeringen.no/contentassets/41847427caa14feb8b8578af3d6d45bc/r15-2023-kartlegging-av-egne-merkevarer-og-vertikal-integrasjon-i-dagligvaremarkedet.pdf,Kartlegging av egne merkevarer og vertikal integrasjon i dagligvaremarkedet
Report,juridisk-eiendomsmakt-lokal-konkurranse,2024,regjeringen.no,0,https://www.regjeringen.no/no/aktuelt/forbyr-praksis-som-motvirker-konkurranse-i-dagligvaremarkedet/id2985486/,https://web.archive.org/web/2026*/https://www.regjeringen.no/no/aktuelt/forbyr-praksis-som-motvirker-konkurranse-i-dagligvaremarkedet/id2985486/,Eiendomsmakt og lokal konkurranse
Report,kt-markedsundersokelser-2026,2026,regjeringen.no,0,https://www.regjeringen.no/no/aktuelt/i-dag-far-konkurransetilsynet-et-nytt-verktoy-for-a-bekjempe-alvorlige-konkurranseproblemer/id3113837/,https://web.archive.org/web/2026*/https://www.regjeringen.no/no/aktuelt/i-dag-far-konkurransetilsynet-et-nytt-verktoy-for-a-bekjempe-alvorlige-konkurranseproblemer/id3113837/,Markedsundersokelser § 14 — Status
Report,matsvinnutvalget-2024,2024,regjeringen.no,0,https://www.regjeringen.no/contentassets/5a5cadf8907a4f4c94740d23d7c4c6e4/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,https://web.archive.org/web/2026*/https://www.regjeringen.no/contentassets/5a5cadf8907a4f4c94740d23d7c4c6e4/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,Matsvinnutvalgets anbefalinger
Report,meld-st-11-selvforsyning,2024,regjeringen.no,0,https://www.regjeringen.no/no/dokumenter/meld.-st.-11-20232024/id3028626/,https://web.archive.org/web/2026*/https://www.regjeringen.no/no/dokumenter/meld.-st.-11-20232024/id3028626/,Strategi for auka sjoelvforsyning
