node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
reko-norge,REKO-ringer Norge,civil-society,lokale-verdikjeder,paraply-nettverk,NO,,,,,,,,,2026-06-25,re-tag: domene/subdomene paa eksisterende node
andelslandbruk-no,Andelslandbruk (Oekologisk Norge),network,lokale-verdikjeder,paraply-nettverk,NO,,,,,,,,,2026-06-25,re-tag: domene/subdomene paa eksisterende node
stiftelsen-bondens-marked,Stiftelsen Bondens marked Norge,organisasjon,lokale-verdikjeder,paraply-nettverk,NO,,,,,,,,,2026-06-25,re-tag: domene/subdomene paa eksisterende node
hanen,HANEN,organisasjon,lokale-verdikjeder,paraply-nettverk,NO,,,,,,,,,2026-06-25,re-tag: domene/subdomene paa eksisterende node
matsentralen-norge,Matsentralen Norge,organisasjon,lokale-verdikjeder,paraply-nettverk,NO,,,,,,,,,2026-06-25,re-tag: domene/subdomene paa eksisterende node
overland-andelslandbruk,Oeverland Andelslandbruk SA,gaard,lokale-verdikjeder,andelslandbruk,NO,,,,,,,,,2026-06-25,re-tag: domene/subdomene paa eksisterende node
reko-sverige,REKO-ringar Sverige,nettverk,lokale-verdikjeder,reko,SE,,,,,,,,,2026-06-25,re-tag: domene/subdomene (Norden-kontekst)
reko-danmark,REKO i Danmark (forsoekt),nettverk,lokale-verdikjeder,reko,DK,,,,,,,,,2026-06-25,re-tag: domene/subdomene (Norden-kontekst)
reko-finland,REKO (opprinnelse),nettverk,lokale-verdikjeder,reko,FI,,,,,,,,,2026-06-25,re-tag: domene/subdomene (Norden-kontekst)
beint-fra-byli,Beint fraa byli,organisasjon,lokale-verdikjeder,paraply-nettverk,IS,,,,,,,,,2026-06-25,re-tag: domene/subdomene (Norden-kontekst)
reko-ring-trondheim,REKO-ringen Trondheim,nettverk,lokale-verdikjeder,reko,NO,REKO-ring i Trondheim by der lokale produsenter selger mat direkte til forbrukere via Facebook-gruppe.,,,,https://www.facebook.com/groups/rekoRingenTrondheim/,primary,machine_verified,hoey,2026-06-25,Trondheim har flere REKO-lokasjoner; dette er hovedringen
reko-ring-sandnes-stavanger,REKO-ringen Sandnes/Stavanger,nettverk,lokale-verdikjeder,reko,NO,"REKO-ring paa Forus med ca. 47.000 medlemmer og over 250 produsenter fra Rogaland; utlevering annenhver torsdag.",,47000 medlemmer (2024),,https://www.facebook.com/groups/rekosandnes/,primary,machine_verified,hoey,2026-06-25,Foerste REKO i Rogaland; produktkrav: egenprodusert i Rogaland
