node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
andelslandbruk-sylling-andelslandbruk,Sylling andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Lengst nord i vakre Lierdalen, men likevel innenfor 1/2 times kjøretur fra Asker, Sandvika og Drammen, ligger Sylling Andelslandbruk på gården Vestre Sylling. Vi ønsker å være et veldrevet, passelig stort andelslandbruk, der andelshaverne kan forvente å få rikelig med grønnsaker i sesong, møte et hyggelig miljø, og få muligheten til å lære og oppleve hvor ma",,2026,,https://okologisknorge.no/oekoguiden/sylling-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Buskerud. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-vie-andelslandbruk-sa,Vie Andelslandbruk SA,gaard,lokale-verdikjeder,andelslandbruk,NO,"Medlemsstyrt andelslandbruk stifta januar 2016 med 35 medlemmer. Vi hadde ein svært vellukka førstesesong med mye jobbing, mange kjekke dugnader, fått prøvd ut 60-70 sortar grønsaker og hadde ein overdådig produksjon. I 2017 var vi 49 medlemmer, ein kald og våt sommar gjorde avlinga mindre og utfordringane større, men vi fekk drivhus på plass. Nye medlemmer ",,2026,,https://okologisknorge.no/oekoguiden/vie-andelslandbruk-sa/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Førde/Sogn og Fjordane. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-austraatt-andelsjordbruk,Austrått andelsjordbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Våre medlemmer dyrker økologiske grønnsaker og bær. Medlemmene kan velge mellom enkeltandel, familieandel og egen parsell. På andelene dyrker vi grønnsakene i fellesskap og deler på avlingen. På parsell bestemmer du selv hva du dyrker og høster egen avling.",,2026,,https://okologisknorge.no/oekoguiden/austraatt-andelsjordbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Opphaug/Sør-Trøndelag. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-hals-andelsgaard,Hals Andelsgård,gaard,lokale-verdikjeder,andelslandbruk,NO,Hals Andelsgård startet opp i 2016 med grønnsaker.,,2026,,https://okologisknorge.no/oekoguiden/hals-andelsgaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Halsnesvegen 565/Møre og Romsdal. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelshagebruket-roed-pa-jeloy-sa,Andelshagebruket Røed på Jeløy,gaard,lokale-verdikjeder,andelslandbruk,NO,"Andelshagebruket Røed På Jeløy SA, også kjent som Stjernehagen, startet sent på våren i 2016 med bare 20 medlemmer.",,2026,,https://okologisknorge.no/oekoguiden/andelshagebruket-roeed-paa-jeloey/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Østfold. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift. Eksisterende aktør andelshagebruket-roed-pa-jeloy-sa berikes med andelslandbruk-registrering."
andelslandbruk-soe-stroem-gaard,Sø-Strøm Gård,gaard,lokale-verdikjeder,andelslandbruk,NO,Sø-Strøm gård driver variert grønnsaksproduksjon på nesten 4 dekar. Gården har i tillegg økologisk gras- og kornproduksjon og forskjellige dyr som ikke er en del av andelslandbruket.,,2026,,https://okologisknorge.no/oekoguiden/soe-stroem-gaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Hakadal/Akershus. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
dysterjordet-andelslandbruk-sa,Dysterjordet andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Dysterjordet andelslandbruk holder til i Ås der vi leier 15 da av Dyster gård. Vi dyrker økologiske grønnsaker, poteter, urter, og litt bær.",,2026,,https://okologisknorge.no/oekoguiden/dysterjordet-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=ÅS/Akershus. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift. Eksisterende aktør dysterjordet-andelslandbruk-sa berikes med andelslandbruk-registrering."
andelslandbruk-inderoey-andelslandbruk,Inderøy andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,Inderøy andelslandbruk ligger på Vatn gård i Inderøy kommune. Andelslandbruket ble stiftet i 2014 og startet med et bredt utvalg av grønnskaper.,,2026,,https://okologisknorge.no/oekoguiden/inderoey-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=INDERØY/Trøndelag. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-vikhammer-andelsgaard-sa,Vikhammer Andelsgård SA,gaard,lokale-verdikjeder,andelslandbruk,NO,Vikhammer Andelsgård SA ble opprettet i febr. 2016 og har 100 andelshavere. Vi produserer økologiske grønnsaker til eget bruk på 11 mål som vi leier av bonden Olav Vikhammer. Gården ligger høyt oppe på vakre Vikhammer i Malvik kommune med utsikt over Trondheimsfjorden.,,2026,,https://okologisknorge.no/oekoguiden/vikhammer-andelsgaard-sa/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Vikhammer/Trøndelag. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-aarhus-andelslandbruk,Århus Andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Århus Andelslandbruk ligger på Århus Gård i Skien i Telemark. Andelslandbruket har vært i drift siden 2011, drives økologisk og er godkjent av Debio. Som andelshaver i Århus Andelslandbruk får du være med i en stor og bynær grønnsaksåker, dyrket etter økologiske prinsipper. Vi har egen gartner, men du kan bidra til dyrkingen gjennom ukentlige dugnader om du ",,2026,,https://okologisknorge.no/oekoguiden/aarhus-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Skien/Telemark. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-solsiden-andelslandbruk,Solsiden Andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,Solsiden andelslandbruk er en del av Oppetveiten økologiske gård som drives av Nils Dolvik og Sophie Hysing-Dahl. Her i naturskjønne omgivelser rett utenfor Bergen kan vi tilby familier og enkeltpersoner andeler i økologisk grønnsaksproduksjon.,,2026,,https://okologisknorge.no/oekoguiden/solsiden-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 2 deduplisert mot eksisterende DB-aktører og tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=ARNATVEIT/Vestland. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
