node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
andelslandbruk-tveten-andelsgaard,Tveten andelsgård,gaard,lokale-verdikjeder,andelslandbruk,NO,"Tveten andelsgård er en relativt nyoppstartet andelsgård, og holder til ved historiske Tveten gård på Tveita i Oslo. Her ble jorda dyrket i århundrer, fram til midt på 1900-tallet. Endelig skal jorda igjen dyrkes, og bli en grønn og sosial møteplass for innbyggerne i området!",,2026,,https://okologisknorge.no/oekoguiden/tveten-andelsgaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Oslo. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-hadeland-andelslandbruk,Hadeland andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Hadeland andelslandbruk formidler andeler med et stort utvalg av grønnsaker i tillegg til egg, lam, gris, og kalv. Vi arranger ulike kurs og arbeidsgrupper, blant annet fermentering, julesylte, løkfletting, pølser og andelsahavere har gått sammen og presset eplejuice fra egen hage som blir tilbudt de andre andelshaverne. I sesongen har vi vi høstes",,2026,,https://okologisknorge.no/oekoguiden/hadeland-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=ikke oppgitt. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-falang-andelsgaard,Falang andelsgård,gaard,lokale-verdikjeder,andelslandbruk,NO,"Andelsgård med bringebær, felles dyrking av grønnsaker og egen vedfyrt bakerovn.",,2026,,https://okologisknorge.no/oekoguiden/falang-andelsgaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Oppland. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-oeverland-andelslandbruk,Øverland andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Øverland Andelslandbruk SA ble etablert i 2006 som den første gården i Norge drevet som et andelslandbruk. Andelslandbruket leier jord av Reidar Braaten, som eier Øverland gård. Vi dyrker økologiske grønnsaker på 30 mål og er godkjent av Debio. Vi dyrker lokal økologisk mat i felleskap!",,2026,,https://okologisknorge.no/oekoguiden/oeverland-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Viken. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-spiren-andelslandbruk,Spiren andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Spiren andelslandbruk starta opp i 2014 og har hatt ein allsidig produksjon så langt. Vi dyrker reddik, nepe, mangold, rødbete, løk, kål, gulrot, poteter, erter, bønner, squash, urter og bringebær. Alt er sjølvsagt økologisk. Frå 2020 har vi etablert drivhus, der vi dyrkar tomat og agurk. Medlemmane våre kjem både frå Sykkylven og Ålesund.",,2026,,https://okologisknorge.no/oekoguiden/spiren-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Møre og Romsdal. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-kirkerud-andelsgaard,Kirkerud Andelsgård,gaard,lokale-verdikjeder,andelslandbruk,NO,"Liten andelsgård med selvhøsting av grønnsaker, urter, bær, frukt og egg. Det dyrkes over 40 ulike grønnsaker, vi bestemmer sammen hvilke som skal prioriteres. Vi har et drivhus med blant annet tomater og agurk. 60 andeler med grønnsaker, ca. 35 med egg. I 2021 koster en grønnsaksandel 3200 kr, eggandel 550 kr. 10 timer dugnadsplikt.",,2026,,https://okologisknorge.no/oekoguiden/kirkerud-andelsgaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Viken. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-viker-roeed-andelsbruk,Viker Røed andelsbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"På Viker gård dyrker vi økologiske grønnsaker. I tillegg selger vi økologisk mel, brød, samt lokal eple-og bringebærsaft i gårdsbutikken.",,2026,,https://okologisknorge.no/oekoguiden/viker-roeed-andelsbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Viken. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-holt-gaard-i-undrumsdal,Holt Gård i Undrumsdal,gaard,lokale-verdikjeder,andelslandbruk,NO,Har du lyst på lokale grønnsaker rett fra jorda produsert med omsorg for liv? Vi dyrker et bredt utvalg av grønnsaker på åker og i 2 drivhus hvor du kan komme og høste selv. Hjertelig Velkommen på Laget!,,2026,,https://okologisknorge.no/oekoguiden/holt-gaard-i-undrumsdal/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Vestfold og Telemark. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-medalhus-andelslandbruk,Medalhus Andelslandbruk,gaard,lokale-verdikjeder,andelslandbruk,NO,"Medalhus andelslandbruk ble startet i 2013 og har i dag 150 medlemmer. Andelslandbruket er bondestyrt (fra 2019). Produksjonen foregår på ca. 9 dekar, 5 dekar grønnsaker, 1 dekar gangveier/vendeplass, 1 dekar bringebær, 300 kvadratmeter med veksthus, 1 dekar brakkingsareal og ca 1 dekar plen. Se film her: https://youtu.be/1m9_C5Jbi8k",,2026,,https://okologisknorge.no/oekoguiden/medalhus-andelslandbruk/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Sør-Trøndelag. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-grette-andelsgaard,Grette andelsgård,gaard,lokale-verdikjeder,andelslandbruk,NO,"Andelslandbruk med over 100 andeler. Beliggenhet sentralt i Vestfold i nærheten av Horten og Tønsberg. Dyrker over 40 slag grønnsaker og har i tillegg sauer, geiter, gris, høner og påfugl. Mulighet for å kjøpe andeler i både grønnsaker, mel og egg. Salg av kjøtt fra gården.",,2026,,https://okologisknorge.no/oekoguiden/grette-andelsgaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Vestfold. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-virgenes-andelsgaard,Virgenes andelsgård,gaard,lokale-verdikjeder,andelslandbruk,NO,"Som en av de første andelsgårder i landet, har vi gjort gode erfaringer for samarbeid med våre andelsbønder og medprodusenter. Andelsbønder kan feks ta ut sesongens kjøtt i form av en pakke hver andre måned. Vi har egen gårdsmølle og vi har kjølelager for vinterlagring. Av aktiviteter bla fermenterer grønnsaker og lager eget øl. I år blir det også honningproduksjon. Gården er omfavnet av Nummedalslågen og den kan ben",,2026,,https://okologisknorge.no/oekoguiden/virgenes-andelsgaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=Vestfold. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-holt-gaard,Holt Gård,gaard,lokale-verdikjeder,andelslandbruk,NO,"En allsidig gård med melkekyr, andelshage, meieri, kafé, gårdsutsalg, kurs og selskapslokale.",,2026,,https://okologisknorge.no/oekoguiden/holt-gaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=TØNSBERG/Vestfold og Telemark. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
andelslandbruk-opaker-gaard,Opaker Gård,gaard,lokale-verdikjeder,andelslandbruk,NO,"På Opaker Gård er det et ønske om bærekraftige og smakelige opplevelser. Her dyrker, høster, avler og sanker de fra egen eiendom for å ha sporbarhet og kvalitet på produktene sine.",,2026,,https://okologisknorge.no/oekoguiden/opaker-gaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB og to tidligere andelslandbruk-kandidatfiler med normalisert lokator/navn. Sted=GRUE/Innlandet. Guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
branaas-sondre-gard,Brånås Søndre gård,gaard,lokale-verdikjeder,andelslandbruk,NO,"På Brånås Søndre Gård, rett utenfor Oslo, dyrker de økologiske jordbær og grønnsaker og tilbyr kjøtt fra utegris på beite. Gården har også et andelslandbruk.",,2026,,https://okologisknorge.no/oekoguiden/braanaas-soendre-gaard/,registry_snapshot,machine_verified,middels,2026-07-02,"Økoguiden API categoryId=8467 (Andelslandbruk) fetched 2026-07-02; pass 3 deduplisert mot live DB, alle aktørnavn og to tidligere andelslandbruk-kandidatfiler. Sted=LILLESTRØM/Viken. Eksisterende market-gardening-aktør `branaas-sondre-gard` berikes med andelslandbruk-registrering; guideoppføring bekrefter kategori/lokator, ikke aktiv sesongdrift."
