node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
biogass-norge,Biogass Norge,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Interesseorganisasjon for biogassbransjen og verdikjeden fra leverandorer og produsenter til distributorer og brukere.",,2026,921694784,https://biogassnorge.no/om-oss,primary,machine_verified,hoy,2026-06-26,"Egen side oppgir rolle og org.nr.; Brreg API validert aktiv FLI"
st1-biokraft,St1 Biokraft AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Produsent av flytende biogass ved Skogn fra avfall og biprodukter fra norsk mat- og oppdrettsindustri.",,2026,894625902,https://st1biokraft.com/media/news/norway-s-prime-minister-jonas-gahr-store-visited-skogn,primary,machine_verified,hoy,2026-06-26,"Egen nyhet beskriver Skogn-anlegget; Brreg API validert aktiv AS og eksisterende Company/Actor finnes"
greve-biogass,Greve Biogass AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Kommunalt eid biogassaktor knyttet til Den Magiske Fabrikken og verdikjeder for organisk avfall, biogass, biogjodsel og gronn CO2.",,2026,912716635,https://dmfas.no/om-dmfas,primary,machine_verified,hoy,2026-06-26,"DMF-side beskriver Greve Biogass rolle/eierskap; Brreg API validert aktiv AS"
den-magiske-fabrikken,Den Magiske Fabrikken AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Biogassanlegg paa Sem som produserer biogass, biogjodsel og gronn CO2 fra matavfall, husdyrgjodsel og slam.",,2026,926389998,https://dmfas.no/om-dmfas,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver driftsovertakelse og produksjonsrolle; Brreg API validert aktiv AS"
ivar-iks,IVAR IKS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Interkommunal aktor som produserer biogass ved SNJ og Grodaland fra slam, matavfall og andre organiske ressurser.",,2026,871035032,https://www.ivar.no/biogass/,primary,machine_verified,hoy,2026-06-26,"Egen side oppgir biogassproduksjon og org.nr.; Brreg API validert aktiv IKS"
ecopro-as,Ecopro AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Biogassanlegg i Verdal som behandler matavfall og slam og produserer biogass og biogjodsel for Midt-Norge.",,2026,984853998,https://ecopro.no/2023/05/ecopro-utvider-kapasiteten-og-investerer-43-mill-kroner/,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver kapasitet og rolle; Brreg API validert aktiv AS"
lindum-as,Lindum AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Avfalls- og ressursaktor med biogass- og biogjodselaktivitet, medeier i Den Magiske Fabrikken.",,2026,979618840,https://lindum.no/produkter/biogass,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver biogassarbeid og org.nr.; Brreg API validert aktiv AS"
renevo-as,Renevo AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Biogasselskap registrert for produksjon av gass, inkludert Stord-satsing dokumentert i bransjekilder.",,2026,916941552,https://biogassbransjen.no/emne/biogassanlegg/,secondary,unverified,middels,2026-06-26,"Brreg API validert aktiv AS; rolle hentes fra bransjeoversikt og maa etterkontrolleres mot egen/konsesjonskilde"
veas-as,VEAS AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Renseanleggskonsern som produserer raagass fra slam og organiserer oppgradering/videreforedling til flytende biogass.",,2026,920171400,https://veas.nu/arsrapporter/arsrapport-2024/styrets-beretning-og-okonomi/styret-har-ordet/,primary,machine_verified,hoy,2026-06-26,"Egen aarsrapport beskriver biogassanlegg og LBG-produksjon; Brreg API validert aktiv AS"
veas-marked-as,Veas Marked AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Datterselskap som kjoeper raagass fra Veas Selvkost, oppgraderer til LBG og selger videre i markedet.",,2026,920652336,https://veas.nu/arsrapporter/arsrapport-2024/styrets-beretning-og-okonomi/styret-har-ordet/,primary,machine_verified,hoy,2026-06-26,"Egen aarsrapport beskriver tjenesteproduksjon; Brreg API validert aktiv AS"
romerike-biogassanlegg,Romerike Biogassanlegg AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Biogassanlegg for behandling av Oslos matavfall og produksjon av biogass og gjodsel; salg/anbudsprosess dokumentert av Oslo kommune.",,2026,936106978,https://aktuelt.oslo.kommune.no/byradet-anbefaler-salg-av-romerike-biogassanlegg,public,machine_verified,hoy,2026-06-26,"Oslo kommune beskriver anleggets rolle; Brreg API validert aktiv AS"
cambi-asa,Cambi ASA,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Norsk teknologileverandor for termisk hydrolyse som brukes sammen med anaerob nedbrytning for aa oke biogassutbytte fra slam og organisk avfall.",,2026,976929284,https://www.cambi.com/process,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver THP-prosess og biogassrolle; Brreg API validert aktiv ASA"
antec-biogas,Antec Biogas AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Utvikler og bygger biogass- og gjodselfabrikker med BOO-modell og egne anlegg som Vest Biogass og Malm Biogass.",,2026,914077974,https://antecbiogas.com/,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver anlegg, teknologi og kontakt; Brreg API validert aktiv AS"
norsk-biogass-as,Norsk Biogass AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Teknologileverandor for forbehandling av matavfall og BioPrePlant-systemer til biogassverdikjeden.",,2026,990012490,https://www.norskbiogass.no/about.html,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver BioPrePlant og matavfallsteknologi; Brreg API validert aktiv AS"
mjosanlegget-as,Mjosanlegget Biogass AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Behandlingsanlegg paa Lillehammer som gjor matavfall om til vaatgjodsel, kompost og biogass.",,2026,987916346,https://www.mjosanlegget.no/om-oss/,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver anlegg, kapasitet og org.nr.; Brreg API validert aktiv AS"
frevar-kf,FREVAR KF,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Kommunalt foretak i Fredrikstad som produserer biogass fra avlopsslam og matavfall til drivstoff og jordforbedring.",,2026,979952171,https://frevar.no/biogassanlegg/,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver biogassanlegg og org.nr.; Brreg API validert aktiv KF"
bir-ressurs-as,BIR Ressurs AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"BIR-aktor knyttet til biogassanlegget paa Voss som omdanner matavfall og husdyrgjodsel til biogass og biogjodsel.",,2026,985825408,https://bir.no/om-bir/vaare-anlegg/biogassanlegget/,primary,machine_verified,hoy,2026-06-26,"BIRs egen anleggsside beskriver biogassanlegget; Brreg API validert aktiv AS for BIR Ressurs"
bio-jaeren-as,Bio Jaeren AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Planlagt storskala biogass- og gjodselfabrikk paa Grodaland for husdyrgjodsel og landbruksavfall.",,2026,930689386,https://biojaeren.no/om-oss,primary,machine_verified,hoy,2026-06-26,"Egen side beskriver anlegg, eiere og landbruksrolle; Brreg API validert aktiv AS"
vireo-as,Vireo AS,organisasjon,matsvinn-sirkulaer,biogass-bioraffinering,NO,"Fornybar energi-utvikler med lokale biogasslosninger, inkludert Hardanger og Lista Biogass-prosjektene.",,2026,927168669,https://nordsol.com/news/vireo-selects-nordsol-for-lbg-technology-at-lista-biogass/,secondary,unverified,middels,2026-06-26,"Brreg API validert aktiv AS; prosjektrolle dokumentert av teknologileverandor Nordsol og maa etterkontrolleres mot egen side"
