node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
norgro-as,NORGRO AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Yrkesdyrkerleverandor med egen kategori for gjodsel, biostimulanter, kalk og jordforbedringsmidler til veksthus og friland.",,2026,960117883,https://www.norgro.no/gjodsel-biostimulanter-og-kalk-1,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer biostimulanter og jordforbedringsrolle; Brreg API validert aktiv AS; eksisterende Actor berikes"
log-as,LOG AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Leverandor til yrkesdyrking og hagesenter med biostimulant-sortiment for rotutvikling, naeringsopptak og stressrobusthet.",,2026,983473997,https://www.log.no/kunnskapssenter/biostimulanter-for-bedre-rotutvikling/,primary,machine_verified,hoy,2026-06-26,"Egen kunnskapsside dokumenterer biostimulantrolle; Brreg API validert aktiv AS; eksisterende Actor berikes"
yara-norge-as,Yara Norge AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Norsk gjodselaktor som dokumenterer silisium som uorganisk biostimulant i yrkeshagebruk og planteproduksjon.",,2026,984015666,https://www.yara.no/gjoedsel/gjoedselsortiment/yaratera/nyhetsbrev-for-yrkeshagebruk/nyhetsbrev-for-yrkeshagebruk---silisium/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer biostimulantkategori; Brreg API validert aktiv AS; eksisterende Actor berikes"
felleskjopet-agri,Felleskjopet Agri SA,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Samvirkebasert innsatsfaktoraktor med biostimulant-produkt og planteproduksjonsradgivning til norsk landbruk.",,2026,911608103,https://fka.felleskjopet.no/alle-artikler/alle-artikler-planteproduksjon/plantevern/status--en-ny-spennende-biostimulant/,primary,machine_verified,hoy,2026-06-26,"Egen artikkel dokumenterer STATUS-biostimulant og FKA-portefolje; Brreg API validert aktiv SA; eksisterende Actor/Company berikes"
agrinos-norway-as,Agrinos Norway AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Norsk enhet knyttet til biologiske/organiske innsatsvarer, vekststimulering og jordpleie.",,2026,995300575,https://www.proff.no/selskap/agrinos-norway-as/oslo/grossister/IGGKQU710NS,secondary,machine_verified,middels,2026-06-26,"Proff/Brreg-formal dokumenterer organisk gjodsel, vekststimulering og jordpleie; Brreg API validert aktiv AS; rolle bor etterkontrolleres mot nyere primarkilde"
kelpinor-as,Kelpinor AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Norsk marin biotech-aktor som utvikler tarebaserte biostimulanter for regenerativt landbruk.",,2026,929242688,https://www.kelpinor.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer tarebaserte biostimulanter og org.nr.; Brreg API validert aktiv AS"
seafertil-as,Seafertil AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Norsk produsent av tang-/tarebaserte og mikrobielle produkter for jordhelse, plantevekst og biologisk aktivitet.",,2026,933576418,https://www.seafertil.com/product-info-english,primary,machine_verified,hoy,2026-06-26,"Egen produktinfo dokumenterer jordhelse, plantevekst og mikrobiell biostimulantrolle; Brreg API validert aktiv AS"
nordquist-ferment-as,Nordquist Ferment AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Fermenteringsaktor bak Terra Biosa, et mikrobiologisk produkt for jordliv, biologisk aktivitet og plantevekst.",,2026,983725902,https://www.nordquistferment.no/terra-biosa,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer Terra Biosa, mikroorganismer og biologisk aktivitet i jord; Brreg API validert aktiv AS"
norsk-naturgjodsel-as,Norsk Naturgjodsel AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Produsent av naturgjodsel og jordforbedringsprodukter der produktomtale vektlegger bakterieflora og biologisk jordaktivitet.",,2026,977303311,https://naturgjodsel.no/gjodsel-til-landbruket/,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer gjodsel- og jordlivsrolle; Brreg API validert aktiv AS; biostimulant-begrep ikke eksplisitt og bor etterkontrolleres"
bokashi-norge-as,Bokashi Norge AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Bokashi-leverandor og kunnskapsaktor for fermentering og mikrobeliv i jord i mindre skala.",,2026,923456570,https://www.bokashinorge.no/blogg/hva-er-bokashi,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer fermentering, jord og mikrobeliv; Brreg API validert aktiv AS; smaskala/husholdningsrolle bor vurderes mot landbruksinput-cellens presisjon"
gronn-gjodsel-as,Gronn Gjodsel AS,organisasjon,innsatsfaktorer,biostimulanter-jordliv,NO,"Norsk produsent og selger av organisk gjodsel med jordlivsnaer rolle for okologisk og konvensjonell planteproduksjon.",,2026,995194252,https://www.gronngjodsel.no/2024/09/16/organiske-gjodseltyper-for-okologisk-landbruk/,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer organisk gjodsel og jordforbedring; Brreg API validert aktiv AS; adjacent gjodsel/jordliv og ikke eksplisitt biostimulant"
norsok,NORSOEK - Norsk senter for okologisk landbruk,institusjon,innsatsfaktorer,biostimulanter-jordliv,NO,"FoU- og kompetanseaktor for jordhelse, jordliv og regenerativ praksis i okologisk landbruk.",,2026,969840383,https://www.norsok.no/prosjekter/2025/jordhelse-i-praksis,primary,machine_verified,hoy,2026-06-26,"Egen prosjektside dokumenterer jordhelse i praksis; Brreg API validert aktiv stiftelse; eksisterende Actor berikes uten metadata-klobbing"
