node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
bondens-marked-arendal-torvet,Arendal - Torvet,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass i Arendal. Bondens marked-listen viser kommende marked 4. juli 2026 ved Torvet i Arendal, med Agder som lokallag og 5 produsenter oppført for neste marked.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-asker-kulturhus,Asker Kulturhus,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass i Asker. Bondens marked-listen viser kommende marked 22. august 2026 utenfor Asker kulturhus, Oslo & omegn som lokallag, 4 produsenter og flere kommende markeder.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-bergeland-bazar,Bergeland bazar,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass i Stavanger. Bondens marked-listen viser kommende marked 29. august 2026 ved Bergeland Bydelssenter, Rogaland som lokallag og 3 produsenter.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-bergen-fisketorget,Bergen Fisketorget,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass i Bergen. Bondens marked-listen viser kommende marked 8. august 2026 på Bergen Fisketorget, Bergen som lokallag, 4 produsenter og flere kommende markeder.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-birkelunden-grunerlokka,Birkelunden (Grünerløkka),markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass i Oslo. Bondens marked-listen viser kommende marked 23. august 2026 i Birkelunden på Grünerløkka, Oslo & omegn som lokallag og 8 produsenter.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-bjerkreimsmarken,Bjerkreimsmarken,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass i Vikeså. Bondens marked-listen viser kommende Bjerkreimsmarken 25. september 2026, Rogaland som lokallag, 5 produsenter og flere kommende markeder.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-brumunddal-ved-molla,brummundal ved Mølla,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass i Brumunddal. Bondens marked-listen viser kommende julemarked 4. desember 2026 ved Mølla, Innlandet som lokallag, 4 produsenter og flere kommende markeder.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-arnes-brod-og-sirkus,Brød og sirkus på Årnes,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass på Årnes. Bondens marked-listen viser kommende marked 18. september 2026, Innlandet som lokallag, 8 produsenter og flere kommende markeder.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-budor-gjestegard,Budor gjestegård,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass på Budor i Løten. Bondens marked-listen viser kommende julemarked 28. november 2026, Innlandet som lokallag og 5 produsenter.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
bondens-marked-baerums-verk,Bærums Verk,markedsplass,lokale-verdikjeder,bondens-marked,NO,"Offisiell Bondens marked-markedsplass på Bærums Verk. Bondens marked-listen viser kommende marked 12. september 2026, Oslo & omegn som lokallag, 7 produsenter og flere kommende markeder.",,2026,,https://bondensmarked.no/markedsplasser,primary,machine_verified,middels,2026-07-02,"Bondens marked offisiell markedsplassliste validert 2026-07-02; venue-/kalendernode uten separat juridisk enhet/org.nr. Brukes som actor-gate for aktiv markedsplass, ikke hard claim-lock for årsvolum, produsenttall eller permanent driftsstatus."
