node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
oda,ODA GROUP AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert nettdagligvare-/plattformgruppe med 47.120 (Detaljhandel med bredt vareutvalg ellers).,,2026,932256134,https://data.brreg.no/enhetsregisteret/api/enheter/932256134,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
oda-norway-as,ODA NORWAY AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert nettdagligvareaktør med 47.120 (Detaljhandel med bredt vareutvalg ellers).,,2026,912262510,https://data.brreg.no/enhetsregisteret/api/enheter/912262510,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
morgenlevering-as,MORGENLEVERING AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,"Brreg-registrert direkteleveringsaktør med 47.240 (Detaljhandel med bakervarer, konditorvarer og sukkervarer).",,2026,920333478,https://data.brreg.no/enhetsregisteret/api/enheter/920333478,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
lokalmat-sa,LOKALMAT SA,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert samvirke-/plattformaktør for lokalmat med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning).,,2026,989172204,https://data.brreg.no/enhetsregisteret/api/enheter/989172204,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
foodora-norway-as,FOODORA NORWAY AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert leveringsplattformaktør med 53.200 (Andre post- og budtjenester).,,2026,996691349,https://data.brreg.no/enhetsregisteret/api/enheter/996691349,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
delivery-hero-dmart-norway-as,DELIVERY HERO DMART NORWAY AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert dark-store-/plattformaktør med 47.110 (Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler).,,2026,925700568,https://data.brreg.no/enhetsregisteret/api/enheter/925700568,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
foodlist-as,FOODLIST AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert digital mat-/vareformidlingsaktør med 63.120 (Drift av web-portaler).,,2026,916934122,https://data.brreg.no/enhetsregisteret/api/enheter/916934122,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
holdbart,HOLDBART AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert matsvinn-/overskuddsbutikkaktør med 47.110 (Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler).,,2026,815664582,https://data.brreg.no/enhetsregisteret/api/enheter/815664582,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
stiftelsen-bondens-marked,STIFTELSEN BONDENS MARKED NORGE,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,"Brreg-registrert markeds-/lokalmatplattform med 82.300 (Kongress-, messe- og utstillingsvirksomhet).",,2026,995680254,https://data.brreg.no/enhetsregisteret/api/enheter/995680254,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
reko-norge,REKO NORGE,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert forening for REKO-ringer og direktesalgskanaler med 94.992.,,2026,935472350,https://data.brreg.no/enhetsregisteret/api/enheter/935472350,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
kooperativet-sa,KOOPERATIVET SA,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert kooperativ aktør med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner).,,2026,911798956,https://data.brreg.no/enhetsregisteret/api/enheter/911798956,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
notteroy-kooperativ-sa,NØTTERØY KOOPERATIV SA,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert lokal kooperativ mat-/innkjøpsaktør.,,2026,916606931,https://data.brreg.no/enhetsregisteret/api/enheter/916606931,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
trondheim-kooperativ-sa,TRONDHEIM KOOPERATIV SA,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert lokal kooperativ mat-/innkjøpsaktør.,,2026,917208875,https://data.brreg.no/enhetsregisteret/api/enheter/917208875,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
as-kooperativ-sa,ÅS KOOPERATIV SA,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert lokal kooperativ mat-/innkjøpsaktør.,,2026,812799762,https://data.brreg.no/enhetsregisteret/api/enheter/812799762,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
matkollektivet-sa,MATKOLLEKTIVET SA,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert matkollektiv-/samvirkeaktør med 96.990.,,2026,916966105,https://data.brreg.no/enhetsregisteret/api/enheter/916966105,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
too-good-to-go,TOO GOOD TO GO NORGE AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert digital matsvinn-/formidlingsplattform med 73.110 (Reklamebyråvirksomhet).,,2026,917203261,https://data.brreg.no/enhetsregisteret/api/enheter/917203261,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
bondens-marked-agder-sa,BONDENS MARKED AGDER SA,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert regional Bondens Marked-/direktesalgskanal med 94.992.,,2026,987753633,https://data.brreg.no/enhetsregisteret/api/enheter/987753633,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
mat-fra-toten-sa,MAT FRA TOTEN SA,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert lokalmat-/samvirkekanal.,,2026,993278548,https://data.brreg.no/enhetsregisteret/api/enheter/993278548,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
dagens-kupp-as,DAGENS KUPP AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert digital tilbuds-/vareformidlingsaktør.,,2026,937386613,https://data.brreg.no/enhetsregisteret/api/enheter/937386613,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
matkassa-as,MATKASSA AS,organisasjon,distribusjon-grossist,alternativ-distribusjon,NO,Brreg-registrert matkasse-/direkteleveringsaktør.,,2026,926678124,https://data.brreg.no/enhetsregisteret/api/enheter/926678124,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
