node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
asko-norge,ASKO NORGE AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert nasjonal grossist-/logistikkaktør med 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler).,,2026,929228723,https://data.brreg.no/enhetsregisteret/api/enheter/929228723,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-sentrallager-og-transport-as,ASKO SENTRALLAGER OG TRANSPORT AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert sentrallager-/transportaktør med 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler).,,2026,992684666,https://data.brreg.no/enhetsregisteret/api/enheter/992684666,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-sentrallager-kjol-as,ASKO SENTRALLAGER KJØL AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert kjøle-/sentrallageraktør med 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler).,,2026,915138357,https://data.brreg.no/enhetsregisteret/api/enheter/915138357,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-transport-as,ASKO TRANSPORT AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert transport-/spedisjonsaktør i ASKO-systemet med 52.291 (Spedisjon).,,2026,999320600,https://data.brreg.no/enhetsregisteret/api/enheter/999320600,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-maritime-as,ASKO MARITIME AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert logistikk-/transportstøtteaktør i ASKO-systemet med 52.260 (Andre støttetjenester for transport).,,2026,925216534,https://data.brreg.no/enhetsregisteret/api/enheter/925216534,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-oslofjord-as,ASKO OSLOFJORD AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert regional grossist-/lageraktør med 46.390 og lageradresse Hanekleiva/Holmestrand i eksisterende ASKO-tre.,,2026,930622974,https://data.brreg.no/enhetsregisteret/api/enheter/930622974,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-vest-as,ASKO VEST AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert regional grossist-/lageraktør med 46.390 og lageradresse Magnusvegen/Bergen i eksisterende ASKO-tre.,,2026,979487916,https://data.brreg.no/enhetsregisteret/api/enheter/979487916,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-hedmark-as,ASKO HEDMARK AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert regional grossist-/lageraktør med 46.390 og lageradresse Skansvegen/Brumunddal i eksisterende ASKO-tre.,,2026,918710507,https://data.brreg.no/enhetsregisteret/api/enheter/918710507,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-rogaland-as,ASKO ROGALAND AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert regional grossist-/lageraktør med 46.390 og lageradresse Skurvemarka/Gjesdal i eksisterende ASKO-tre.,,2026,923622845,https://data.brreg.no/enhetsregisteret/api/enheter/923622845,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-midt-norge-as,ASKO MIDT-NORGE AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert regional grossist-/lageraktør med 46.390 og lageradresse Østre Rosten/Trondheim i eksisterende ASKO-tre.,,2026,979334109,https://data.brreg.no/enhetsregisteret/api/enheter/979334109,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-agder-as,ASKO AGDER AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert regional grossist-/lageraktør med 46.390 og lageradresse Vestre kystvei/Lillesand i eksisterende ASKO-tre.,,2026,913117883,https://data.brreg.no/enhetsregisteret/api/enheter/913117883,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-vestfold-telemark-as,ASKO VESTFOLD TELEMARK AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert regional grossist-/lageraktør med 46.390 og lageradresse Hegdalveien/Larvik i eksisterende ASKO-tre.,,2026,933129950,https://data.brreg.no/enhetsregisteret/api/enheter/933129950,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
asko-ost-as,ASKO ØST AS,organisasjon,distribusjon-grossist,logistikk-lager,NO,Brreg-registrert regional grossist-/lageraktør med 46.390 og lageradresse Delitoppen/Vestby i eksisterende ASKO-tre.,,2026,912015238,https://data.brreg.no/enhetsregisteret/api/enheter/912015238,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; distribusjons-/logistikkrolle skal kontrolleres mot operativt lager/transport-/kanalbelegg før hard claim-lock.
