node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
7-fjell-bryggeri-as,7 FJELL BRYGGERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.050 (Produksjon av øl). Drift av bryggeri, herunder tilvirke og omsette brygg av øl og annen alkoholholdig drikke samt utstyr og råvarer som naturlig faller sammen med slik forretningsdrift. Selskapet vil også kunne delta i andre selskaper med lignende virksomhet, eller på annen måte gjøre seg interessert i andre foretagender. Drift av bryggeri, herunder tilvirke og omsette brygg av øl og annen alkoholholdig drikke samt utstyr og råvarer so",,2026,912170705,https://data.brreg.no/enhetsregisteret/api/enheter/912170705,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.050; ingen Company-rad funnet i lokal DB ved pre-dedup.
aga-sideri-as,AGA SIDERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.030 (Produksjon av sider og andre gjærede fruktdrikker). Produksjon av sider og annen fruktvin. Drift av eplepresseri samt tilvirkning og omsetning av sider og annen alkoholfri og alkoholholdig drikke samt utstyr og råvarer som naturlig faller sammen med slik forretningsdrift. Selskapet vil også kunne delta i andre selskaper med lignende virksomhet, eller på annen måte gjøre seg interessert i andre foretagender, samt det som naturlig står i forbindelse med dette.",,2026,933780929,https://data.brreg.no/enhetsregisteret/api/enheter/933780929,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.030; ingen Company-rad funnet i lokal DB ved pre-dedup.
alde-as,ALDE AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.070 (Produksjon av leskedrikker og flaskevann). Drift av eplepresseri samt tilvirkning og omsetning av sider og annen alkoholfri og alkoholholdig drikke samt utstyr og råvarer som naturlig faller sammen med slik forretningsdrift. Selskapet vil også kunne delta i andre selskaper med lignende virksomhet, eller på annen måte gjøre seg interessert i andre foretagender. Drift av eplepresseri samt tilvirkning og omsetning av sider og annen alkoholfri og alkoholholdig dr",,2026,921110502,https://data.brreg.no/enhetsregisteret/api/enheter/921110502,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.070; ingen Company-rad funnet i lokal DB ved pre-dedup.
amundsen-bryggeri-as,AMUNDSEN BRYGGERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.050 (Produksjon av øl). Bryggeri. Bryggerivirksomhet og det som står i naturlig forbindelse med dette, samt deltakelse i andre selskaper med lignende virksomhet.",,2026,899053702,https://data.brreg.no/enhetsregisteret/api/enheter/899053702,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.050; ingen Company-rad funnet i lokal DB ved pre-dedup.
angr-brenneri-as,ANGR BRENNERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.010 (Destillering, rektifisering og blanding av sprit). Destillering, rektifisering og blanding av sprit. Destillering av brennevin, tilvirkning av alkohol, salg av alkohol og alt som naturlig hører sammen med dette.",,2026,931547984,https://data.brreg.no/enhetsregisteret/api/enheter/931547984,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.010; ingen Company-rad funnet i lokal DB ved pre-dedup.
arcus-norway-as,ARCUS NORWAY AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.010 (Destillering, rektifisering og blanding av sprit). Produksjon og salg av næringsmidler og andre varer, samt virksomhet som står i naturlig forbindelse med dette. Produksjon og salg av næringsmidler og andre varer, samt virksomhet som står i naturlig forbindelse med dette.",,2026,975381722,https://data.brreg.no/enhetsregisteret/api/enheter/975381722,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.010; ingen Company-rad funnet i lokal DB ved pre-dedup.
arendals-bryggeri-as,ARENDALS BRYGGERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.050 (Produksjon av øl). Bryggerivirksomhet. Selskapets virksomhet er å drive bryggerivirksomhet, produksjon av drikkevarer, og salg og produksjon av private label.",,2026,894160152,https://data.brreg.no/enhetsregisteret/api/enheter/894160152,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.050; ingen Company-rad funnet i lokal DB ved pre-dedup.
austmann-bryggeri-as,AUSTMANN BRYGGERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.050 (Produksjon av øl). Produsere og selge øl engros og i detalj. Bryggerivirksomhet med alt som naturlig hører til.,,2026,999327621,https://data.brreg.no/enhetsregisteret/api/enheter/999327621,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.050; ingen Company-rad funnet i lokal DB ved pre-dedup.
berentsens-brygghus-as,BERENTSENS BRYGGHUS AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.070 (Produksjon av leskedrikker og flaskevann). Bryggeri og destillerivirksomhet. Produksjon og salg av alkoholholdige og alkoholfrie drikkevarer. Produksjon og omsettning av mineralvannprodukter og alt som herved er forbundet.,,2026,911284669,https://data.brreg.no/enhetsregisteret/api/enheter/911284669,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.070; ingen Company-rad funnet i lokal DB ved pre-dedup.
brennevinsgrova-as,BRENNEVINSGROVA AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert aktor i foredling-industri/drikke-bryggeri med 11.010 (Destillering, rektifisering og blanding av sprit). Produksjon av brennevin. Produksjon og distribusjon av brennevin og annet som naturlig faller sammen med dette.",,2026,920367801,https://data.brreg.no/enhetsregisteret/api/enheter/920367801,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 11.010; ingen Company-rad funnet i lokal DB ved pre-dedup.
