node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
gront-punkt-norge-as,Gront Punkt Norge AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Samordner produsentansvar og finansiering av returordninger for emballasje i Norge gjennom materialselskaper for plast, kartong, metall, glass, bolgepapp og tre.",,2026,977075521,https://www.grontpunkt.no/medlemskap,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer produsentansvarssystemet; Brreg API validert aktiv AS"
plastretur-as,Plastretur AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Produsentansvarsselskap for plastemballasje i Gront Punkt-systemet; sikrer sortering og materialgjenvinning av husholdnings-, naeringslivs- og landbruksplast.",,2026,976252462,https://plastretur.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer retursystem for plastemballasje; Brreg API validert aktiv AS"
norsk-returkartong-as,Norsk Returkartong AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Materialselskap i Gront Punkt-systemet for drikkekartong og emballasjekartong, med rolle i innsamling og gjenvinning av kartongemballasje.",,2026,970917217,https://www.grontpunkt.no/resirkulering/hva-skjer-med-det-vi-kildesorterer,primary,machine_verified,hoy,2026-06-26,"Gront Punkt-side lister returselskapenes materialroller; Brreg API validert aktiv AS"
norsk-resy-as,Norsk Resy AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Materialselskap i Gront Punkt-systemet for bolgepapp og fiberbasert emballasje, med rolle i retur og gjenvinning av emballasjefraksjonen.",,2026,963171285,https://www.grontpunkt.no/resirkulering/hva-skjer-med-det-vi-kildesorterer,primary,machine_verified,hoy,2026-06-26,"Gront Punkt-side lister returselskapenes materialroller; Brreg API validert aktiv AS"
norsk-metallgjenvinning-as,Norsk Metallgjenvinning AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Materialselskap i Gront Punkt-systemet for metallemballasje, koblet til innsamling og gjenvinning av metallfraksjonen i emballasjesystemet.",,2026,976937139,https://www.grontpunkt.no/resirkulering/hva-skjer-med-det-vi-kildesorterer,primary,machine_verified,hoy,2026-06-26,"Gront Punkt-side lister returselskapenes materialroller; Brreg API validert aktiv AS"
sirkel-glass-as,Sirkel Glass AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Godkjent returselskap for glassemballasje og operativ mottaker av glass- og metallemballasje fra hele landet til anlegget i Fredrikstad.",,2026,918102434,https://www.sirkel.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer returselskapsrolle og landsdekkende mottak; Brreg API validert aktiv AS"
treretur-as,Treretur AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Materialselskap i Gront Punkt-systemet for treemballasje, inkludert retur- og gjenvinningsrollen for paller og annen trebasert emballasje.",,2026,920587151,https://www.grontpunkt.no/medlemskap,primary,machine_verified,hoy,2026-06-26,"Gront Punkt-side lister Treretur som del av produsentansvarssystemet; Brreg API validert aktiv AS"
norsirk-as,NORSIRK AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Landsdekkende produsentansvarsselskap for blant annet emballasje; tilbyr innsamling, transport, behandling, gjenvinning og rapportering for kunders produsentansvar.",,2026,979736355,https://norsirk.no/produsentansvar/emballasje/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer produsentansvar for emballasje; Brreg API validert aktiv AS"
infinitum-as,Infinitum AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Norsk pante- og retursystem for drikkevareemballasje der produsenter og importorer melder inn flasker og bokser, og returgraden ligger over 90 prosent.",,2026,977199611,https://infinitum.no/no/samle-inn-pant/produsent-og-importoer/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer pantesystem for drikkevareemballasje; Brreg API validert aktiv AS; eksisterende Company/Actor berikes"
loop-stiftelsen,LOOP Stiftelsen for kildesortering og gjenvinning,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Nasjonal stiftelse for kildesortering og gjenvinning som driver Sortere, LOOP Miljoskole og Sorteringsmerkene som kommunikasjonsinfrastruktur for blant annet emballasje.",,2026,983077226,https://loop.no/om-oss/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer nasjonal infrastruktur og org.nr; Brreg API validert stiftelse"
sorteringsmerkene-loop,Sorteringsmerkene,ordning,matsvinn-sirkulaer,emballasje-retur,NO,"Nasjonal merkeordning for kildesortering forvaltet av LOOP, brukt for aa koble emballasje og avfallsbeholdere til felles sorteringslogikk.",,2026,,https://loop.no/sorteringsmerker/,primary,machine_verified,middels,2026-06-26,"Ordning uten eget org.nr.; lenkes til LOOP som forvalter via relasjonsfil og flagges for ordningspresisering"
tomra-systems-asa,TOMRA Systems ASA,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Norsk konsern som leverer pante-, innsamlings- og sorteringsteknologi for drikkevareemballasje og andre resirkuleringsstrommer globalt.",,2026,927124238,https://www.tomra.com/nb-no/reverse-vending,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer panteautomat- og clean-loop-teknologi; Brreg API validert aktiv ASA"
tomra-butikksystemer-as,TOMRA Butikksystemer AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Norsk TOMRA-selskap for panteautomater og butikksystemer i returleddet for drikkevareemballasje.",,2026,913889770,https://www.tomra.com/nb-no/contact-us,primary,machine_verified,middels,2026-06-26,"TOMRA-kontaktside oppgir norsk butikk-/serviceenhet; Brreg API validert aktiv AS"
den-norske-emballasjeforening,Den Norske Emballasjeforening,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Bransje- og kompetanseforening for emballasjens verdikjede, med arbeid om emballasjeoptimering, sirkulaer plastemballasje og regelverksoppfolging.",,2026,971434589,https://emballasjeforeningen.no/wp-content/uploads/2026/03/Endelig-utgave_Arsmelding-regnskap-revisor.pdf,primary,machine_verified,middels,2026-06-26,"Arsmelding dokumenterer emballasjeverdikjede-rolle; Brreg API validert forening"
bewi-insulation-norge-as,BEWI Insulation Norge AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"BEWI-selskap med godkjent EPS/XPS-behandlerrolle i NORSIRK-samarbeid, relevant for innsamling og gjenvinning av EPS-emballasje i Norge.",,2026,913019334,https://aktuelt.norsirk.no/norsirk-og-bewi-inng%C3%A5r-viktig-samarbeid,primary,machine_verified,hoy,2026-06-26,"NORSIRK omtaler BEWI Insulation Norge som godkjent behandler; Brreg API validert aktiv AS"
bewi-circular-as,BEWI Circular AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"BEWI-selskap knyttet til innsamling, komprimering og resirkulering av EPS-avfall og total packaging waste management i BEWIs circular-tilbud.",,2026,922724369,https://bewi.com/circular/,primary,machine_verified,middels,2026-06-26,"Egen BEWI-side dokumenterer Circular-tilbud; Brreg API validert aktiv AS; norsk selskap/rolle flagges for menneskelig presisering"
vartdal-plastindustri-as,Vartdal Plastindustri AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Produsent og returaktor for EPS-fiskekasser og annen EPS-emballasje; oppgir avtale med Plastretur og stor rolle i innsamling av EPS i Norge.",,2026,970890513,https://vartdalplast.no/sterke-gjenvinningstall-for-eps-2/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer avtale med Plastretur og EPS-innsamling; Brreg API validert aktiv AS"
packoorang-as,Packoorang AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Norsk ombruksemballasjeaktor som tilbyr gjenbrukbare pakker og returloop for e-handel og logistikk.",,2026,925123110,https://www.packoorang.com/,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer reusable packaging-loop; Brreg API validert aktiv AS; matverdikjederolle er adjacent"
norsk-gjenvinning-as,Norsk Gjenvinning AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Stor norsk innsamler og gjenvinningsaktor med tjenester for EPS/plastemballasje og materialgjenvinning for bedrifter og varehandel.",,2026,937270062,https://blogg.norskgjenvinning.no/enklere-gjenvinning-av-eps-for-entreprenoer-og-varehandel,primary,machine_verified,middels,2026-06-26,"Egen fagartikkel dokumenterer EPS-innsamling/gjenvinning; Brreg API validert aktiv AS; eksisterende Company/Actor berikes"
ragn-sells-as,Ragn-Sells AS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Norsk avfalls- og gjenvinningsaktor med sorteringsguide og behandling for blandet hard og myk plastemballasje til materialgjenvinning.",,2026,952187627,https://www.ragnsells.no/tjenester/kildesortering/sorteringsguide/plast/blandet-hard-myk-plastemballasje/,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer plastemballasje-fraksjon og videre behandling; Brreg API validert aktiv AS"
roaf-iks,ROAF IKS,organisasjon,matsvinn-sirkulaer,emballasje-retur,NO,"Interkommunal avfallsaktor med ettersortering der plastemballasje sorteres ut fra restavfall for Romerike-kommuner.",,2026,965075364,https://roaf.no/kildesortering/avfallstyper/plast/,primary,machine_verified,middels,2026-06-26,"Egen side dokumenterer plastemballasje-ettersortering; org.nr validert mot Brreg API ved eksakt oppslag"
