node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
nysno-klimainvesteringer-as,NYSNØ KLIMAINVESTERINGER AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 64.322 (Egeninvesteringsselskaper i finansielle konsern og for offentlig forvaltning).,,2026,920312039,https://data.brreg.no/enhetsregisteret/api/enheter/920312039,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 64.322; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
investinor-as,INVESTINOR AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 64.322 (Egeninvesteringsselskaper i finansielle konsern og for offentlig forvaltning).,,2026,992447141,https://data.brreg.no/enhetsregisteret/api/enheter/992447141,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 64.322; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
investinor-direkte-as,INVESTINOR DIREKTE AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 64.322 (Egeninvesteringsselskaper i finansielle konsern og for offentlig forvaltning).,,2026,925093718,https://data.brreg.no/enhetsregisteret/api/enheter/925093718,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 64.322; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
investinor-indirekte-i-as,INVESTINOR INDIREKTE I AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 64.322 (Egeninvesteringsselskaper i finansielle konsern og for offentlig forvaltning).,,2026,925093726,https://data.brreg.no/enhetsregisteret/api/enheter/925093726,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 64.322; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
siva-selskapet-for-industrivekst-sf,SIVA - SELSKAPET FOR INDUSTRIVEKST SF,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning).,,2026,966703032,https://data.brreg.no/enhetsregisteret/api/enheter/966703032,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SF; NACE 70.200; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
innovasjon-norge,INNOVASJON NORGE,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 64.920 (Annen kredittgivning).,,2026,986399445,https://data.brreg.no/enhetsregisteret/api/enheter/986399445,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SÆR; NACE 64.920; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
katapult-ocean-as,KATAPULT OCEAN AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 66.300 (Fondsforvaltningsvirksomhet).,,2026,921026749,https://data.brreg.no/enhetsregisteret/api/enheter/921026749,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 66.300; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
katapult-ocean-fund-1-as,KATAPULT OCEAN FUND 1 AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 64.312 (Alternative investeringsfond (aif) som ikke er verdipapirfond).,,2026,921424752,https://data.brreg.no/enhetsregisteret/api/enheter/921424752,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 64.312; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
katapult-food-as,KATAPULT FOOD AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning).,,2026,922884277,https://data.brreg.no/enhetsregisteret/api/enheter/922884277,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 70.200; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
katapult-accelerator-as,KATAPULT ACCELERATOR AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 66.300 (Fondsforvaltningsvirksomhet).,,2026,916787944,https://data.brreg.no/enhetsregisteret/api/enheter/916787944,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 66.300; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
ferd-sosiale-entreprenorer-as,FERD SOSIALE ENTREPRENØRER AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning).,,2026,994833561,https://data.brreg.no/enhetsregisteret/api/enheter/994833561,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 70.200; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
startuplab-as,STARTUPLAB AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning).,,2026,997608836,https://data.brreg.no/enhetsregisteret/api/enheter/997608836,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 70.200; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
startuplab-ventures-as,STARTUPLAB VENTURES AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 66.300 (Fondsforvaltningsvirksomhet).,,2026,931964305,https://data.brreg.no/enhetsregisteret/api/enheter/931964305,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 66.300; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
antler-as,ANTLER AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning).,,2026,921422679,https://data.brreg.no/enhetsregisteret/api/enheter/921422679,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 70.200; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
momentum-partners-as,MOMENTUM PARTNERS AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning).,,2026,912519325,https://data.brreg.no/enhetsregisteret/api/enheter/912519325,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 70.200; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
alliance-venture-as,ALLIANCE VENTURE AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 64.323 (Andre egeninvesteringsselskaper).,,2026,982173213,https://data.brreg.no/enhetsregisteret/api/enheter/982173213,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 64.323; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
sarsia-seed-as,SARSIA SEED AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 64.312 (Alternative investeringsfond (aif) som ikke er verdipapirfond).,,2026,990118434,https://data.brreg.no/enhetsregisteret/api/enheter/990118434,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 64.312; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
sarsia-management-as,SARSIA MANAGEMENT AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 66.300 (Fondsforvaltningsvirksomhet).,,2026,989887831,https://data.brreg.no/enhetsregisteret/api/enheter/989887831,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 66.300; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
skyfall-ventures-as,SKYFALL VENTURES AS,investor,finansiering-investering,impact-investor,NO,Brreg-registrert kapital- eller virkemiddelaktor i finansiering-investering med 66.300 (Fondsforvaltningsvirksomhet).,,2026,917863237,https://data.brreg.no/enhetsregisteret/api/enheter/917863237,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 66.300; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
