node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
coop-norge,COOP NORGE SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler).,,2026,936560288,https://data.brreg.no/enhetsregisteret/api/enheter/936560288,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 46.390; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
tine-sa,TINE SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 10.510 (Produksjon av meierivarer).,,2026,947942638,https://data.brreg.no/enhetsregisteret/api/enheter/947942638,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 10.510; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
nortura,NORTURA SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,938752648,https://data.brreg.no/enhetsregisteret/api/enheter/938752648,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 10.110; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
felleskjopet-agri,FELLESKJØPET AGRI SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,"Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 46.210 (Engroshandel med korn, råtobakk, såvarer og fôrvarer).",,2026,911608103,https://data.brreg.no/enhetsregisteret/api/enheter/911608103,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 46.210; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
gartnerhallen,GARTNERHALLEN SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 01.240 (Dyrking av kjernefrukter og steinfrukter).,,2026,945958405,https://data.brreg.no/enhetsregisteret/api/enheter/945958405,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 01.240; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
geno-sa,GENO SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 01.620 (Tjenester tilknyttet husdyrhold).,,2026,970028935,https://data.brreg.no/enhetsregisteret/api/enheter/970028935,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 01.620; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
norsvin-sa,NORSVIN SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner).,,2026,956971322,https://data.brreg.no/enhetsregisteret/api/enheter/956971322,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 94.110; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
norsk-jersey-sa,NORSK JERSEY SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 01.620 (Tjenester tilknyttet husdyrhold).,,2026,969580950,https://data.brreg.no/enhetsregisteret/api/enheter/969580950,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 01.620; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
norges-rafisklag-sa,NORGES RÅFISKLAG SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,"Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 46.322 (Engroshandel med fisk, skalldyr og bløtdyr).",,2026,938469148,https://data.brreg.no/enhetsregisteret/api/enheter/938469148,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 46.322; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
norges-sildesalgslag-sa,NORGES SILDESALGSLAG SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,"Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 46.322 (Engroshandel med fisk, skalldyr og bløtdyr).",,2026,951206091,https://data.brreg.no/enhetsregisteret/api/enheter/951206091,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 46.322; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
landkreditt-sa,LANDKREDITT SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 64.210 (Holdingforetak i finanskonsern).,,2026,838745512,https://data.brreg.no/enhetsregisteret/api/enheter/838745512,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 64.210; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
landkreditt-bank-as,LANDKREDITT BANK AS,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 64.190 (Banker og kredittforetak).,,2026,980374181,https://data.brreg.no/enhetsregisteret/api/enheter/980374181,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 64.190; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
samvirkene,SAMVIRKENE,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 70.200 (Bedriftsrådgivning og annen administrativ rådgivning).,,2026,995165473,https://data.brreg.no/enhetsregisteret/api/enheter/995165473,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form FLI; NACE 70.200; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
norsk-landbrukssamvirke,NORSK LANDBRUKSSAMVIRKE,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner).,,2026,970142711,https://data.brreg.no/enhetsregisteret/api/enheter/970142711,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form FLI; NACE 94.110; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
felleskjopet-rogaland-agder,FELLESKJØPET ROGALAND AGDER SA,samvirke,finansiering-investering,kooperativ-eierskap,NO,Brreg-registrert samvirke- eller kooperativ eierskapsaktor i finansiering-investering med 10.911 (Produksjon av fôrvarer for husdyr i landbruk).,,2026,915442552,https://data.brreg.no/enhetsregisteret/api/enheter/915442552,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 10.911; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
