node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
sparebankstiftelsen-dnb,SPAREBANKSTIFTELSEN DNB,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 64.321 (Finansstiftelser).,,2026,984853971,https://data.brreg.no/enhetsregisteret/api/enheter/984853971,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 64.321; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
gjensidigestiftelsen,GJENSIDIGESTIFTELSEN,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 64.321 (Finansstiftelser).,,2026,991896996,https://data.brreg.no/enhetsregisteret/api/enheter/991896996,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 64.321; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
stiftelsen-uni,STIFTELSEN UNI,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 94.991 (Aktiviteter i fond/legat som støtter veldedige og allmennyttige formål).,,2026,960690249,https://data.brreg.no/enhetsregisteret/api/enheter/960690249,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 94.991; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
stiftelsen-dam,STIFTELSEN DAM,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 94.991 (Aktiviteter i fond/legat som støtter veldedige og allmennyttige formål).,,2026,977468299,https://data.brreg.no/enhetsregisteret/api/enheter/977468299,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 94.991; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
sparebankstiftelsen-sr-bank,SPAREBANKSTIFTELSEN SR-BANK,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 64.321 (Finansstiftelser).,,2026,997761952,https://data.brreg.no/enhetsregisteret/api/enheter/997761952,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 64.321; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
sparebankstiftelsen-sparebanken-norge-vest,"SPAREBANKSTIFTELSEN SPAREBANKEN NORGE, VEST",fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 64.321 (Finansstiftelser).,,2026,923743359,https://data.brreg.no/enhetsregisteret/api/enheter/923743359,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 64.321; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
sparebankstiftelsen-hedmark,SPAREBANKSTIFTELSEN HEDMARK,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 64.321 (Finansstiftelser).,,2026,916268688,https://data.brreg.no/enhetsregisteret/api/enheter/916268688,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 64.321; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
sparebankstiftelsen-hallingdal,SPAREBANKSTIFTELSEN HALLINGDAL,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 64.321 (Finansstiftelser).,,2026,999177689,https://data.brreg.no/enhetsregisteret/api/enheter/999177689,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 64.321; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
stiftelsen-norsk-mat,STIFTELSEN NORSK MAT,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,990675627,https://data.brreg.no/enhetsregisteret/api/enheter/990675627,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 94.992; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
landbrukslegatet-i-norges-vel,LANDBRUKSLEGATET I NORGES VEL STI,fond,finansiering-investering,stiftelse-fond,NO,Brreg-registrert stiftelse eller fond i finansiering-investering med 94.991 (Aktiviteter i fond/legat som støtter veldedige og allmennyttige formål).,,2026,981104366,https://data.brreg.no/enhetsregisteret/api/enheter/981104366,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; org.form STI; NACE 94.991; faktisk mat-/kapitalrolle flagges for menneskelig etterkontroll før hard claim-lock.
