node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
felleskjopet-agri,Felleskjopet Agri SA,organisasjon,innsatsfaktorer,for-protein,NO,"Samvirkebasert innsatsfaktoraktor og stor kraftforprodusent med maal om mer norske forraavarer, inkludert korn, gras og proteinvekster.",,2026,911608103,https://fka.felleskjopet.no/barekraft/vi-skal-oeke-andelen-norske-raavarer/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer proteinvekst-/kraftforrolle og org.nr.; eksisterende Actor/Company berikes"
felleskjopet-rogaland-agder,Felleskjopet Rogaland Agder SA,organisasjon,innsatsfaktorer,for-protein,NO,"Samvirkebedrift som produserer og selger kraftfor, gjodsel og savarer, med stort kraftforanlegg i Stavanger.",,2026,915442552,https://www.fkra.no/side/artikler/fkra/kraftfor-for-folk,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer kraftforproduksjon; Brreg API validert aktiv SA; lenkes til eksisterende Company"
norgesfor-as,Norgesfor AS,organisasjon,innsatsfaktorer,for-protein,NO,"Kjede og sammenslutning av lokale bedrifter som produserer kraftfor, mottar korn og selger driftsmidler til bonden.",,2026,975871096,https://www.norgesfor.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer kraftfor og org.nr.; Brreg API validert aktiv AS; lenkes til eksisterende Company"
fiskaa-molle-as,Fiskaa Molle AS,organisasjon,innsatsfaktorer,for-protein,NO,"Leverandor av kraftfor og kunnskap med landsdekkende molle-/kornmottaksstruktur og kraftforsortiment for husdyr.",,2026,975856844,https://www.fiska.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer kraftforrolle; Brreg API validert aktiv AS; lenkes til eksisterende Company"
strand-unikorn-as,Strand Unikorn AS,organisasjon,innsatsfaktorer,for-protein,NO,"Norgesfor-bedrift som produserer kraftfor og utvikler losninger for mer norske raavarer i kraftforet.",,2026,916329717,https://www.norgesfor.no/strand-unikorn/,primary,machine_verified,hoy,2026-06-26,"Egen/Norgesfor-side dokumenterer kraftforrolle; Brreg API validert aktiv AS; eksisterende Actor/Company berikes"
denofa,Denofa AS,organisasjon,innsatsfaktorer,for-protein,NO,"Soyaprosessor i Fredrikstad som leverer non-GMO soyamel og SoyPass som protein-/aminosyrekilde i for til storfe, gris og fjorfe.",,2026,987643935,https://www.denofa.no/en/soy/products/,primary,machine_verified,hoy,2026-06-26,"Egen produktside dokumenterer soyamel/SoyPass som foringrediens; Brreg API validert aktiv AS; eksisterende Actor berikes og lenkes til Company"
skretting,Skretting AS,organisasjon,innsatsfaktorer,for-protein,NO,"Akvaforprodusent med norsk feed footprint der marine, vegetabilske og nye proteiner inngar i fiskefor.",,2026,988044113,https://www.skretting.com/no/baerekraft/baerekraftsrapport/footprint-report-2023-skretting-norway/contents-of-fish-feed/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer norske fiskeforingredienser; Brreg API validert aktiv AS; eksisterende Actor berikes og lenkes til Company"
mowi-feed,Mowi Feed AS,organisasjon,innsatsfaktorer,for-protein,NO,"Mowi Groups fordivisjon med fabrikk paa Valsneset og ansvar for utvikling, produksjon og salg av fiskefor.",,2026,911610744,https://mowi.com/about-us/our-structure/mowi-feed/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer feed manufacturing division og norsk fabrikk; Brreg API validert aktiv AS; eksisterende Actor berikes og lenkes til Company"
cargill-aqua-nutrition,Cargill Aqua Nutrition / EWOS,organisasjon,innsatsfaktorer,for-protein,NO,"EWOS/Cargill-aktivitet i Norge med akvafor, feed manufacturing facilities og FoU-senter etter EWOS-oppkjopet.",,2026,916635001,https://www.cargill.com/worldwide/norway-en,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer norsk akvafor-/FoU-aktivitet; Brreg API validert aktiv NUF; eksisterende Actor har country=US og flagges for NO-telling"
biomar-as,BioMar AS,organisasjon,innsatsfaktorer,for-protein,NO,"Akvaforaktor som tilbyr feed- og serviceportefolje for havbruk, inkludert fôrloesninger og BioFarm-radgivning.",,2026,937843860,https://www.biomar.com/feed-services,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer feed/services; Brreg API validert aktiv AS; lenkes til eksisterende Company"
