node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
kooperativet-sa,KOOPERATIVET SA,organisasjon,forbruk,matfellesskap-innkjopslag,NO,Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 94.110 (Aktiviteter i næringslivs- og arbeidsgiverorganisasjoner).,,2026,911798956,https://data.brreg.no/enhetsregisteret/api/enheter/911798956,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 94.110. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
kooperativet,KOOPERATIVET,organisasjon,forbruk,matfellesskap-innkjopslag,NO,Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 94.992 (Aktiviteter i andre medlemsorganisasjoner ellers).,,2026,928123707,https://data.brreg.no/enhetsregisteret/api/enheter/928123707,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form FLI; NACE 94.992. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
notteroy-kooperativ-sa,NØTTERØY KOOPERATIV SA,organisasjon,forbruk,matfellesskap-innkjopslag,NO,Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 47.920 (Formidlingstjenester tilknyttet detaljhandel med spesialisert vareutvalg).,,2026,916606931,https://data.brreg.no/enhetsregisteret/api/enheter/916606931,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 47.920. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
trondheim-kooperativ-sa,TRONDHEIM KOOPERATIV SA,organisasjon,forbruk,matfellesskap-innkjopslag,NO,Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 47.920 (Formidlingstjenester tilknyttet detaljhandel med spesialisert vareutvalg).,,2026,917208875,https://data.brreg.no/enhetsregisteret/api/enheter/917208875,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 47.920. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
as-kooperativ-sa,ÅS KOOPERATIV SA,organisasjon,forbruk,matfellesskap-innkjopslag,NO,Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler).,,2026,812799762,https://data.brreg.no/enhetsregisteret/api/enheter/812799762,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 46.390. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
matkollektivet-sa,MATKOLLEKTIVET SA,organisasjon,forbruk,matfellesskap-innkjopslag,NO,Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 96.990 (Andre personlige tjenester ikke nevnt annet sted).,,2026,916966105,https://data.brreg.no/enhetsregisteret/api/enheter/916966105,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 96.990. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
bodo-andelslandbruk-sa,BODØ ANDELSLANDBRUK SA,gaard,forbruk,matfellesskap-innkjopslag,NO,"Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster).",,2026,911798778,https://data.brreg.no/enhetsregisteret/api/enheter/911798778,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 01.130. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
dysterjordet-andelslandbruk-sa,DYSTERJORDET ANDELSLANDBRUK SA,gaard,forbruk,matfellesskap-innkjopslag,NO,"Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster).",,2026,914747996,https://data.brreg.no/enhetsregisteret/api/enheter/914747996,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 01.130. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
hadeland-andelslandbruk-sa,HADELAND ANDELSLANDBRUK SA,gaard,forbruk,matfellesskap-innkjopslag,NO,"Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 46.210 (Engroshandel med korn, råtobakk, såvarer og fôrvarer).",,2026,917148430,https://data.brreg.no/enhetsregisteret/api/enheter/917148430,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 46.210. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
husebyjordet-andelslandbruk-sa,HUSEBYJORDET ANDELSLANDBRUK SA,gaard,forbruk,matfellesskap-innkjopslag,NO,"Brreg-registrert aktor i forbruk/matfellesskap-innkjopslag med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster).",,2026,915306128,https://data.brreg.no/enhetsregisteret/api/enheter/915306128,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form SA; NACE 01.130. Matfellesskap-/innkjopslagsrolle; kontroller faktisk driftsstatus, geografisk scope og forbrukerfellesskap før hard claim-lock."
