node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
1489-brewery-as,1489 BREWERY AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.050 (Produksjon av øl).,,2026,921313314,https://data.brreg.no/enhetsregisteret/api/enheter/921313314,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.050; R14 C2 første metningspass.
4640-ol-og-sider-hus-as,4640 ØL OG SIDER HUS AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.050 (Produksjon av øl).,,2026,935130786,https://data.brreg.no/enhetsregisteret/api/enheter/935130786,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.050; R14 C2 første metningspass.
7-fjell-bryggeri-as,7 FJELL BRYGGERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.050 (Produksjon av øl).,,2026,912170705,https://data.brreg.no/enhetsregisteret/api/enheter/912170705,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.050; R14 C2 første metningspass.
agnes-brygghus-as,AGNES BRYGGHUS AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.050 (Produksjon av øl).,,2026,919086815,https://data.brreg.no/enhetsregisteret/api/enheter/919086815,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.050; R14 C2 første metningspass.
ale-mates-as,ALE MATES AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.050 (Produksjon av øl).,,2026,918786309,https://data.brreg.no/enhetsregisteret/api/enheter/918786309,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.050; R14 C2 første metningspass.
alvdal-bryggeri-as,ALVDAL BRYGGERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.050 (Produksjon av øl).,,2026,934911431,https://data.brreg.no/enhetsregisteret/api/enheter/934911431,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.050; R14 C2 første metningspass.
alversund-handverksbryggjeri-as,ALVERSUND HANDVERKSBRYGGJERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.050 (Produksjon av øl).,,2026,914746582,https://data.brreg.no/enhetsregisteret/api/enheter/914746582,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.050; R14 C2 første metningspass.
amundsen-bryggeri-as,AMUNDSEN BRYGGERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.050 (Produksjon av øl).,,2026,899053702,https://data.brreg.no/enhetsregisteret/api/enheter/899053702,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.050; R14 C2 første metningspass.
alde-as,ALDE AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.070 (Produksjon av leskedrikker og flaskevann).,,2026,921110502,https://data.brreg.no/enhetsregisteret/api/enheter/921110502,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.070; R14 C2 første metningspass.
alpha-wave-beverages-as,ALPHA WAVE BEVERAGES AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.070 (Produksjon av leskedrikker og flaskevann).,,2026,925293938,https://data.brreg.no/enhetsregisteret/api/enheter/925293938,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.070; R14 C2 første metningspass.
arctic-bryggeri-as,ARCTIC BRYGGERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.070 (Produksjon av leskedrikker og flaskevann).,,2026,937511884,https://data.brreg.no/enhetsregisteret/api/enheter/937511884,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.070; R14 C2 første metningspass.
as-lerums-saftfabrikk,AS LERUMS SAFTFABRIKK,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.070 (Produksjon av leskedrikker og flaskevann).,,2026,913856325,https://data.brreg.no/enhetsregisteret/api/enheter/913856325,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.070; R14 C2 første metningspass.
as-solo,AS SOLO,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.070 (Produksjon av leskedrikker og flaskevann).,,2026,930090077,https://data.brreg.no/enhetsregisteret/api/enheter/930090077,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.070; R14 C2 første metningspass.
berentsens-brygghus-as,BERENTSENS BRYGGHUS AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.070 (Produksjon av leskedrikker og flaskevann).,,2026,911284669,https://data.brreg.no/enhetsregisteret/api/enheter/911284669,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.070; R14 C2 første metningspass.
coca-cola-europacific-partners-norge-as,COCA-COLA EUROPACIFIC PARTNERS NORGE AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.070 (Produksjon av leskedrikker og flaskevann).,,2026,976388097,https://data.brreg.no/enhetsregisteret/api/enheter/976388097,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.070; R14 C2 første metningspass.
coctel-as,CÓCTEL AS,organisasjon,foredling-industri,drikke-bryggeri,NO,Brreg-registrert foredlingsaktor med NACE 11.070 (Produksjon av leskedrikker og flaskevann).,,2026,936228283,https://data.brreg.no/enhetsregisteret/api/enheter/936228283,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.070; R14 C2 første metningspass.
67-north-distillery-as,67 NORTH DISTILLERY AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert foredlingsaktor med NACE 11.010 (Destillering, rektifisering og blanding av sprit).",,2026,925174971,https://data.brreg.no/enhetsregisteret/api/enheter/925174971,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.010; R14 C2 første metningspass.
angr-brenneri-as,ANGR BRENNERI AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert foredlingsaktor med NACE 11.010 (Destillering, rektifisering og blanding av sprit).",,2026,931547984,https://data.brreg.no/enhetsregisteret/api/enheter/931547984,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.010; R14 C2 første metningspass.
arcus-norway-as,ARCUS NORWAY AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert foredlingsaktor med NACE 11.010 (Destillering, rektifisering og blanding av sprit).",,2026,975381722,https://data.brreg.no/enhetsregisteret/api/enheter/975381722,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.010; R14 C2 første metningspass.
arcus-gruppen-as,ARCUS-GRUPPEN AS,organisasjon,foredling-industri,drikke-bryggeri,NO,"Brreg-registrert foredlingsaktor med NACE 11.010 (Destillering, rektifisering og blanding av sprit).",,2026,974476053,https://data.brreg.no/enhetsregisteret/api/enheter/974476053,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 11.010; R14 C2 første metningspass.
