node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
64-grader-nord-as,64 GRADER NORD AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,833273612,https://data.brreg.no/enhetsregisteret/api/enheter/833273612,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
as-erling-johannessen,AS ERLING JOHANNESSEN,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,913127382,https://data.brreg.no/enhetsregisteret/api/enheter/913127382,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
as-lisa,AS LISA,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,932587696,https://data.brreg.no/enhetsregisteret/api/enheter/932587696,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
bama-industri-as,BAMA INDUSTRI AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,976565967,https://data.brreg.no/enhetsregisteret/api/enheter/976565967,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
bioparsell-as,BIOPARSELL AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,934596250,https://data.brreg.no/enhetsregisteret/api/enheter/934596250,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
bonden-kokken-as,BONDEN & KOKKEN AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,921549547,https://data.brreg.no/enhetsregisteret/api/enheter/921549547,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
bonden-gronthandel-as,BONDEN GRØNTHANDEL AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,975877698,https://data.brreg.no/enhetsregisteret/api/enheter/975877698,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
brunlanes-kjolelager-as,BRUNLANES KJØLELAGER AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,993565873,https://data.brreg.no/enhetsregisteret/api/enheter/993565873,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
brunlanespakkeriet-as,BRUNLANESPAKKERIET AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,982290597,https://data.brreg.no/enhetsregisteret/api/enheter/982290597,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
baersentralen-as,BÆRSENTRALEN AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,926888374,https://data.brreg.no/enhetsregisteret/api/enheter/926888374,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
danica-foods-as,DANICA FOODS AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert foredlingsaktor med NACE 10.390 (Bearbeiding og konservering av frukt og grønnsaker ellers).,,2026,966128631,https://data.brreg.no/enhetsregisteret/api/enheter/966128631,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.390; R14 C2 første metningspass.
