node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
ailo-2-as,AILO 2 AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,933916332,https://data.brreg.no/enhetsregisteret/api/enheter/933916332,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.110; R14 C2 første metningspass.
am-vilt-og-catering-as,AM VILT OG CATERING AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,913962540,https://data.brreg.no/enhetsregisteret/api/enheter/913962540,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.110; R14 C2 første metningspass.
andsvatn-reinslakteri-as,ANDSVATN REINSLAKTERI AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,987030941,https://data.brreg.no/enhetsregisteret/api/enheter/987030941,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.110; R14 C2 første metningspass.
axel-andersen-as,AXEL ANDERSEN AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,977069904,https://data.brreg.no/enhetsregisteret/api/enheter/977069904,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.110; R14 C2 første metningspass.
beskadesrein-as,BESKADESREIN AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,923007474,https://data.brreg.no/enhetsregisteret/api/enheter/923007474,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.110; R14 C2 første metningspass.
best-food-as,BEST FOOD AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,993894044,https://data.brreg.no/enhetsregisteret/api/enheter/993894044,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.110; R14 C2 første metningspass.
bondensvalg-as,BONDENSVALG AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,815822072,https://data.brreg.no/enhetsregisteret/api/enheter/815822072,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.110; R14 C2 første metningspass.
brennholen-gard-as,BRENNHOLEN GÅRD AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.110 (Bearbeiding og konservering av kjøtt unntatt fjørfekjøtt).,,2026,916079664,https://data.brreg.no/enhetsregisteret/api/enheter/916079664,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.110; R14 C2 første metningspass.
berika-as,BERIKA AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.120 (Bearbeiding og konservering av fjørfekjøtt).,,2026,923999396,https://data.brreg.no/enhetsregisteret/api/enheter/923999396,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.120; R14 C2 første metningspass.
den-stolte-hane-as,DEN STOLTE HANE AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.120 (Bearbeiding og konservering av fjørfekjøtt).,,2026,980403815,https://data.brreg.no/enhetsregisteret/api/enheter/980403815,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.120; R14 C2 første metningspass.
grue-slakteri-as,GRUE SLAKTERI AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert foredlingsaktor med NACE 10.120 (Bearbeiding og konservering av fjørfekjøtt).,,2026,929634675,https://data.brreg.no/enhetsregisteret/api/enheter/929634675,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.120; R14 C2 første metningspass.
