node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
bako-as,BAKO AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.610 (Produksjon av kornvarer).,,2026,912636410,https://data.brreg.no/enhetsregisteret/api/enheter/912636410,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.610; R14 C2 første metningspass.
elje-billingstad-as,ELJE BILLINGSTAD AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.610 (Produksjon av kornvarer).,,2026,912858839,https://data.brreg.no/enhetsregisteret/api/enheter/912858839,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.610; R14 C2 første metningspass.
fiska-molle-skjelfoss-as,FISKÅ MØLLE SKJELFOSS AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.610 (Produksjon av kornvarer).,,2026,964878080,https://data.brreg.no/enhetsregisteret/api/enheter/964878080,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.610; R14 C2 første metningspass.
follebu-bruk-as,FOLLEBU BRUK AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.610 (Produksjon av kornvarer).,,2026,811747912,https://data.brreg.no/enhetsregisteret/api/enheter/811747912,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.610; R14 C2 første metningspass.
gullimunn-as,GULLIMUNN AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.610 (Produksjon av kornvarer).,,2026,915590314,https://data.brreg.no/enhetsregisteret/api/enheter/915590314,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.610; R14 C2 første metningspass.
holli-molle-as,HOLLI MØLLE AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.610 (Produksjon av kornvarer).,,2026,995641445,https://data.brreg.no/enhetsregisteret/api/enheter/995641445,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.610; R14 C2 første metningspass.
piece-of-cake-as,...PIECE OF CAKE AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.710 (Produksjon av brød og ferske konditorvarer).,,2026,819032262,https://data.brreg.no/enhetsregisteret/api/enheter/819032262,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.710; R14 C2 første metningspass.
a-westre-as,A. WESTRE AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.710 (Produksjon av brød og ferske konditorvarer).,,2026,937665660,https://data.brreg.no/enhetsregisteret/api/enheter/937665660,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.710; R14 C2 første metningspass.
agamat-as,AGAMAT AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.710 (Produksjon av brød og ferske konditorvarer).,,2026,919796065,https://data.brreg.no/enhetsregisteret/api/enheter/919796065,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.710; R14 C2 første metningspass.
agatas-sote-saker-as,AGATAS SØTE SAKER AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.710 (Produksjon av brød og ferske konditorvarer).,,2026,933702944,https://data.brreg.no/enhetsregisteret/api/enheter/933702944,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.710; R14 C2 første metningspass.
akers-bakeri-as,AKERS BAKERI AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.710 (Produksjon av brød og ferske konditorvarer).,,2026,926279157,https://data.brreg.no/enhetsregisteret/api/enheter/926279157,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.710; R14 C2 første metningspass.
allora-italiensk-pizzaria-as,ALLORA ITALIENSK PIZZARIA AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.710 (Produksjon av brød og ferske konditorvarer).,,2026,933498271,https://data.brreg.no/enhetsregisteret/api/enheter/933498271,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.710; R14 C2 første metningspass.
alver-bakeri-catering-as,ALVER BAKERI & CATERING AS,organisasjon,foredling-industri,korn-molle-bakeri,NO,Brreg-registrert foredlingsaktor med NACE 10.710 (Produksjon av brød og ferske konditorvarer).,,2026,934047486,https://data.brreg.no/enhetsregisteret/api/enheter/934047486,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.710; R14 C2 første metningspass.
