node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
avdem-gardsysteri-as,AVDEM GARDSYSTERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,984083157,https://data.brreg.no/enhetsregisteret/api/enheter/984083157,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
bakken-ovre-gardsmat-as,BAKKEN ØVRE GÅRDSMAT AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,914386748,https://data.brreg.no/enhetsregisteret/api/enheter/914386748,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
bare-ice-cream-as,BARE ICE CREAM AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,936532284,https://data.brreg.no/enhetsregisteret/api/enheter/936532284,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
beiarmat-as,BEIARMAT AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,919728000,https://data.brreg.no/enhetsregisteret/api/enheter/919728000,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
beurre-d-or-as,BEURRE D'OR AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,927181304,https://data.brreg.no/enhetsregisteret/api/enheter/927181304,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
bruse-gardsmeieri-as,BRUSE GÅRDSMEIERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,991358277,https://data.brreg.no/enhetsregisteret/api/enheter/991358277,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
dalati-dairy-as,DALATI DAIRY AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,924389907,https://data.brreg.no/enhetsregisteret/api/enheter/924389907,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
dalheim-gardsysteri-as,DALHEIM GÅRDSYSTERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,920647650,https://data.brreg.no/enhetsregisteret/api/enheter/920647650,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
det-norske-meieri-as,DET NORSKE MEIERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,925075981,https://data.brreg.no/enhetsregisteret/api/enheter/925075981,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
eggen-gardsysteri-as,EGGEN GARDSYSTERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,993427799,https://data.brreg.no/enhetsregisteret/api/enheter/993427799,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
eiker-gardsysteri-as,EIKER GÅRDSYSTERI AS,organisasjon,foredling-industri,meieri,NO,Brreg-registrert foredlingsaktor med NACE 10.510 (Produksjon av meierivarer).,,2026,985020183,https://data.brreg.no/enhetsregisteret/api/enheter/985020183,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.510; R14 C2 første metningspass.
