node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
a-s-forma,A/S FORMA,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.890 (Produksjon av næringsmidler ikke nevnt annet sted).,,2026,914168481,https://data.brreg.no/enhetsregisteret/api/enheter/914168481,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.890; R14 C2 første metningspass.
agra-foods-as,AGRA FOODS AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.890 (Produksjon av næringsmidler ikke nevnt annet sted).,,2026,910098071,https://data.brreg.no/enhetsregisteret/api/enheter/910098071,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.890; R14 C2 første metningspass.
agra-foods-nordic-as,AGRA FOODS NORDIC AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.890 (Produksjon av næringsmidler ikke nevnt annet sted).,,2026,985194572,https://data.brreg.no/enhetsregisteret/api/enheter/985194572,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.890; R14 C2 første metningspass.
alex-sushi-products-as,ALEX SUSHI PRODUCTS AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.890 (Produksjon av næringsmidler ikke nevnt annet sted).,,2026,898391132,https://data.brreg.no/enhetsregisteret/api/enheter/898391132,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.890; R14 C2 første metningspass.
algavida-as,ALGAVIDA AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.890 (Produksjon av næringsmidler ikke nevnt annet sted).,,2026,928679969,https://data.brreg.no/enhetsregisteret/api/enheter/928679969,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.890; R14 C2 første metningspass.
altifrisk-as,ALTIFRISK AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.890 (Produksjon av næringsmidler ikke nevnt annet sted).,,2026,935814278,https://data.brreg.no/enhetsregisteret/api/enheter/935814278,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.890; R14 C2 første metningspass.
arctic-candy-as,ARCTIC CANDY AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.890 (Produksjon av næringsmidler ikke nevnt annet sted).,,2026,988232629,https://data.brreg.no/enhetsregisteret/api/enheter/988232629,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.890; R14 C2 første metningspass.
arctic-natural-nutrition-as,ARCTIC NATURAL NUTRITION AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.890 (Produksjon av næringsmidler ikke nevnt annet sted).,,2026,928103668,https://data.brreg.no/enhetsregisteret/api/enheter/928103668,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.890; R14 C2 første metningspass.
bioform-as,BIOFORM AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.860 (Produksjon av homogeniserte matprodukter og diettmat).,,2026,981502949,https://data.brreg.no/enhetsregisteret/api/enheter/981502949,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.860; R14 C2 første metningspass.
bionutrients-as,BIONUTRIENTS AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.860 (Produksjon av homogeniserte matprodukter og diettmat).,,2026,936402305,https://data.brreg.no/enhetsregisteret/api/enheter/936402305,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.860; R14 C2 første metningspass.
biopharma-as,BIOPHARMA AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.860 (Produksjon av homogeniserte matprodukter og diettmat).,,2026,981712315,https://data.brreg.no/enhetsregisteret/api/enheter/981712315,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.860; R14 C2 første metningspass.
biosan-as,BIOSAN AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.860 (Produksjon av homogeniserte matprodukter og diettmat).,,2026,974524651,https://data.brreg.no/enhetsregisteret/api/enheter/974524651,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.860; R14 C2 første metningspass.
amo-s-pizza-as,AMO'S PIZZA AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.850 (Produksjon av ferdigmat).,,2026,929911008,https://data.brreg.no/enhetsregisteret/api/enheter/929911008,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.850; R14 C2 første metningspass.
aroma-foods-as,AROMA FOODS AS,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.850 (Produksjon av ferdigmat).,,2026,898804062,https://data.brreg.no/enhetsregisteret/api/enheter/898804062,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.850; R14 C2 første metningspass.
as-sorkedalsveien-93,AS SØRKEDALSVEIEN 93,organisasjon,foredling-industri,naeringsmiddel-ovrig,NO,Brreg-registrert foredlingsaktor med NACE 10.850 (Produksjon av ferdigmat).,,2026,932248549,https://data.brreg.no/enhetsregisteret/api/enheter/932248549,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.850; R14 C2 første metningspass.
