node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
a-johansen-as,A JOHANSEN AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk).",,2026,913214439,https://data.brreg.no/enhetsregisteret/api/enheter/913214439,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.201; R14 C2 første metningspass.
abs-as,ABS AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk).",,2026,994985108,https://data.brreg.no/enhetsregisteret/api/enheter/994985108,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.201; R14 C2 første metningspass.
arctic-seafood-cod-as,ARCTIC SEAFOOD COD AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk).",,2026,991586717,https://data.brreg.no/enhetsregisteret/api/enheter/991586717,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.201; R14 C2 første metningspass.
arne-sorensen-sonner-as,ARNE SØRENSEN & SØNNER AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk).",,2026,937578504,https://data.brreg.no/enhetsregisteret/api/enheter/937578504,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.201; R14 C2 første metningspass.
as-glea,AS GLEA,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk).",,2026,912009181,https://data.brreg.no/enhetsregisteret/api/enheter/912009181,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.201; R14 C2 første metningspass.
as-more-codfish-comp,AS MØRE CODFISH COMP,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk).",,2026,914499151,https://data.brreg.no/enhetsregisteret/api/enheter/914499151,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.201; R14 C2 første metningspass.
askur-as,ASKUR AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk).",,2026,993369195,https://data.brreg.no/enhetsregisteret/api/enheter/993369195,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.201; R14 C2 første metningspass.
astrup-lofoten-as,ASTRUP LOFOTEN AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.201 (Produksjon av saltfisk, tørrfisk og klippfisk).",,2026,946366056,https://data.brreg.no/enhetsregisteret/api/enheter/946366056,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.201; R14 C2 første metningspass.
aker-biomarine-understory-as,AKER BIOMARINE UNDERSTORY AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.202 (Slakting av fisk, skalldyr og bløtdyr).",,2026,932567733,https://data.brreg.no/enhetsregisteret/api/enheter/932567733,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.202; R14 C2 første metningspass.
alfa-seafood-as,ALFA SEAFOOD AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.202 (Slakting av fisk, skalldyr og bløtdyr).",,2026,916161573,https://data.brreg.no/enhetsregisteret/api/enheter/916161573,A,machine_verified,middels,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.202; R14 C2 første metningspass.
alsvag-lakseslakteri-as,ALSVÅG LAKSESLAKTERI AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.202 (Slakting av fisk, skalldyr og bløtdyr).",,2026,948927241,https://data.brreg.no/enhetsregisteret/api/enheter/948927241,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.202; R14 C2 første metningspass.
aqua-drift-as,AQUA DRIFT AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.202 (Slakting av fisk, skalldyr og bløtdyr).",,2026,965260781,https://data.brreg.no/enhetsregisteret/api/enheter/965260781,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.202; R14 C2 første metningspass.
arendal-fiskemottak-as,ARENDAL FISKEMOTTAK AS,organisasjon,foredling-industri,sjomat-foredling,NO,"Brreg-registrert foredlingsaktor med NACE 10.202 (Slakting av fisk, skalldyr og bløtdyr).",,2026,983581528,https://data.brreg.no/enhetsregisteret/api/enheter/983581528,A,machine_verified,hoy,2026-07-03,Brreg API validert aktiv enhet 2026-07-03; NACE 10.202; R14 C2 første metningspass.
