node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
landbruksdirektoratet,LANDBRUKSDIREKTORATET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Utøvende og rådgivende forvaltningsorgan underlagt Landbruksdepartementet,,2026,981544315,https://data.brreg.no/enhetsregisteret/api/enheter/981544315,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
mattilsynet,MATTILSYNET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Offentlig tilsyn,,2026,985399077,https://data.brreg.no/enhetsregisteret/api/enheter/985399077,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
fiskeridirektoratet,FISKERIDIREKTORATET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Fiskeriforvaltning,,2026,971203420,https://data.brreg.no/enhetsregisteret/api/enheter/971203420,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
miljodirektoratet,MILJØDIREKTORATET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.120 (Offentlig administrasjon tilknyttet helsestell, undervisning, kultur og annen sosial virksomhet). Statlig direktorat for å iverksette regjeringens miljøpolitikk spesielt på områdene klima, luft, vann og naturmangfoldet av planter, dyr og landskap",,2026,999601391,https://data.brreg.no/enhetsregisteret/api/enheter/999601391,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.120; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
helsedirektoratet,HELSEDIREKTORATET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.120 (Offentlig administrasjon tilknyttet helsestell, undervisning, kultur og annen sosial virksomhet). Tilsyn- og forebyggingsarbeide innenfor sosial- og helsesektoren i Norge. Utøvende organ ovenfor kommunenes sosialtjenester og helsetjenester og sekretariat for offentlige råd og utvalg.",,2026,983544622,https://data.brreg.no/enhetsregisteret/api/enheter/983544622,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.120; flagges for etterkontroll: Folkehelse-/kostholdsmyndighet; kontroller avgrensning mot matsystempolicy.
konkurransetilsynet,KONKURRANSETILSYNET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,Brreg-registrert aktor i virkemiddel-policy med 84.110 (Generell offentlig administrasjon). Håndheve konkurranseloven,,2026,974761246,https://data.brreg.no/enhetsregisteret/api/enheter/974761246,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 84.110; flagges for etterkontroll: Konkurransemyndighet; bred policyrolle, kontroller konkret matsystemrelevans."
forbrukertilsynet,FORBRUKERTILSYNET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Tilsyn med markedsføringsloven,,2026,974761335,https://data.brreg.no/enhetsregisteret/api/enheter/974761335,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; flagges for etterkontroll: Forbrukermyndighet; bred policyrolle, kontroller konkret matsystemrelevans."
landbruks-og-matdepartementet,LANDBRUKS- OG MATDEPARTEMENTET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,Brreg-registrert aktor i virkemiddel-policy med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Departement,,2026,972417874,https://data.brreg.no/enhetsregisteret/api/enheter/972417874,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
naerings-og-fiskeridepartementet,NÆRINGS- OG FISKERIDEPARTEMENTET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,Brreg-registrert aktor i virkemiddel-policy med 84.110 (Generell offentlig administrasjon). Departement,,2026,912660680,https://data.brreg.no/enhetsregisteret/api/enheter/912660680,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.110; juridisk enhet samsvarer med virkemiddel-/forvaltningsrolle.
klima-og-miljodepartementet,KLIMA- OG MILJØDEPARTEMENTET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.120 (Offentlig administrasjon tilknyttet helsestell, undervisning, kultur og annen sosial virksomhet). Departement",,2026,972417882,https://data.brreg.no/enhetsregisteret/api/enheter/972417882,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.120; flagges for etterkontroll: Departement med klima-/miljoepolicy; kontroller matsystemkobling per claim.
helse-og-omsorgsdepartementet,HELSE- OG OMSORGSDEPARTEMENTET,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,"Brreg-registrert aktor i virkemiddel-policy med 84.110 (Generell offentlig administrasjon). Helsedepartementet har det konstitusjonelle ansvaret for forebyggende helsearbeid, rehabiliteringstjenester, sykehustjenester og helsetjenester.",,2026,983887406,https://data.brreg.no/enhetsregisteret/api/enheter/983887406,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.110; flagges for etterkontroll: Departement med helse-/kostholdspolitikk; kontroller matsystemkobling per claim.
statsforvalterens-fellestjenester,STATSFORVALTERENS FELLESTJENESTER,organisasjon,virkemiddel-policy,forvaltning-tilsyn,NO,Brreg-registrert aktor i virkemiddel-policy med 84.110 (Generell offentlig administrasjon). STAF skal levere administrative tjenester til statsforvalterembetene.,,2026,921627009,https://data.brreg.no/enhetsregisteret/api/enheter/921627009,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.110; flagges for etterkontroll: Fellestjeneste for statsforvalteren; kontroller rolle mot regional landbruksforvaltning.
