node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
nibio,NIBIO - NORSK INSTITUTT FOR BIOØKONOMI,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Norsk institutt for bioøkonomi, NIBIO, er et nasjonalt forskningsinstitutt eid av Landbruks- og matdepartementet. Instituttet skal bidra til matsikkerhet, bærekraftig ressursforvaltning, innovasjon og verdiskaping innenfor verdikjedene for mat, skog og andre biobaserte næringer. Instituttet skal levere forskning, forvaltningsstøtte og kunnskap til anvendelse i nasjonal beredskap, forvaltning, næringsliv og samfunnet forøvrig.",,2026,988983837,https://data.brreg.no/enhetsregisteret/api/enheter/988983837,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; juridisk enhet samsvarer med FoU-/forskningsinstituttrollen.
norsok,STIFTELSEN NORSK SENTER FOR ØKOLOGISK LANDBRUK,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Å fremja utviklinga av økologisk landbruk. Arbeide for, leggje til rette, drive og formidle forskning, undervisning og rådgjeving i økologisk landbruk. Utleiege av eigen fast eigedom.",,2026,969840383,https://data.brreg.no/enhetsregisteret/api/enheter/969840383,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; juridisk enhet samsvarer med FoU-/forskningsinstituttrollen.
ruralis,STIFTELSEN RURALIS INSTITUTT FOR RURAL- OG REGIONALFORSKNING,organisasjon,fou-institusjon,forskningsinstitutt,NO,Brreg-registrert aktor i fou-institusjon med 72.200 (Forskning og eksperimentell utvikling innenfor samfunnsvitenskap og humanistiske fag). Samfunnsvitenskapelig forsknings- og utviklingsarbeid.,,2026,982890535,https://data.brreg.no/enhetsregisteret/api/enheter/982890535,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.200; juridisk enhet samsvarer med FoU-/forskningsinstituttrollen.
nofima,NOFIMA AS,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Næringsrettet fiskeri/havbruks- og matforskning, og investeringer i andre selskaper innen samme virksomhet.",,2026,989278835,https://data.brreg.no/enhetsregisteret/api/enheter/989278835,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; juridisk enhet samsvarer med FoU-/forskningsinstituttrollen.
sintef-ocean,SINTEF OCEAN AS,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Bidra til å styrke bedriftenes konkurranseevne, stimulere til utvikling av industriell virksomhet og næringsvirksomhet forøvrig, samt fremme sikkerheten innen denne virksomhet. Selskapet skal virke for helhetssyn og nye initiativ nasjonalt og internasjonalt.",,2026,937357370,https://data.brreg.no/enhetsregisteret/api/enheter/937357370,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; bredt hav-/teknologisk FoU-institutt; mat-/havbrukskobling maa avgrenses per claim.
havforskningsinstituttet,HAVFORSKNINGSINSTITUTTET,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Havforskning. Som en del av virksomheten selger instituttet fangstet fisk, torsk, makrell, blåkveite, etc, fra egne og leide fartøy. Salg av oppdrettsfisk, laks, kveite og torsk fra havbruksstasjonene i Matre (Masfjorden kommune) og Austevoll (Austevoll kommune), samt stasjonen ved Parisvatnet i Øygarden kommune.",,2026,971349077,https://data.brreg.no/enhetsregisteret/api/enheter/971349077,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; juridisk enhet samsvarer med marin FoU-/forvaltningsforskningsrolle.
veterinaerinstituttet,VETERINÆRINSTITUTTET,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Veterinærinstituttet er et biomedisinsk forskningsinstitutt og Norges ledende fagmiljø innen biosikkerhet hos fisk og landdyr. Kjerneaktivitetene er diagnostikk, forskning, innovasjon, overvåking, risikovurdering, rådgiving og formidling",,2026,970955623,https://data.brreg.no/enhetsregisteret/api/enheter/970955623,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; juridisk enhet samsvarer med FoU-/kunnskapsrolle for dyrehelse, mattrygghet og beredskap."
norsus,NORSUS NORSK INSTITUTT FOR BÆREKRAFTSFORSKNING AS,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.200 (Forskning og eksperimentell utvikling innenfor samfunnsvitenskap og humanistiske fag). Være premissleverandør for og leverandør av ny kunnskap for et mer innovativt og bærekraftig samfunn, og et instrument for tilrettelegging og organisering av FOU-virksomhet i Østfold.",,2026,989861751,https://data.brreg.no/enhetsregisteret/api/enheter/989861751,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.200; bredt baerekraftsforskningsmiljoe; matsystemkobling maa avgrenses per claim.
sintef,SINTEF AS,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.100 (Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk). Forsknings- og utviklingsvirksomhet, deltakelse og eierskap i andre foretak som driver tilsvarende virksomhet og annen tilhørende virksomhet.",,2026,919303808,https://data.brreg.no/enhetsregisteret/api/enheter/919303808,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.100; bredt FoU-konsern; konkret matsystemkobling maa dokumenteres per claim.
moreforsking,MØREFORSKING AS,organisasjon,fou-institusjon,forskningsinstitutt,NO,"Brreg-registrert aktor i fou-institusjon med 72.200 (Forskning og eksperimentell utvikling innenfor samfunnsvitenskap og humanistiske fag). Forskings- og utviklingsarbeid, utgreiingar og rådgivande verksemd for næringsliv, offentleg forvaltning, organisasjonar og andre, samt delta i andre aktivitetar som står naturleg i samanheng med dette - herunder ha eigarskap i andre selskap.",,2026,991436502,https://data.brreg.no/enhetsregisteret/api/enheter/991436502,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 72.200; regionalt FoU-miljoe; mat-/marine koblinger maa dokumenteres per claim.
