node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
nmbu,NORGES MILJØ- OG BIOVITENSKAPELIGE UNIVERSITET (NMBU),organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Undervisning ved universiteter.,,2026,969159570,https://data.brreg.no/enhetsregisteret/api/enheter/969159570,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; juridisk enhet samsvarer med UH-/biooekonomi-/matfaglig rolle.
universitetet-i-oslo,UNIVERSITETET I OSLO,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Undervisning ved universiteter.,,2026,971035854,https://data.brreg.no/enhetsregisteret/api/enheter/971035854,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; relevante mat-/miljoe-/samfunnsmiljoer maa avgrenses per claim.
universitetet-i-bergen,UNIVERSITETET I BERGEN,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Universitet,,2026,874789542,https://data.brreg.no/enhetsregisteret/api/enheter/874789542,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; relevante mat-/hav-/samfunnsmiljoer maa avgrenses per claim.
ntnu,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Forskning og undervisning,,2026,974767880,https://data.brreg.no/enhetsregisteret/api/enheter/974767880,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; relevante teknologi-/mat-/havmiljoer maa avgrenses per claim.
nord-universitet,NORD UNIVERSITET,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Undervisning og forskning,,2026,970940243,https://data.brreg.no/enhetsregisteret/api/enheter/970940243,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; UH-aktor med biooekonomi-/havbruksrelevans; konkret fagmiljoe maa dokumenteres per claim.
oslomet,OSLOMET - STORBYUNIVERSITETET,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Universitet,,2026,997058925,https://data.brreg.no/enhetsregisteret/api/enheter/997058925,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; relevante forbruker-/offentlig-matmiljoer maa avgrenses per claim.
hogskulen-pa-vestlandet,HØGSKULEN PÅ VESTLANDET,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.403 (Undervisning ved andre høgskoler). Høgskule,,2026,917641404,https://data.brreg.no/enhetsregisteret/api/enheter/917641404,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.403; bred UH-aktor; relevante regional-/mat-/havmiljoer maa avgrenses per claim.
universitetet-i-innlandet,UNIVERSITETET I INNLANDET,organisasjon,fou-institusjon,universitet-utdanning,NO,"Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Høyere utdanning, forskning og utvikling og formidling.",,2026,918108467,https://data.brreg.no/enhetsregisteret/api/enheter/918108467,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; relevante landbruks-/biooekonomimiljoer maa avgrenses per claim.
uit-norges-arktiske-universitet,UNIVERSITETET I TROMSØ - NORGES ARKTISKE UNIVERSITET,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). forskning og undervisning,,2026,970422528,https://data.brreg.no/enhetsregisteret/api/enheter/970422528,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; arktisk/marin matsystemkobling maa dokumenteres per claim.
universitetet-i-agder,UNIVERSITETET I AGDER,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Undervisning ved universitet,,2026,970546200,https://data.brreg.no/enhetsregisteret/api/enheter/970546200,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; matsystemrelevans maa avgrenses per claim.
universitetet-i-stavanger,UNIVERSITETET I STAVANGER,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Hovedaktiviteten til Universitetet i Stavanger er undervisning forskning og formidling.,,2026,971564679,https://data.brreg.no/enhetsregisteret/api/enheter/971564679,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; mat-/service-/havkobling maa avgrenses per claim.
universitetet-i-sorost-norge,UNIVERSITETET I SØRØST-NORGE,organisasjon,fou-institusjon,universitet-utdanning,NO,Brreg-registrert aktor i fou-institusjon med 85.401 (Undervisning ved universiteter). Undervisning og forskning,,2026,911770709,https://data.brreg.no/enhetsregisteret/api/enheter/911770709,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 85.401; bred UH-aktor; regional mat-/biooekonomikobling maa avgrenses per claim.
