node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
kvann,KVANN (Norwegian Seed Savers),organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktiv interesseorganisasjon for plantemangfold, froavl og oppformering av frø og planter for deling og salg; eksisterende aktør re-registreres eksakt i innsatsfaktor-cellen.",,2026,917965137,https://data.brreg.no/enhetsregisteret/api/enheter/917965137,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv FLI 2026-07-02; tidligere primærkilder dokumenterer seed-saver/genressursrolle. Denne raden korrigerer undercount der eksisterende aktør hadde eksakte registreringer under permakultur, men ikke innsatsfaktorer."
solhatt,Solhatt Økologisk Hagebruk AS,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktiv hagebruksfrøprodusent med produksjon og salg av hagebruksfrø; eksisterende økologisk frøaktør re-registreres eksakt i innsatsfaktor-cellen.",,2026,913997832,https://data.brreg.no/enhetsregisteret/api/enheter/913997832,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; tidligere primærkilder dokumenterer økologisk frø- og kulturarvsortrolle. Denne raden korrigerer undercount der eksisterende aktør hadde eksakte permakulturregistreringer, men ikke innsatsfaktorer."
felleskjopet-agri,Felleskjøpet Agri SA,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktiv landbrukssamvirke- og innsatsvareaktør med korn-/planteprodukt- og såfrøsortiment; eksisterende Felleskjøpet-aktør re-registreres eksakt i frø-/genressurscellen.",,2026,911608103,https://data.brreg.no/enhetsregisteret/api/enheter/911608103,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv SA 2026-07-02; tidligere primærkilde dokumenterer såfrøsortiment. Denne raden korrigerer undercount der eksisterende aktør hadde eksakt kooperativ-eierskap-registrering, men ikke innsatsfaktorer."
foreningen-vare-fro,FORENINGEN VÅRE FRØ,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktivt samarbeidsnettverk for økologiske frødyrkere i Norge med opplæring, kurs, konsulenthjelp, utstyrsutlån og opplysningsarbeid.",,2026,987380977,https://data.brreg.no/enhetsregisteret/api/enheter/987380977,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv FLI 2026-07-02; registertekst bekrefter nettverk for økologiske frødyrkere, men ikke medlemstall, aktiv kurskalender, produksjonsvolum eller sort-/genmaterialliste."
akershus-ostfold-froavlerlag,AKERSHUS OG ØSTFOLD FRØAVLERLAG,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktivt interesselag for frødyrkere som arrangerer møter, kurs, fagturer og markdager og deltar i prisforhandlinger med kjøpere av frø.",,2026,975968243,https://data.brreg.no/enhetsregisteret/api/enheter/975968243,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv FLI 2026-07-02; regionalt frøavlerlag under/ved siden av Norsk Frøavlerlag. Kontroller medlemsmasse, avlingsarter og dagens aktivitet før hard claim-lock."
telemark-froavlerlag,TELEMARK FRØAVLERLAG,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktiv interesseorganisasjon for frødyrkere i Telemark.",,2026,991191003,https://data.brreg.no/enhetsregisteret/api/enheter/991191003,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv FLI 2026-07-02; registertekst bekrefter regional frødyrkerorganisasjon, men ikke medlemstall, avlingsarter, volum eller aktivitetsnivå."
vestfold-froavlerlag,VESTFOLD FRØAVLERLAG,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktiv organisasjon for bønder i Vestfold som dyrker og selger frø av engvekster, gir faglig veiledning og ivaretar interesser ved prisforhandlinger med frøkjøpere.",,2026,982812496,https://data.brreg.no/enhetsregisteret/api/enheter/982812496,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv FLI 2026-07-02; registertekst bekrefter frø av engvekster, rådgivning og prisforhandlingsrolle, men ikke volum, medlemsliste eller aktiv 2026-plan."
kimen-savarelaboratoriet-as,KIMEN SÅVARELABORATORIET AS,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktivt såvarelaboratorium for analyser av frø og såkorn og opprettholdelse av nasjonalt referanselaboratorium.",,2026,987003995,https://data.brreg.no/enhetsregisteret/api/enheter/987003995,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; infrastruktur-/kontrollrolle i frø- og såvarekjeden, ikke produsent. Kontroller laboratoriestatus, akkreditering og tjenesteomfang før hard claim-lock."
settepotetdyrkernes-landslag,SETTEPOTETDYRKERNES LANDSLAG,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktiv interesseorganisasjon som fremmer settepotetdyrkernes faglige og økonomiske interesser; representerer vegetativt formeringsmateriale i innsatsfaktorleddet.",,2026,980317684,https://data.brreg.no/enhetsregisteret/api/enheter/980317684,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg API validert aktiv FLI 2026-07-02; tas inn som formeringsmateriale-/settepotetrolle, ikke frø i snever botanisk betydning. Kontroller aktiv medlemsbase, sort-/sertifiseringskobling og volum før hard claim-lock."
agder-fro-og-maskin-as,AGDER FRØ OG MASKIN AS,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktiv såvare-/frøleverandør med engroshandel med frø og binderivarer under NACE 46.210.",,2026,936346324,https://data.brreg.no/enhetsregisteret/api/enheter/936346324,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv AS 2026-07-02; registertekst bekrefter frøhandel, men ikke landbruks-/hagebrukssegment, volum, kundemiks eller faktisk norsk produksjonsrolle."
fro-fra-hagen-beate-nyflot,FRØ FRA HAGEN - BEATE NYFLØT,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Brreg-aktiv småskala blomsterfrøaktør med salg av blomsterfrø dyrket og høstet fra egen hage.",,2026,924508752,https://data.brreg.no/enhetsregisteret/api/enheter/924508752,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg API validert aktiv ENK 2026-07-02; registertekst bekrefter egenproduksjon av blomsterfrø, men ikke matvekstrolle, volum, økologisk status eller bred verdikjededekning."
