node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
kvann,KVANN (Norwegian Seed Savers),organisasjon,innsatsfaktorer,froe-genressurser,NO,"Nasjonal interesseorganisasjon for bevaring av plantemangfold og deling av norske nyttevekster gjennom fror, planter og laug.",,2026,917965137,https://kvann.no/om-oss/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer seed-saver/genressursrolle; Brreg API validert aktiv FLI; eksisterende Actor berikes"
nibio,NIBIO,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Norsk institutt for biookonomi med Norsk genressurssenter og Landvik-kompetansesenter for blomstereng og naturfro.",,2026,988983837,https://www.nibio.no/om-nibio/vare-fagdivisjoner/divisjon-for-kart-og-statistikk/norsk-genressurssenter,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer koordinering av nasjonale genressurser; NIBIO Landvik dokumenterer naturfro-rolle; Brreg API validert aktiv ORGL; eksisterende Actor berikes"
nordgen,NordGen,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Nordisk genressursinstitusjon med operativ rolle for Svalbard Global Seed Vault og nordisk fro-/genbankarbeid koblet til Norge.",,2026,,https://www.nordgen.org/our-work/svalbard-global-seed-vault/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer Seed Vault-rolle; nordisk institusjon uten norsk org.nr.; eksisterende Actor berikes og flagges for juridisk presisering"
svalbard-global-seed-vault,Svalbard Global Seed Vault,ordning,innsatsfaktorer,froe-genressurser,NO,"Norsk global sikkerhetskopi for froprover fra genbanker; tilbyr langtidslagring av duplikater for matsikkerhet og plantegenetisk beredskap.",,2026,,https://www.seedvault.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer 1 385 898 seed samples og norsk invitasjon til depositarer; infrastruktur/ordning uten eget norsk org.nr. i kandidatdata"
graminor-as,Graminor AS,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Norsk planteforedlingsaktor som utvikler nye sorter for jord- og hagebruk i Norge og Norden.",,2026,967247359,https://graminor.no/?lang=en,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer planteforedling og sortsutvikling; Brreg API validert aktiv AS"
sagaplant-as,Sagaplant AS,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Produsent av friskt og sortsekte utgangsmateriale til groentnaeringen, frukt-, baer- og groentanleggsplanter.",,2026,993061158,https://www.sagaplant.no/,primary,machine_verified,hoy,2026-06-26,"Egen side oppgir org.nr og rolle i sykdomsfritt, sortsekte plantemateriale; Brreg API validert aktiv AS"
solhatt,Solhatt Oekologisk Hagebruk AS,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Oekologisk froaktor med norskproduserte fro, norske kulturarvsorter og Debio-godkjent oekologisk frotilbud.",,2026,913997832,https://solhatt.no/kontakt/,primary,machine_verified,hoy,2026-06-26,"Egen side oppgir org.nr, Debio-sertifikat og frokategorier; Brreg API validert aktiv AS; eksisterende Actor berikes"
norsk-froavlerlag,Norsk Froavlerlag,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Samarbeidsorgan for lokale froavlerlag som organiserer frøavl av engvekster, groentanlegg, blomster, rotvekster, gronnsaker og annet fro til modning.",,2026,984027761,https://www.froavlerlaget.no/om-oss/,primary,machine_verified,hoy,2026-06-26,"Egen side oppgir rolle og org.nr.; Brreg API validert aktiv FLI"
norgro-as,NORGRO AS,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Landsdekkende leverandoer av saa varer, plantemateriale og frø til yrkesdyrkere innen groent, krydder, urter, blomster og relaterte innsatsmidler.",,2026,960117883,https://www.norgro.no/om-norgro,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer landsdekkende frø-/plantematerialerolle; Brreg API validert aktiv AS"
strand-unikorn-as,Strand Unikorn AS,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Saa vare- og landbruksinnsatsaktor med norsk produksjon av jordbruksfroarter og froblandinger gjennom Strand/Norgesfor-sporet.",,2026,916329717,https://plantekultur.no/savarer/jordbruksfro-til-alle-formal,primary,machine_verified,hoy,2026-06-26,"Plantekultur/Strand-side dokumenterer norsk froproduksjon; Brreg API validert aktiv AS; eksisterende Company finnes og skal lenkes"
felleskjopet-agri,Felleskjopet Agri SA,organisasjon,innsatsfaktorer,froe-genressurser,NO,"Samvirke- og innsatsvareaktor med saa fro-sortiment for eng, gronfor, viltblandinger, fôrgras, belgvekster, fangvekster og pollinatorstriper.",,2026,911608103,https://fka.felleskjopet.no/planteproduksjon-oversikt/safro/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer saa fro-sortiment og org.nr.; Brreg API validert aktiv SA; eksisterende Actor/Company berikes"
