node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
a-s-r-ra-fabrikker,A/S Røra Fabrikker,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Produksjon av saft, syltetøy og juice, samt alt som naturlig hører hertil. Produksjon av saft, syltetøy og juice, samt alt som naturlig hører hertil.",,2026,916915144,https://data.brreg.no/enhetsregisteret/api/enheter/916915144,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
balholm-as,BALHOLM AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Selskapet sitt føremål er utvikling, produksjon og sal av naturlege frukt- og bærbaserte produkt. Selskapet sitt føremål er utvikling, produksjon og sal av naturlege frukt- og bærbaserte produkt.",,2026,990555060,https://data.brreg.no/enhetsregisteret/api/enheter/990555060,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
eplefryd-as,EPLEFRYD AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Pressing av epler for privatpersoner. Andre aktiviteter i lokalområdet (Ålgård) vil opprettes etter hvert. Skape vinn-vinn-situasjoner i lokalområdet. Selskapet forstår seg selv som sosial entreprenør og driver med aktiviteter som muliggjør oppnåelse av en trippel bunnlinje (sosialt, miljø, finansiell).",,2026,921207697,https://data.brreg.no/enhetsregisteret/api/enheter/921207697,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
epli-sideri-as,EPLI SIDERI AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Produksjon, distribusjon og salg av eplesider. Produksjon, distribusjon og salg av eplesider og annen tilsvarende virksomhet, samt eierskap i andre selskaper og alt som står i forbindelse med dette.",,2026,815099982,https://data.brreg.no/enhetsregisteret/api/enheter/815099982,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
balholmbygget-as,BALHOLMBYGGET AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Eige og leige ut bygg, samt drive andre aktivtetar som naturleg høyrer inn under dette. Eige og leige ut bygg, samt drive andre aktivtetar som naturleg høyrer inn under dette.",,2026,920805140,https://data.brreg.no/enhetsregisteret/api/enheter/920805140,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
fonte-verdi-as,FONTE VERDI AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Fruktpresseri, saftproduksjon, osteproduksjon og lignende. Fruktpresseri og produksjon av ost og lignende meieriprodukter, samt alt som naturlig hører med til dette.",,2026,919227710,https://data.brreg.no/enhetsregisteret/api/enheter/919227710,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
gardening-at-night-as,GARDENING AT NIGHT AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Pressing av epler for privatpersoner og derigjennom produksjon av eplemost på bestilling/oppdrag som hovedaktivetet, men med mulighet for også å presse andre frukter/grønnsaker om noen etterspør det. Produksjon av most o.l. samt annet som naturlig faller sammen med dette.",,2026,917040400,https://data.brreg.no/enhetsregisteret/api/enheter/917040400,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
instanes-gard-as,INSTANES GARD AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Produksjon og salg av juice og sider av frukt. Produksjon av sider og annen fruktvin. Produksjon og salg av sider og saft samt det som naturlig står i forbindelse med dette.,,2026,935204577,https://data.brreg.no/enhetsregisteret/api/enheter/935204577,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
jordn-r-as,JORDNÆR AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.320 (Produksjon av juice av frukt og grønnsaker). Utvikling og salg av safter, juicer og matvarer basert på råvarer dyrket på gården Balsvik og i nærområdet, samt gårdsturisme og annet som hermed naturlig er forbundet. Utvikling og salg av safter, juicer og matvarer basert på råvarer dyrket på gården Balsvik og i nærområdet, samt gårdsturisme og annet som hermed naturlig er forbundet.",,2026,896599712,https://data.brreg.no/enhetsregisteret/api/enheter/896599712,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.320; ingen Company-rad funnet i lokal DB ved pre-dedup.
art-nor-as,ART NOR AS,organisasjon,foredling-industri,frukt-groent-foredling,NO,"Brreg-registrert aktor i foredling-industri/frukt-groent-foredling med 10.310 (Bearbeiding og konservering av poteter). Skrelling og bearbeiding av poteter, gulrot og kålrot. Selskapet skal også kunne eie andeler i selskaper innen produksjon og salg av egne utviklede konsepter, samt eierandeler i andre selskaper innenfor samme virksomhetsområde. Skrelling og bearbeiding av poteter, grønnsaker og bearbeiding av andre næringsmidler, herunder fremstilling av ferdigmat produkter. Selskapet skal også kunne eie andeler i selskaper innen pro",,2026,974432099,https://data.brreg.no/enhetsregisteret/api/enheter/974432099,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.310; ingen Company-rad funnet i lokal DB ved pre-dedup.
