node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
yara-norge-as,Yara Norge AS,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Norsk mineralgjodselaktor med gjodselsortiment og gjodslingsstrategier tilpasset norsk landbruk.",,2026,984015666,https://www.yara.no/gjoedsel/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer norsk gjodselsortiment; Brreg API validert aktiv AS"
felleskjopet-agri,Felleskjopet Agri SA,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Samvirkebasert innsatsfaktoraktor med gjodsel- og kalksortiment for planteproduksjon.",,2026,911608103,https://fka.felleskjopet.no/planteproduksjon-oversikt/gjodsel-og-kalk/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer gjodselrolle og org.nr.; eksisterende Actor/Company berikes"
felleskjopet-rogaland-agder,Felleskjopet Rogaland Agder SA,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Regional samvirkebedrift som produserer og selger kraftfor, gjodsel og savarer til landbruket.",,2026,915442552,https://www.fkra.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer gjodselrolle; Brreg API validert aktiv SA; eksisterende Actor/Company berikes"
norgesfor-as,Norgesfor AS,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Kjede og sammenslutning av lokale bedrifter som tilbyr sakorn, gjodsel, plantevern og andre driftsmidler til bonden.",,2026,975871096,https://www.norgesfor.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer gjodsel/driftsmiddelrolle og org.nr.; eksisterende Actor/Company berikes"
fiskaa-molle-as,Fiskaa Molle AS,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Molle- og plantekulturaktor som tilbyr mineralgjodsel, kalk og tilpassede gjodsellogistikk-losninger.",,2026,975856844,https://www.fiska.no/kontakt/fiskaa-moelle-fiskaa/plantekultur,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer gjodsel- og kalktilbud; Brreg API validert aktiv AS; eksisterende Actor/Company berikes"
strand-unikorn-as,Strand Unikorn AS,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Norgesfor-bedrift som tilbyr kraftfor, sakorn, gjodsel, plantevern og driftsmidler til landbruket.",,2026,916329717,https://www.strandunikorn.no/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer gjodsel/driftsmiddelrolle; Brreg API validert aktiv AS; eksisterende Actor/Company berikes"
log-as,LOG AS,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Leverandor til yrkesdyrking og hagesenter med bredt sortiment av vannloselig, granulert, flytende og okologisk gjodsel.",,2026,983473997,https://www.log.no/produktkategori/drift/drift-gjpro/,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer proffgjodselrolle og org.nr.; eksisterende Actor berikes"
norgro-as,NORGRO AS,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Yrkesdyrkerleverandor for veksthus og friland med konvensjonell og okologisk gjodsel, kalk, jordforbedringsmidler og biostimulanter.",,2026,960117883,https://www.norgro.no/gjodsel-biostimulanter-og-kalk-1,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer gjodsel/jordforbedringsrolle; Brreg API validert aktiv AS; eksisterende Actor berikes"
gronn-gjodsel-as,Gronn Gjodsel AS,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Norsk produsent og selger av organisk gjodsel med produkter for okologisk og konvensjonell planteproduksjon.",,2026,995194252,https://www.gronngjodsel.no/personvernerklaering/,primary,machine_verified,hoy,2026-06-26,"Egen side oppgir org.nr. og at selskapet produserer og selger organisk gjodsel; Brreg API validert aktiv AS"
gronn-vekst-as,Gronn Vekst AS,organisasjon,innsatsfaktorer,gjodsel-jordforbedring,NO,"Jord- og kompostaktor som videreforedler organiske avfallsressurser til jordproduksjon, jordforbedring og gjodsel-/kompostprodukter.",,2026,981711033,https://www.gronnvekst.no/om-oss,primary,machine_verified,hoy,2026-06-26,"Egen side dokumenterer organisk ressurs- og jordforbedringsrolle; Brreg API validert aktiv AS; eksisterende Actor berikes"
