node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
coop-norge-sa,COOP NORGE SA,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver COOP NORGE SA Engroshandel med bredt utvalg av nærings- og nytelsesmidler 1. Å forsyne samvirkelagene med gode og hensikts- messige varer og tjenester til konkurransedyktige priser til beste for samvirkelagenes medlemmer.,,2026,936560288,https://data.brreg.no/enhetsregisteret/api/enheter/936560288,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør coop-norge berikes med grossist-distributor-registrering.
rema-distribusjon-norge-as,REMA DISTRIBUSJON NORGE AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver REMA DISTRIBUSJON NORGE AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Forestå logistikk og distribusjon av varer innen et bredt utvalg av nærings- og nytelsesmidler og annen virksomhet beslektet med denn.,,2026,894759372,https://data.brreg.no/enhetsregisteret/api/enheter/894759372,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør rema-distribusjon-norge-as berikes med grossist-distributor-registrering.
asko-vest-as,ASKO VEST AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver ASKO VEST AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Handel og agentur, samt hva dermed står i forbindelse. Gjennom erverv av aksjer eller andeler på annen måte kan selskapet gjøre seg interessert i a.",,2026,979487916,https://data.brreg.no/enhetsregisteret/api/enheter/979487916,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør asko-vest-as berikes med grossist-distributor-registrering.
asko-oslofjord-as,ASKO OSLOFJORD AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver ASKO OSLOFJORD AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Handelsvirksomhet.,,2026,930622974,https://data.brreg.no/enhetsregisteret/api/enheter/930622974,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør asko-oslofjord-as berikes med grossist-distributor-registrering.
asko-oslo-as,ASKO OSLO AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver ASKO OSLO AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Forretningsvirksomhet med hovedvekt på strømlinjeforming av engros- og detaljfunksjonen samt relevant produksjonsvirksomhet med sikte på å bedre ko.,,2026,982081998,https://data.brreg.no/enhetsregisteret/api/enheter/982081998,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup.
asko-midt-norge-as,ASKO MIDT-NORGE AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver ASKO MIDT-NORGE AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Engrosvirksomhet innen dagligvare, service og storhusholdning.",,2026,979334109,https://data.brreg.no/enhetsregisteret/api/enheter/979334109,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør asko-midt-norge-as berikes med grossist-distributor-registrering.
asko-sentrallager-og-transport-as,ASKO SENTRALLAGER OG TRANSPORT AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver ASKO SENTRALLAGER OG TRANSPORT AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Engroshandel med bredt utvalg av nærings- og nytelsesmidler. Godstransport på vei.,,2026,992684666,https://data.brreg.no/enhetsregisteret/api/enheter/992684666,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør asko-sentrallager-og-transport-as berikes med grossist-distributor-registrering.
asko-rogaland-as,ASKO ROGALAND AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver ASKO ROGALAND AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Handel og hva dermed står i forbindelse. Utleie av fast eiendom.,,2026,923622845,https://data.brreg.no/enhetsregisteret/api/enheter/923622845,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør asko-rogaland-as berikes med grossist-distributor-registrering.
asko-hedmark-as,ASKO HEDMARK AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver ASKO HEDMARK AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Handel og hva dermed står i forbindelse, samt deltakelse i andre selskaper.",,2026,918710507,https://data.brreg.no/enhetsregisteret/api/enheter/918710507,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør asko-hedmark-as berikes med grossist-distributor-registrering.
asko-agder-as,ASKO AGDER AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver ASKO AGDER AS Engroshandel med bredt utvalg av nærings- og nytelsesmidler Handel og hva dermed står i forbindelse.,,2026,913117883,https://data.brreg.no/enhetsregisteret/api/enheter/913117883,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på NACE 46.390 etter dedupe mot 20 eksisterende grossist-distributor-registreringer. Primær NACE er 46.390.  Eksisterende aktør asko-agder-as berikes med grossist-distributor-registrering.
