node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
eurosupply-as,EUROSUPPLY AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver bredt utvalg av nærings- og nytelsesmiddel og engros/storhusholdningsvarer.",,2026,882231372,https://data.brreg.no/enhetsregisteret/api/enheter/882231372,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.390. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup."
servicenord-engros-as,SERVICENORD ENGROS AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver engroshandel med bredt utvalg av nærings- og nytelsesmidler.",,2026,939003983,https://data.brreg.no/enhetsregisteret/api/enheter/939003983,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.390. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup."
united-bakeries-norway-as,UNITED BAKERIES NORWAY AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver import og markedsføring av dagligvarer og alkoholholdig drikke.",,2026,911728850,https://data.brreg.no/enhetsregisteret/api/enheter/911728850,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.390. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup."
reitan-retail-as,REITAN RETAIL AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver nordisk/baltisk retailselskap med virksomhet innen dagligvare, servicehandel og mobilitet.",,2026,914526647,https://data.brreg.no/enhetsregisteret/api/enheter/914526647,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.390. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup. Raden er satt til middels confidence og review-flagget fordi registerfeltet peker mot konsern-/retailledd, ikke nødvendigvis selvstendig operativ matgrossistrolle."
makestad-engros-as,MÅKESTAD ENGROS AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver handel med næringsmidler.",,2026,981521935,https://data.brreg.no/enhetsregisteret/api/enheter/981521935,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.390. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup."
forsyn-troye-as,FÔRSYN TROYE AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.380 (Engroshandel med fisk, skalldyr og bløtdyr). Registertekst beskriver handel, import og agenturvirksomhet.",,2026,941945554,https://data.brreg.no/enhetsregisteret/api/enheter/941945554,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.380. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup. Raden er satt til middels confidence og review-flagget fordi registerfeltet kan peke mot agentur-/handelrolle, ikke nødvendigvis bred matgrossistrolle."
conaxess-trade-norway-as,CONAXESS TRADE NORWAY AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.360 (Engroshandel med sukker, sjokolade og sukkervarer). Registertekst beskriver handels- og agenturvirksomhet, inkludert import og eksport.",,2026,915191096,https://data.brreg.no/enhetsregisteret/api/enheter/915191096,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.360. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup. Raden er satt til middels confidence og review-flagget fordi registerfeltet kan peke mot merkevare-/agentur-/importledd, ikke nødvendigvis bred matgrossistrolle."
arne-sjule-as,ARNE SJULE AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver engrosvirksomhet med dagligvarer.",,2026,913450566,https://data.brreg.no/enhetsregisteret/api/enheter/913450566,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.390. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup."
asian-food-import-as,ASIAN FOOD IMPORT AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver butikkhandel med dagligvarer, import, kafeteria og restaurant.",,2026,987921994,https://data.brreg.no/enhetsregisteret/api/enheter/987921994,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.390. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup. Raden er satt til middels confidence og review-flagget fordi registerfeltet også peker mot butikk-/serveringsledd, ikke bare grossistrolle."
matcompaniet-as,MATCOMPANIET AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.390 (Engroshandel med bredt utvalg av nærings- og nytelsesmidler). Registertekst beskriver import, salg og lagring av mat og forbruksvarer.",,2026,984012187,https://data.brreg.no/enhetsregisteret/api/enheter/984012187,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; employee-sortert Brreg-slice på primære matgrossist-NACE-koder etter dedupe mot 60 eksisterende/prior grossist-distributor-registreringer. Primær NACE er 46.390. Ingen eksisterende Actor/Company-rad funnet i lokal DB ved pre-dedup."
