node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
a-nilsson-og-co-as,A NILSSON & CO AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Handel. Handel.,,2026,914653177,https://data.brreg.no/enhetsregisteret/api/enheter/914653177,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup.
agder-baer-og-gront-as,AGDER BÆR OG GRØNT AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Engroshandel med frukt og grønnsaker. Formidling og handel av grøntprodukter samt beslektede produkter og tjenester samt deltakelse i andre selskaper med beslektet formål og alt som herved står i forbindelse, herunder også næringsutvikling.",,2026,918352996,https://data.brreg.no/enhetsregisteret/api/enheter/918352996,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
aimee-food-norge-as,AIMEE FOOD NORGE AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Salg av ferskproduserte spirer og andre matvareprodukter Salg av spirer samt det som naturlig står i forbindelse med dette.,,2026,920120709,https://data.brreg.no/enhetsregisteret/api/enheter/920120709,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
al-fajr-as,AL-FAJR AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Import og engrossalg av matvarer, grønnsaker og frukt, samt beslektet virksomhet og deltagelse i andre selskaper med liknende for formål. Import og engrossalg av matvarer, grønnsaker og frukt, samt beslektet virksomhet og deltagelse i andre selskaper med liknende for formål.",,2026,915550851,https://data.brreg.no/enhetsregisteret/api/enheter/915550851,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
andelshagebruket-roed-pa-jeloy-sa,ANDELSHAGEBRUKET RØED PÅ JELØY SA,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Andelslandbruk (CSA = Community Supported Agriculture) - en type organisering mellom forbruker og produsent av økologisk dyrket mat, der man i fellesskap blir enige om produksjon og budsjett for et år om gangen. Å fremme andelshavernes interesser gjennom deres deltakelse i produksjonsvirksomheten av og utbytte fra ARJs",,2026,917218994,https://data.brreg.no/enhetsregisteret/api/enheter/917218994,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
augusta-arnesen-as,AUGUSTA ARNESEN AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Engroshandel frukt, grønt, meieriprodukter, juice og smoothie. Godstransport på vei. Handel med og investering i fast eiendom, verdipapirer og andre formuesobjekter, herunder deltakelse i andre selskaper med lignende virksomhet.",,2026,896127012,https://data.brreg.no/enhetsregisteret/api/enheter/896127012,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
avrasya-import-ans,AVRASYA IMPORT ANS,organisasjon,distribusjon-grossist,grossist-distributor,NO,Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Import av diverse varer samt engros salg av diverse varer og annen virksomhet som hører sammen med dette. Import av diverse varer samt engros salg av diverse varer og annen virksomhet som hører sammen med dette.,,2026,965370773,https://data.brreg.no/enhetsregisteret/api/enheter/965370773,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
b-m-larsen-as,B M LARSEN AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Handel, import og eksport, herunder agentur- virksomhet, samt produksjon, under dette også deltagelse i andre foretagender med samme formål eller til fremme av formålet. Handel, import og eksport, herunder agentur- virksomhet, samt produksjon, under dette også deltagelse i andre foretagender med samme formål eller til ",,2026,913760956,https://data.brreg.no/enhetsregisteret/api/enheter/913760956,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
bakken-as,BAKKEN AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Handel, engrosvirksomhet og det som naturlig hører inn under slik virksomhet. Det skal være anledning til å delta i andre selskaper. Direkte eller gjennom datterselskaper - å investere i fast eiendom, aksjer, og andre verdipapirer, samt annen virksomhet som står i forbindelse med dette.",,2026,951319910,https://data.brreg.no/enhetsregisteret/api/enheter/951319910,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
bama-dagligvare-as,BAMA DAGLIGVARE AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Handel med og investering i fast eiendom, verdipapirer og andre formuesobjekter. Selskapets virksomhet er handel med og investering i fast eiendom, verdipapirer og andre formuesobjekter, herunder deltakelse i andre selskaper med lignende virksomhet.",,2026,995518015,https://data.brreg.no/enhetsregisteret/api/enheter/995518015,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
bama-ferske-drikker-as,BAMA FERSKE DRIKKER AS,organisasjon,distribusjon-grossist,grossist-distributor,NO,"Brreg-registrert grossist-/distribusjonsaktor med NACE 46.310 (Engroshandel med frukt og grønnsaker). Handel og agenturvirksomhet innen frukt og grønnsaker. Handel og agenturvirksomhet og annen virksomhet i forbindelse med dette, herunder deltagelse i andre selskaper og virksomheter med tilsvarende formål.",,2026,975984141,https://data.brreg.no/enhetsregisteret/api/enheter/975984141,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 46.310; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll av operativ grossistrolle/volum fordi registerfelt er tynt eller blandet.
