node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
norgesgruppen-asa,NorgesGruppen ASA,dagligvarekonsern,handel-dagligvare,dagligvarekjede,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (dagligvarekjede).,,2026,819731322,https://data.brreg.no/enhetsregisteret/api/enheter/819731322,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
meny-as,MENY AS,dagligvarekjede,handel-dagligvare,dagligvarekjede,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (dagligvarekjede).,,2026,977066727,https://data.brreg.no/enhetsregisteret/api/enheter/977066727,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
kiwi-norge-as,Kiwi Norge AS,dagligvarekjede,handel-dagligvare,dagligvarekjede,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (dagligvarekjede).,,2026,975959171,https://data.brreg.no/enhetsregisteret/api/enheter/975959171,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
rema-1000-norge-as,REMA 1000 Norge AS,dagligvarekjede,handel-dagligvare,dagligvarekjede,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (dagligvarekjede).,,2026,982254604,https://data.brreg.no/enhetsregisteret/api/enheter/982254604,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
coop-norge-sa,Coop Norge SA,dagligvarekonsern,handel-dagligvare,dagligvarekjede,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (dagligvarekjede).,,2026,936560288,https://data.brreg.no/enhetsregisteret/api/enheter/936560288,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
norsk-butikkdrift-as,Norsk Butikkdrift AS,dagligvarekjede,handel-dagligvare,dagligvarekjede,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (dagligvarekjede).,,2026,931186744,https://data.brreg.no/enhetsregisteret/api/enheter/931186744,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
oda-norway-as,Oda Norway AS,direktesalg-plattform,handel-dagligvare,direktesalg-plattform,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (direktesalg-plattform).,,2026,912262510,https://data.brreg.no/enhetsregisteret/api/enheter/912262510,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
oda,Oda,direktesalg-plattform,handel-dagligvare,direktesalg-plattform,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (direktesalg-plattform).,,2026,932256134,https://data.brreg.no/enhetsregisteret/api/enheter/932256134,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
too-good-to-go-norge-as,Too Good To Go Norge AS,direktesalg-plattform,handel-dagligvare,direktesalg-plattform,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (direktesalg-plattform).,,2026,917203261,https://data.brreg.no/enhetsregisteret/api/enheter/917203261,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
deli-de-luca-norge-as,Deli de Luca Norge AS,spesialhandel,handel-dagligvare,spesialhandel-delikatesse,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (spesialhandel-delikatesse).,,2026,985402779,https://data.brreg.no/enhetsregisteret/api/enheter/985402779,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
holdbart-as,Holdbart AS,spesialhandel,handel-dagligvare,spesialhandel-delikatesse,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (spesialhandel-delikatesse).,,2026,815664582,https://data.brreg.no/enhetsregisteret/api/enheter/815664582,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
storcash-norge-as,Storcash Norge AS,spesialhandel,handel-dagligvare,spesialhandel-delikatesse,NO,Eksisterende konsern-/handelsnode mappet inn i MVK handel-dagligvare (spesialhandel-delikatesse).,,2026,930258008,https://data.brreg.no/enhetsregisteret/api/enheter/930258008,A,machine_verified,hoy,2026-07-03,R14 C1 wire-in fra eksisterende konsern-/Brreg-data; ikke ekstern claim.
