node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
gutta-pa-haugen-as,GUTTA PÅ HAUGEN AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.110 (Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler).,,2026,995232227,https://data.brreg.no/enhetsregisteret/api/enheter/995232227,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.110. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
maschmanns-as,MASCHMANNS AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.110 (Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler).,,2026,997549910,https://data.brreg.no/enhetsregisteret/api/enheter/997549910,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.110. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
fenaknoken-as,FENAKNOKEN AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.220 (Detaljhandel med kjøtt og kjøttvarer).,,2026,991487131,https://data.brreg.no/enhetsregisteret/api/enheter/991487131,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.220. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
fromagerie-as,FROMAGERIE AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.270 (Detaljhandel med nærings- og nytelsesmidler ellers).,,2026,989591673,https://data.brreg.no/enhetsregisteret/api/enheter/989591673,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.270. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
smak-av-italia-as,SMAK AV ITALIA AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.270 (Detaljhandel med nærings- og nytelsesmidler ellers).,,2026,994465406,https://data.brreg.no/enhetsregisteret/api/enheter/994465406,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.270. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
georg-a-nilsen-as,GEORG A. NILSEN AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,"Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.230 (Detaljhandel med fisk, skalldyr og bløtdyr).",,2026,833786792,https://data.brreg.no/enhetsregisteret/api/enheter/833786792,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.230. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
rotter-st-hanshaugen-as,RØTTER ST. HANSHAUGEN AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.270 (Detaljhandel med nærings- og nytelsesmidler ellers).,,2026,990906025,https://data.brreg.no/enhetsregisteret/api/enheter/990906025,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.270. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
mathallen-tromso-as,MATHALLEN TROMSØ AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.110 (Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler).,,2026,955423674,https://data.brreg.no/enhetsregisteret/api/enheter/955423674,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.110. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
annis-oslobukta-as,ANNIS OSLOBUKTA AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.270 (Detaljhandel med nærings- og nytelsesmidler ellers).,,2026,925828211,https://data.brreg.no/enhetsregisteret/api/enheter/925828211,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.270. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
matkrokn-delikatesse-catering-as,MATKROK`N DELIKATESSE & CATERING AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.110 (Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler).,,2026,985019576,https://data.brreg.no/enhetsregisteret/api/enheter/985019576,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.110. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
bislett-delikatesse-as,BISLETT DELIKATESSE AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.110 (Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler).,,2026,930240206,https://data.brreg.no/enhetsregisteret/api/enheter/930240206,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.110. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
drobak-delikatesse-as,DRØBAK DELIKATESSE AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.110 (Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler).,,2026,930980358,https://data.brreg.no/enhetsregisteret/api/enheter/930980358,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.110. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
spansk-delikatesse-ans,SPANSK DELIKATESSE ANS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.270 (Detaljhandel med nærings- og nytelsesmidler ellers).,,2026,982310296,https://data.brreg.no/enhetsregisteret/api/enheter/982310296,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form ANS; NACE 47.270. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
oles-fiskebutikk-as,OLES FISKEBUTIKK AS,organisasjon,handel-dagligvare,spesialhandel-delikatesse,NO,"Brreg-registrert aktor i handel-dagligvare/spesialhandel-delikatesse med 47.230 (Detaljhandel med fisk, skalldyr og bløtdyr).",,2026,934864425,https://data.brreg.no/enhetsregisteret/api/enheter/934864425,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; org.form AS; NACE 47.230. Spesialhandel-/delikatesserolle; kontroller faktisk matsortiment, butikkdrift og kjedeuavhengighet foer hard claim-lock."
