node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
mowi-asa,MOWI ASA,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert stor havbruksaktor i primaerproduksjon/havbruk med NACE 03.211, 10.202 og 03.222. Registertekst beskriver produksjon, foredling, salg og distribusjon av sjomat og produkter brukt i sjomatproduksjon.",,2026,964118191,https://data.brreg.no/enhetsregisteret/api/enheter/964118191,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 41 lokaliteter og 82 aktive forbindelser for org.nr. 964118191."
salmar-farming-as,SALMAR FARMING AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert stor havbruksaktor i primaerproduksjon/havbruk med NACE 03.211, 03.300 og 03.222. Registertekst beskriver oppdrett av matfisk og tilgrensende virksomheter.",,2026,966840528,https://data.brreg.no/enhetsregisteret/api/enheter/966840528,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 31 lokaliteter og 52 aktive forbindelser for org.nr. 966840528."
cermaq-norway-as,CERMAQ NORWAY AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert stor havbruksaktor i primaerproduksjon/havbruk med NACE 03.211, 10.202 og 03.222. Registertekst beskriver havbrukstjenester, produksjon av smolt, slakteri- og videreforedlingsvirksomhet.",,2026,961922976,https://data.brreg.no/enhetsregisteret/api/enheter/961922976,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 7 lokaliteter og 11 aktive forbindelser for org.nr. 961922976."
leroy-midt-as,LERØY MIDT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert stor havbruksaktor i primaerproduksjon/havbruk med NACE 03.211, 10.202 og 03.222. Registertekst beskriver oppdrett og foredling av fisk samt tilhorende aktiviteter.",,2026,985848718,https://data.brreg.no/enhetsregisteret/api/enheter/985848718,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 29 lokaliteter og 33 aktive forbindelser for org.nr. 985848718."
nova-sea-as,NOVA SEA AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211 og 10.203. Registertekst beskriver deltakelse i selskaper tilknyttet havbruk og formål om å drive havbruksvirksomhet.",,2026,961056268,https://data.brreg.no/enhetsregisteret/api/enheter/961056268,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 3 lokaliteter og 10 aktive forbindelser for org.nr. 961056268."
leroy-aurora-as,LERØY AURORA AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert stor havbruksaktor i primaerproduksjon/havbruk med NACE 03.211, 10.202 og 03.222. Registertekst beskriver produksjon og salg av sjomat og eierandeler i naerliggende virksomhet.",,2026,985940460,https://data.brreg.no/enhetsregisteret/api/enheter/985940460,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 11 lokaliteter og 13 aktive forbindelser for org.nr. 985940460."
leroy-seafood-group-asa,LERØY SEAFOOD GROUP ASA,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert sjomatkonsern med NACE 03.211 og 03.221. Registertekst beskriver fiskeri, havbruk, foredling, salg og distribusjon innen sjomatnaeringen, direkte eller gjennom deltakelse i andre selskaper.",,2026,975350940,https://data.brreg.no/enhetsregisteret/api/enheter/975350940,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 404/ingen lokaliteter for org.nr. 975350940; rad flagges som konsern-/parent-ledd."
nordlaks-oppdrett-as,NORDLAKS OPPDRETT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver fiskeoppdrett og handel samt deltakelse i selskaper med lignende virksomhet.",,2026,955750802,https://data.brreg.no/enhetsregisteret/api/enheter/955750802,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 1 lokalitet og 4 aktive forbindelser for org.nr. 955750802."
sjotroll-havbruk-as,SJØTROLL HAVBRUK AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211, 03.222 og 03.110. Registertekst beskriver produksjon og omsetning av augerogn, settefisk, matfisk og smolt.",,2026,929363833,https://data.brreg.no/enhetsregisteret/api/enheter/929363833,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 5 lokaliteter og 13 aktive forbindelser for org.nr. 929363833."
leroy-vest-as,LERØY VEST AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211, 03.212 og 10.201. Registertekst beskriver oppdrett og produksjon av fisk samt deltakelse i andre selskaper.",,2026,886813082,https://data.brreg.no/enhetsregisteret/api/enheter/886813082,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 9 lokaliteter og 23 aktive forbindelser for org.nr. 886813082."
mowi-markets-norway-as,MOWI MARKETS NORWAY AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert Mowi-selskap med NACE 03.211 og 10.410. Registertekst beskriver kjoep, salg, distribusjon, logistikk og produksjon av sjomatprodukter.",,2026,916146337,https://data.brreg.no/enhetsregisteret/api/enheter/916146337,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 404/ingen lokaliteter for org.nr. 916146337; rad flagges for operativ havbruksrolle versus marked-/distribusjonsledd."
grieg-seafood-rogaland-as,GRIEG SEAFOOD ROGALAND AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211, 10.203 og 03.222. Registertekst beskriver fiskeoppdrett, produksjon og salg av sjomat og rognproduksjon.",,2026,838065392,https://data.brreg.no/enhetsregisteret/api/enheter/838065392,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 11 lokaliteter og 26 aktive forbindelser for org.nr. 838065392."
masoval-drift-as,MÅSØVAL DRIFT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett av fisk og tilknyttet virksomhet, inkludert deltakelse i andre selskap.",,2026,935509920,https://data.brreg.no/enhetsregisteret/api/enheter/935509920,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 404/ingen lokaliteter for org.nr. 935509920; rad flagges for selskapsstruktur-/tillatelsesreview."
ode-as,ODE AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert akvakulturaktor med NACE 03.212 og 03.211. Registertekst beskriver industriell oppdrett av torsk og landbasert oppdrett av settetorsk.",,2026,925795488,https://data.brreg.no/enhetsregisteret/api/enheter/925795488,registry_snapshot,machine_verified,hoy,2026-07-01,"Brreg aktiv enhet validert 2026-07-01; sortert NACE 03.211-registerslice etter ansatte. Fiskeridirektoratet pub-aqua sites-by-entity-nr ga 13 lokaliteter og 58 aktive forbindelser for org.nr. 925795488."
