node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
havlandet-marin-yngel-as,HAVLANDET MARIN YNGEL AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver drift av anlegg for oppdrett av fisk.",,2026,982732727,https://data.brreg.no/enhetsregisteret/api/enheter/982732727,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 1 lokalitet og 1 aktiv forbindelse for org.nr. 982732727."
eide-family-as,EIDE FAMILY AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver eie aksjer i sjømatselskaper samt å yte tjenester til selskaper i samme. Relevante aktiviteter vil være hovedkontortjenester akvakultur og akvakulturproduksjon.",,2026,930739758,https://data.brreg.no/enhetsregisteret/api/enheter/930739758,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 0 lokalitetstreff for org.nr. 930739758; raden er satt til middels confidence og review-flagget for operativ rolle/service-/drifts-/konsernledd."
kobbevik-og-furuholmen-oppdrett-as,KOBBEVIK OG FURUHOLMEN OPPDRETT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver klekking og oppdrett av laks og ørret, kjøp og salg av fisk og yngel, investering, produksjon og videreforedling.",,2026,947607855,https://data.brreg.no/enhetsregisteret/api/enheter/947607855,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 15 lokaliteter og 15 aktive forbindelser for org.nr. 947607855."
nordic-kingfish-fredrikstad-as,NORDIC KINGFISH FREDRIKSTAD AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver landbasert fiskeoppdrett.",,2026,913235967,https://data.brreg.no/enhetsregisteret/api/enheter/913235967,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 1 lokalitet og 1 aktiv forbindelse for org.nr. 913235967."
salmon-evolution-asa,SALMON EVOLUTION ASA,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett av fisk på land samt investering og deltakelse i tilknyttet virksomhet.",,2026,925344877,https://data.brreg.no/enhetsregisteret/api/enheter/925344877,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 0 lokalitetstreff for org.nr. 925344877; raden er satt til middels confidence og review-flagget for operativ rolle/service-/drifts-/konsernledd."
seloy-sjofarm-as,SELØY SJØFARM AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett og salg av matfisk.",,2026,961288983,https://data.brreg.no/enhetsregisteret/api/enheter/961288983,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 8 lokaliteter og 8 aktive forbindelser for org.nr. 961288983."
blom-settefisk-as,BLOM SETTEFISK AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver produksjon av settefisk.",,2026,936100112,https://data.brreg.no/enhetsregisteret/api/enheter/936100112,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 3 lokaliteter og 3 aktive forbindelser for org.nr. 936100112."
varde-fiskeoppdrett-as,VARDE FISKEOPPDRETT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver drift av fiskeoppdrett.",,2026,923187030,https://data.brreg.no/enhetsregisteret/api/enheter/923187030,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 5 lokaliteter og 5 aktive forbindelser for org.nr. 923187030."
fylkesnes-fisk-as,FYLKESNES FISK AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett og salg av fisk.",,2026,914380553,https://data.brreg.no/enhetsregisteret/api/enheter/914380553,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 16 lokaliteter og 16 aktive forbindelser for org.nr. 914380553."
gigante-salmon-rodoy-as,GIGANTE SALMON RØDØY AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver landbasert oppdrett av laks.",,2026,922699453,https://data.brreg.no/enhetsregisteret/api/enheter/922699453,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 1 lokalitet og 1 aktiv forbindelse for org.nr. 922699453."
tomma-laks-drift-as,TOMMA LAKS DRIFT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver drift og service tilknyttet oppdrettsvirksomhet.",,2026,934289749,https://data.brreg.no/enhetsregisteret/api/enheter/934289749,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 0 lokalitetstreff for org.nr. 934289749; raden er satt til middels confidence og review-flagget for operativ rolle/service-/drifts-/konsernledd."
onarheim-bruk-as,ONARHEIM BRUK AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett og salg av fisk og deltakelse i tilknyttet virksomhet.",,2026,992259418,https://data.brreg.no/enhetsregisteret/api/enheter/992259418,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 3 lokaliteter og 3 aktive forbindelser for org.nr. 992259418."
thermo-service-as,THERMO SERVICE AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver tjenester tilknyttet akvakultur.",,2026,915505198,https://data.brreg.no/enhetsregisteret/api/enheter/915505198,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 0 lokalitetstreff for org.nr. 915505198; raden er satt til middels confidence og review-flagget for operativ rolle/service-/drifts-/konsernledd."
prophylaxia-as,PROPHYLAXIA AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver produksjon og oppdrett av rensefisk.",,2026,994829750,https://data.brreg.no/enhetsregisteret/api/enheter/994829750,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 6 lokaliteter og 6 aktive forbindelser for org.nr. 994829750."
vega-sjofarm-drift-as,VEGA SJØFARM DRIFT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver drift av oppdrettsanlegg.",,2026,934649389,https://data.brreg.no/enhetsregisteret/api/enheter/934649389,registry_snapshot,machine_verified,middels,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 0 lokalitetstreff for org.nr. 934649389; raden er satt til middels confidence og review-flagget for operativ rolle/service-/drifts-/konsernledd."
erviks-laks-og-orret-as,ERVIKS LAKS OG ØRRET AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett og salg av laks og ørret.",,2026,924895004,https://data.brreg.no/enhetsregisteret/api/enheter/924895004,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 4 lokaliteter og 4 aktive forbindelser for org.nr. 924895004."
wenberg-fiskeoppdrett-as,WENBERG FISKEOPPDRETT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver fiskeoppdrett og salg av fisk.",,2026,937504446,https://data.brreg.no/enhetsregisteret/api/enheter/937504446,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 11 lokaliteter og 11 aktive forbindelser for org.nr. 937504446."
nordland-akva-as,NORDLAND AKVA AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver fiskeoppdrett og akvakultur.",,2026,989713264,https://data.brreg.no/enhetsregisteret/api/enheter/989713264,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 1 lokalitet og 1 aktiv forbindelse for org.nr. 989713264."
sjurelv-fiskeoppdrett-as,SJURELV FISKEOPPDRETT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett og salg av fisk.",,2026,921601123,https://data.brreg.no/enhetsregisteret/api/enheter/921601123,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 3 lokaliteter og 3 aktive forbindelser for org.nr. 921601123."
sulefisk-as,SULEFISK AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett og salg av fisk.",,2026,999638872,https://data.brreg.no/enhetsregisteret/api/enheter/999638872,registry_snapshot,machine_verified,hoy,2026-07-02,"Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 80 eksisterende havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 9 lokaliteter og 9 aktive forbindelser for org.nr. 999638872."
