node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
bue-salmon-as,BUE SALMON AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett av laks i landbasert anlegg.,,2026,916066899,https://data.brreg.no/enhetsregisteret/api/enheter/916066899,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 3 lokaliteter og 3 aktive forbindelser for org.nr. 916066899.
edelfarm-as,EDELFARM AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver produksjon av matfisk, og virksomhet som naturlig kan tilknyttes denne produksjon.",,2026,947038877,https://data.brreg.no/enhetsregisteret/api/enheter/947038877,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 12 lokaliteter og 12 aktive forbindelser for org.nr. 947038877.
norwegian-king-prawns-farming-as,NORWEGIAN KING PRAWNS FARMING AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver produksjon av matfisk og skalldyr i hav- og kystbasert fiskeoppdrett.,,2026,932801132,https://data.brreg.no/enhetsregisteret/api/enheter/932801132,registry_snapshot,machine_verified,middels,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 0 lokaliteter og 0 aktive forbindelser for org.nr. 932801132. Raden er satt til middels confidence og review-flagget for operativ rolle/service-/drifts-/konsernledd.
austevoll-melaks-as,AUSTEVOLL MELAKS AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett av fisk og andre marine arter samt delta i andre selskap med liknende formål. Videre å drive generell næringsvirksomhet.,,2026,959473706,https://data.brreg.no/enhetsregisteret/api/enheter/959473706,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 16 lokaliteter og 16 aktive forbindelser for org.nr. 959473706.
fjelberg-fjordbruk-as,FJELBERG FJORDBRUK AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett av fisk og andre marine organismer samt drive annen virksomhet som naturlig faller inn under dette, herunder opprette samarbeidsavtaler med andre bedrifter og/eller enkeltpersoner for å fremme sitt formål.",,2026,940887836,https://data.brreg.no/enhetsregisteret/api/enheter/940887836,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 21 lokaliteter og 21 aktive forbindelser for org.nr. 940887836.
organic-seafarm-as,ORGANIC SEAFARM AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver produksjon og salg av oppdrettsfisk. Selskapet vil gjennom utvikling av teknologi for oppdrettsnæringen også bli en leverandør av tjenester og produkter til oppdrettsnæringen.,,2026,996198944,https://data.brreg.no/enhetsregisteret/api/enheter/996198944,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 13 lokaliteter og 13 aktive forbindelser for org.nr. 996198944.
fjon-bruk-as,FJON BRUK AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver drift av og investering i oppdrettsverksemd og alt som har samanheng med dette. Selskapet kan også investere i anna industriverksemd, skip, eigedom og aksjar og/eller andelar i selskap med liknande.",,2026,983664490,https://data.brreg.no/enhetsregisteret/api/enheter/983664490,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 1 lokalitet og 1 aktiv forbindelse for org.nr. 983664490.
sandnes-fiskeoppdrett-as,SANDNES FISKEOPPDRETT AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver oppdrett, vidarefordeling og salg av matfisk.",,2026,935415039,https://data.brreg.no/enhetsregisteret/api/enheter/935415039,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 14 lokaliteter og 14 aktive forbindelser for org.nr. 935415039.
stolt-sea-farm-turbot-norway-as,STOLT SEA FARM TURBOT NORWAY AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver havbruksvirksomhet samt deltagelse i annen virksomhet med naturlig tilknytning til denne næring.,,2026,987604700,https://data.brreg.no/enhetsregisteret/api/enheter/987604700,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 1 lokalitet og 1 aktiv forbindelse for org.nr. 987604700.
as-knutshaugfisk,AS KNUTSHAUGFISK,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,Brreg-registrert havbruksaktor i primaerproduksjon/havbruk med NACE 03.211. Registertekst beskriver fiskeoppdrett og annen akuakultur samt virksomhet som hører sammen med det. Videre ved aksjetegning eller på annen måte gjøre seg delaktig i annen virksomhet.,,2026,836881362,https://data.brreg.no/enhetsregisteret/api/enheter/836881362,registry_snapshot,machine_verified,hoy,2026-07-02,Brreg aktiv enhet validert 2026-07-02; sortert NACE 03.211-registerslice etter ansatte etter dedupe mot 100 eksisterende/prior havbruksaktører. Fiskeridirektoratet pub-aqua entities/sites-by-entity-nr ga 6 lokaliteter og 6 aktive forbindelser for org.nr. 836881362.
