node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
a-fish-as,A-FISH AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Holdingselskap Selskapets formål er å drive produksjons-, handels- og tjenesteytende virksomhet, herunder fiskeoppdretts-, rederi- og fiskerivirksomhet, samt hva dermed står i forbindelse, herunder delta i andre foretak som driver tilsvarende virksomhet.",,2026,985856222,https://data.brreg.no/enhetsregisteret/api/enheter/985856222,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll fordi aktivitet ogsaa omtaler investerings-/holdingrolle.
abp-aqua-mongstad-as,ABP AQUA MONGSTAD AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Å utvikle, investere i og drive virksomhet innenfor oppdrett av fisk og skalldyr og alt som naturlig faller sammen med dette, herunder gjennom offentlige tillatelser og konsesjoner drive oppdrettsvirksomhet på land og til vanns, utvikle og prosjektere eiendom og fasiliteter for nevnte formål og alt hver dermed følger m",,2026,928786994,https://data.brreg.no/enhetsregisteret/api/enheter/928786994,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup.
aegir-havbruk-as,AEGIR HAVBRUK AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Havbruk og produksjon av sjømat og hva hertil står i en naturlig forbindelse. Investering i andre selskap. Havbruk og produksjon av sjømat og hva hertil står i en naturlig forbindelse. Investering i andre selskap.",,2026,982949025,https://data.brreg.no/enhetsregisteret/api/enheter/982949025,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup.
african-aquaculture-company-as,AFRICAN AQUACULTURE COMPANY AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Å drive virksomhet innenfor fiskeri og oppdrett av fisk og annen tilhørende virksomhet, herunder investering i andre selskaper og alt som står i forbindelse med de forannevnte virksomheter. Å drive virksomhet innenfor fiskeri og oppdrett av fisk og annen tilhørende virksomhet, herunder investering i andre selskaper og ",,2026,824505772,https://data.brreg.no/enhetsregisteret/api/enheter/824505772,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup.
akvafuture-as,AKVAFUTURE AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Utvikling og uttesting av akvakulturteknologi, salg og utleie av utstyr og tjenester til oppdrettsnæringen, produksjon av akvakulturdyr og hva hermed står i forbindelse, herunder å delta i andre selskaper. Utvikling og uttesting av akvakulturteknologi, salg og utleie av utstyr og tjenester til oppdrettsnæringen, produk",,2026,996482537,https://data.brreg.no/enhetsregisteret/api/enheter/996482537,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup.
akvamarin-as,AKVAMARIN AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Industriell dyrking og foredling av marine mikroalger. Marinbioteknologi samt alt som står i forbindelse med dette.",,2026,917320594,https://data.brreg.no/enhetsregisteret/api/enheter/917320594,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup.
akvanorth-as,AKVANORTH AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur, samt eie aksjer i andre selskap. Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur, eie aksjer i andre selskap.",,2026,929418948,https://data.brreg.no/enhetsregisteret/api/enheter/929418948,registry_snapshot,machine_verified,middels,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup. Flagges for etterkontroll fordi aktivitet ogsaa omtaler investerings-/holdingrolle.
akvanorth-farm-as,AKVANORTH FARM AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur, samt det som står i naturlig forbindelse med dette. Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur.",,2026,929418964,https://data.brreg.no/enhetsregisteret/api/enheter/929418964,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup.
akvanorth-oksfjord-as,AKVANORTH ØKSFJORD AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur, samt det som står i naturlig forbindelse med dette. Produksjon av matfisk, bløtdyr, krepsdyr og pigghuder i hav- og kystbasert akvakultur.",,2026,929418999,https://data.brreg.no/enhetsregisteret/api/enheter/929418999,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup.
akvatech-as,AKVATECH AS,organisasjon,primaerproduksjon,havbruk-akvakultur,NO,"Brreg-registrert aktor i primaerproduksjon/havbruk med NACE 03.211 (Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann). Fiskeoppdrett og kommersialisering av teknologi tilknyttet fiskeoppdrettsanlegg og dertil tilhørende virksomhet. Fiskeoppdrett og kommersialisering av teknologi tilknyttet fiskeoppdrettsanlegg og dertil tilhørende virksomhet.",,2026,996834735,https://data.brreg.no/enhetsregisteret/api/enheter/996834735,registry_snapshot,machine_verified,hoy,2026-06-27,Brreg API validert aktiv enhet 2026-06-27; NACE 03.211; ingen Company-rad funnet i lokal DB ved pre-dedup.
