node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
2-horn-da,2 HORN DA,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.452 (Geitehold). Kjøpe geiter og ha til landskaps pleie.,,2026,936067786,https://data.brreg.no/enhetsregisteret/api/enheter/936067786,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.452. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
67-fromreide-gard,67 FROMREIDE GÅRD,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.451 (Sauehold). Sauehold.,,2026,932472481,https://data.brreg.no/enhetsregisteret/api/enheter/932472481,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.451. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
88-7-teigland-tonelill-mathisen,"88-7 TEIGLAND, TONELILL MATHISEN",organisasjon,primaerproduksjon,husdyr-beite,NO,"Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.451 (Sauehold). Småbruk- husdyrhold: Sauer - spretne pleiarar av kulturlandskap, værlam til slakt, kjøtt til eget bruk og eventuelt sal av saueskinn. Høner. Frøplanter - bytte/sal av forkultiverte planter.",,2026,929816161,https://data.brreg.no/enhetsregisteret/api/enheter/929816161,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.451. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
a-o-gronningsaeter-ans,A & O GRØNNINGSÆTER ANS,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.451 (Sauehold). Jordbruk.,,2026,971506709,https://data.brreg.no/enhetsregisteret/api/enheter/971506709,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.451. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
a-b-urestad-salg-og-montasje,A B URESTAD SALG OG MONTASJE,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.420 (Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon). Oppdrett av storfe. Salg av bygningsmateriell og annet.,,2026,870401442,https://data.brreg.no/enhetsregisteret/api/enheter/870401442,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.420. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
a-e-kristensen,A E KRISTENSEN,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.410 (Melkeproduksjon på storfe og oppdrett av melkekyr). Drive gård med melk og kjøttproduksjon. Små og mellomstore oppdrag som tømrer. Landbruk: avløser på gård.,,2026,815718852,https://data.brreg.no/enhetsregisteret/api/enheter/815718852,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.410. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
a-fosse,A FOSSE,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.451 (Sauehold). Sauehold.,,2026,936232663,https://data.brreg.no/enhetsregisteret/api/enheter/936232663,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.451. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
a-hvammen,A HVAMMEN,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.420 (Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon). Landbruksvirksomhet med storfehold og produksjon av gras og korn.,,2026,924002522,https://data.brreg.no/enhetsregisteret/api/enheter/924002522,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.420. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
a-hagensen-villsau,A. HÅGENSEN VILLSAU,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.451 (Sauehold). Hold av villsau.,,2026,929993853,https://data.brreg.no/enhetsregisteret/api/enheter/929993853,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.451. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
a-ytterhus,A. YTTERHUS,organisasjon,primaerproduksjon,husdyr-beite,NO,"Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.410 (Melkeproduksjon på storfe og oppdrett av melkekyr). Verkstedtjenester, egenproduksjon og salg av ved, snøbrøyting og annet vaktmesterarbeid. Melkeproduksjon og oppfôring av storfe.",,2026,925580066,https://data.brreg.no/enhetsregisteret/api/enheter/925580066,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.410. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
a-o-haugan,A.O. HAUGAN,organisasjon,primaerproduksjon,husdyr-beite,NO,"Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.410 (Melkeproduksjon på storfe og oppdrett av melkekyr). Gårdsdrift, småfehold. Leiekjøring med traktor, slå gress, kjøre kunstgjødsel, salg av rundball og ved. Matproduksjon på sau.",,2026,927947862,https://data.brreg.no/enhetsregisteret/api/enheter/927947862,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.410. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
abc-utleie-v-andersen,ABC UTLEIE V/ANDERSEN,organisasjon,primaerproduksjon,husdyr-beite,NO,Brreg-registrert aktor i primaerproduksjon/husdyr-beite med 01.452 (Geitehold). Geitehold.,,2026,822932312,https://data.brreg.no/enhetsregisteret/api/enheter/822932312,registry_snapshot,machine_verified,middels,2026-07-01,"Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.452. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. NACE dokumenterer husdyrhold, ikke beite-/jordhelsepraksis; kontroller faktisk beiterolle"
