node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
innovasjon-norge,INNOVASJON NORGE,organisasjon,institusjon-finansiering,virkemiddel-ordning,NO,"Brreg-registrert aktor i institusjon-finansiering med 64.920 (Annen kredittgivning). Være statens og fylkeskommunenes virkemiddel for å realisere verdiskapende næringsutvikling i hele landet. Bidra til økt innovasjon i norsk næringsliv. Selskapet vil ha følgende virkemidler: Finansiering, rådgiving og kompetansehevende tiltak, nettverk og infrastruktur og profilering av norsk næringsliv i utlandet.",,2026,986399445,https://data.brreg.no/enhetsregisteret/api/enheter/986399445,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 64.920; juridisk enhet fungerer som forvalter/virkemiddelaktor i ordningscellen.
norges-forskningsrad,NORGES FORSKNINGSRÅD,organisasjon,institusjon-finansiering,virkemiddel-ordning,NO,"Brreg-registrert aktor i institusjon-finansiering med 84.120 (Offentlig administrasjon tilknyttet helsestell, undervisning, kultur og annen sosial virksomhet). Strategisk organ for norsk forskning underlagt kultur-, undervisnings- og forskningsdepartementet (KUF).",,2026,970141669,https://data.brreg.no/enhetsregisteret/api/enheter/970141669,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.120; juridisk enhet fungerer som forvalter/virkemiddelaktor i ordningscellen.
landbruksdirektoratet,LANDBRUKSDIREKTORATET,organisasjon,institusjon-finansiering,virkemiddel-ordning,NO,Brreg-registrert aktor i institusjon-finansiering med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Utøvende og rådgivende forvaltningsorgan underlagt Landbruksdepartementet,,2026,981544315,https://data.brreg.no/enhetsregisteret/api/enheter/981544315,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; juridisk enhet fungerer som forvalter/virkemiddelaktor i ordningscellen.
fiskeri-og-havbruksnaeringens-forskningsfinansiering-as,FISKERI- OG HAVBRUKSNÆRINGENS FORSKNINGSFINANSIERING AS,organisasjon,institusjon-finansiering,virkemiddel-ordning,NO,"Brreg-registrert aktor i institusjon-finansiering med 84.130 (Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked). Forvalte midler innkrevd med hjemmel i lov om avgift til forskning og utvikling i fiskeri- og havbruksnæringen av 7. juli 2000 nr. 68. Selskapets formål er å tildele avgiftsmidlene til forsknings- og utviklingsprosjekter, for å legge til rette for økt verdiskaping, miljøtilpasning, omstilling og nyskaping i fiskeri- og havbruksnæringen. Nærmere retningslinjer for forvaltning av avgiftsmidlene framgår av forskrift om avgift til forskning og utvikling i fiskeri- og havbruksnæringen. Selskapet skal ikke ha erverv til formål, og det skal ikke utbetales utbytte fra selskapet. Eventuelt overskudd fra selskapet skal brukes til forskning og utvikling innenfor det som er selskapets for",,2026,921995121,https://data.brreg.no/enhetsregisteret/api/enheter/921995121,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 84.130; juridisk enhet fungerer som forvalter/virkemiddelaktor i ordningscellen.
bionova,Bionova,ordning,institusjon-finansiering,virkemiddel-ordning,NO,"Offisiell Innovasjon Norge-side for Bionova, satsing paa biooekonomi og klimatiltak for jordbruk, skogbruk og havbruk.",,2026,,https://www.innovasjonnorge.no/artikkel/bionova-tilskudd-til-biookonomi-og-klimatiltak,official_program_page,needs_review,hoy,2026-07-01,"Offisiell URL identifisert via websoek 2026-07-01; direkte CLI-oppslag ga HTTP 403, trolig tilgangs-/botvern for enkelte domener. Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
jordbruksavtalen-2026-2027,Jordbruksavtalen 2026-2027,ordning,institusjon-finansiering,virkemiddel-ordning,NO,"Regjeringens proposisjon om jordbruksavtalen for 2026-2027, med bevilgninger og virkemidler for jordbruket.",,2026,,https://www.regjeringen.no/no/dokumenter/prop.-98-s-20252026/id3162996/,official_program_page,needs_review,hoy,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
skattefunn,SkatteFUNN,ordning,institusjon-finansiering,virkemiddel-ordning,NO,Forskningsraadets rettighetsbaserte skattefradragsordning for FoU-prosjekter i norske bedrifter.,,2026,,https://www.forskningsradet.no/skattefunn/,official_program_page,needs_review,middels,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
miljoteknologiordningen,Miljoteknologiordningen,ordning,institusjon-finansiering,virkemiddel-ordning,NO,"Innovasjon Norge-tilskudd til utvikling, pilotering og demonstrasjon av ny miljoteknologi.",,2026,,https://www.innovasjonnorge.no/tjeneste/tilskudd-til-miljoteknologi,official_program_page,needs_review,middels,2026-07-01,"Offisiell URL identifisert via websoek 2026-07-01; direkte CLI-oppslag ga HTTP 403, trolig tilgangs-/botvern for enkelte domener. Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
tilskudd-til-biookonomiprosjekter,Tilskudd til biookonomiprosjekter,ordning,institusjon-finansiering,virkemiddel-ordning,NO,Innovasjon Norge-tilskudd for utviklingsprosjekter med effekt paa biobaserte verdikjeder og bruk av bioressurser.,,2026,,https://www.innovasjonnorge.no/tjeneste/tilskudd-til-biookonomiprosjekter,official_program_page,needs_review,hoy,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
klimasats,Klimasats,ordning,institusjon-finansiering,virkemiddel-ordning,NO,Miljodirektoratets stoetteordning for lokale klimatiltak og omstilling til lavutslippssamfunnet.,,2026,,https://www.miljodirektoratet.no/ansvarsomrader/klima/for-myndigheter/kutte-utslipp-av-klimagasser/klimasats/,official_program_page,needs_review,middels,2026-07-01,"Direkte HTTP-verifisert 2026-07-01 (HTTP 200). Program-/ordningsnode uten egen juridisk enhet, maa etterkontrolleres mot forvalter/status foer hard claim-lock."
