node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
norges-bondelag,NORGES BONDELAG,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert faglag eller produsentorganisasjon relevant for landbruket med NACE 94.120.,,2026,939678670,https://data.brreg.no/enhetsregisteret/api/enheter/939678670,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
nbs-lokalmat,NORSK BONDE- OG SMÅBRUKARLAG,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert bonde- og småbrukerorganisasjon med NACE 94.110.,,2026,970167943,https://data.brreg.no/enhetsregisteret/api/enheter/970167943,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
norsk-sau-og-geit,NORSK SAU OG GEIT,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert faglag for sau og geit med NACE 94.120.,,2026,970134808,https://data.brreg.no/enhetsregisteret/api/enheter/970134808,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
tyr,TYR,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert husdyrfaglig organisasjon for kjøttfe med NACE 01.620.,,2026,970142223,https://data.brreg.no/enhetsregisteret/api/enheter/970142223,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
geno-sa,GENO SA,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert avls- og produsentorganisasjon for storfe med NACE 01.620.,,2026,970028935,https://data.brreg.no/enhetsregisteret/api/enheter/970028935,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; samvirkerolle flagges for faglagsavgrensning.
norsvin-sa,NORSVIN SA,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert svineavls- og produsentorganisasjon med NACE 94.110.,,2026,956971322,https://data.brreg.no/enhetsregisteret/api/enheter/956971322,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; samvirkerolle flagges for faglagsavgrensning.
norsk-fjorfelag,NORSK FJØRFELAG,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert faglag for fjørfe med NACE 94.120.,,2026,948602539,https://data.brreg.no/enhetsregisteret/api/enheter/948602539,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
norges-birokterlag,NORGES BIRØKTERLAG,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert birøkterorganisasjon med NACE 94.992.,,2026,940469465,https://data.brreg.no/enhetsregisteret/api/enheter/940469465,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
norsk-landbruksradgiving-sa,NORSK LANDBRUKSRÅDGIVING SA,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert rådgivings- og kompetanseorganisasjon for landbruk med NACE 01.610.,,2026,931892126,https://data.brreg.no/enhetsregisteret/api/enheter/931892126,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rådgivingsrolle flagges for faglagsavgrensning.
norges-bygdekvinnelag,NORGES BYGDEKVINNELAG,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert bygde- og matkulturorganisasjon med NACE 94.992.,,2026,940590310,https://data.brreg.no/enhetsregisteret/api/enheter/940590310,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; bred organisasjonsrolle flagges for faglagsavgrensning.
norsk-seterkultur,NORSK SETERKULTUR,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert seterkultur- og landbruksorganisasjon med NACE 91.220.,,2026,879270642,https://data.brreg.no/enhetsregisteret/api/enheter/879270642,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; kulturrolle flagges for faglagsavgrensning.
norsk-gardsost,NORSK GARDSOST,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert produsent- og fagorganisasjon for gardsost med NACE 94.992.,,2026,979603150,https://data.brreg.no/enhetsregisteret/api/enheter/979603150,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
norsk-hjorteavlsforening,NORSK HJORTEAVLSFORENING,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert hjorteavlsforening med NACE 94.120.,,2026,999204635,https://data.brreg.no/enhetsregisteret/api/enheter/999204635,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
norsk-aberdeen-angus,NORSK ABERDEEN ANGUS,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert rase- og produsentforening med NACE 94.992.,,2026,999220673,https://data.brreg.no/enhetsregisteret/api/enheter/999220673,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; nisjerolle flagges for faglagsavgrensning.
norsk-limousin,NORSK LIMOUSIN,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert rase- og produsentforening med NACE 94.992.,,2026,990829179,https://data.brreg.no/enhetsregisteret/api/enheter/990829179,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; nisjerolle flagges for faglagsavgrensning.
norsk-herefordforening,NORSK HEREFORDFORENING,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert rase- og produsentforening med NACE 94.992.,,2026,920828531,https://data.brreg.no/enhetsregisteret/api/enheter/920828531,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; nisjerolle flagges for faglagsavgrensning.
norsk-charolais,NORSK CHAROLAIS,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert rase- og produsentforening med NACE 01.620.,,2026,981556569,https://data.brreg.no/enhetsregisteret/api/enheter/981556569,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; nisjerolle flagges for faglagsavgrensning.
norsk-jersey-sa,NORSK JERSEY SA,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert rase- og produsentsamvirke med NACE 01.620.,,2026,969580950,https://data.brreg.no/enhetsregisteret/api/enheter/969580950,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; nisjerolle flagges for faglagsavgrensning.
norske-landbrukstenester,NORSKE LANDBRUKSTENESTER,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert landbrukstjenesteorganisasjon med NACE 01.620.,,2026,975349330,https://data.brreg.no/enhetsregisteret/api/enheter/975349330,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; tjeneste-/avløserrolle flagges for faglagsavgrensning.
norges-baerdyrkerlag,NORGES BÆRDYRKERLAG,faglag,interesseorg-paraply,faglag-bonde,NO,Brreg-registrert bærdyrkerorganisasjon med NACE 94.120.,,2026,977318017,https://data.brreg.no/enhetsregisteret/api/enheter/977318017,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
