node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
framtiden-i-vare-hender,FRAMTIDEN I VÅRE HENDER,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert miljø- eller forbrukerorganisasjon relevant for matsystemspørsmål med NACE 94.992.,,2026,970221115,https://data.brreg.no/enhetsregisteret/api/enheter/970221115,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; mat-/systemrolle flagges for etterkontroll før hard claim-lock.
norges-naturvernforbund,NORGES NATURVERNFORBUND,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert miljøorganisasjon relevant for matsystemspørsmål med NACE 94.992.,,2026,938418837,https://data.brreg.no/enhetsregisteret/api/enheter/938418837,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; mat-/systemrolle flagges for etterkontroll før hard claim-lock.
stiftelsen-wwf-verdens-naturfond,STIFTELSEN WWF VERDENS NATURFOND,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert natur- og miljøstiftelse relevant for matsystemspørsmål med NACE 94.992.,,2026,952330071,https://data.brreg.no/enhetsregisteret/api/enheter/952330071,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; mat-/systemrolle flagges for etterkontroll før hard claim-lock.
bellona-foundation,MILJØSTIFTELSEN BELLONA,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert miljøstiftelse relevant for matsystemspørsmål med NACE 94.992.,,2026,948778599,https://data.brreg.no/enhetsregisteret/api/enheter/948778599,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; mat-/systemrolle flagges for etterkontroll før hard claim-lock.
zero-emission-resource-organisation,ZERO EMISSION RESOURCE ORGANISATION STI,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert klima- og miljøstiftelse relevant for matsystemspørsmål med NACE 94.992.,,2026,984143028,https://data.brreg.no/enhetsregisteret/api/enheter/984143028,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; mat-/systemrolle flagges for etterkontroll før hard claim-lock.
sabima,SABIMA,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert naturmangfoldorganisasjon relevant for areal og matsystem med NACE 94.992.,,2026,980202062,https://data.brreg.no/enhetsregisteret/api/enheter/980202062,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; mat-/systemrolle flagges for etterkontroll før hard claim-lock.
spire,SPIRE,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert sivilsamfunnsorganisasjon relevant for mat og utvikling med NACE 94.992.,,2026,912159167,https://data.brreg.no/enhetsregisteret/api/enheter/912159167,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; mat-/systemrolle flagges for etterkontroll før hard claim-lock.
greenpeace-norge,GREENPEACE-NORGE,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert miljøorganisasjon relevant for matsystemspørsmål med NACE 94.992.,,2026,955354206,https://data.brreg.no/enhetsregisteret/api/enheter/955354206,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; mat-/systemrolle flagges for etterkontroll før hard claim-lock.
forbrukerradet,FORBRUKERRÅDET,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert offentlig forbrukeraktør relevant for matmarkedet med NACE 84.130.,,2026,871033382,https://data.brreg.no/enhetsregisteret/api/enheter/871033382,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; offentlig rolle flagges for NGO-avgrensning.
forbrukertilsynet,FORBRUKERTILSYNET,organisasjon,interesseorg-paraply,miljo-forbruker-ngo,NO,Brreg-registrert offentlig forbrukertilsyn relevant for matmarkedet med NACE 84.130.,,2026,974761335,https://data.brreg.no/enhetsregisteret/api/enheter/974761335,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; offentlig rolle flagges for NGO-avgrensning.
