node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
nho-mat-og-drikke,NHO MAT OG DRIKKE,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert nærings- eller bransjeorganisasjon relevant for matverdikjeden med NACE 94.110.,,2026,971273127,https://data.brreg.no/enhetsregisteret/api/enheter/971273127,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
sjomat-norge,SJØMAT NORGE,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert nærings- eller bransjeorganisasjon relevant for matverdikjeden med NACE 94.110.,,2026,974461021,https://data.brreg.no/enhetsregisteret/api/enheter/974461021,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
hovedorganisasjonen-virke,HOVEDORGANISASJONEN VIRKE,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert nærings- eller bransjeorganisasjon relevant for matverdikjeden med NACE 94.110.,,2026,970134646,https://data.brreg.no/enhetsregisteret/api/enheter/970134646,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
nho-reiseliv,NHO REISELIV,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert nærings- eller bransjeorganisasjon relevant for matverdikjeden med NACE 94.110.,,2026,977188210,https://data.brreg.no/enhetsregisteret/api/enheter/977188210,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
dagligvareleverandorenes-forening-dlf,DAGLIGVARELEVERANDØRENES FORENING (DLF),organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert nærings- eller bransjeorganisasjon relevant for matverdikjeden med NACE 94.110.,,2026,971435100,https://data.brreg.no/enhetsregisteret/api/enheter/971435100,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
norsk-industri,NORSK INDUSTRI,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert nærings- eller bransjeorganisasjon relevant for matindustrien med NACE 94.110.,,2026,952151266,https://data.brreg.no/enhetsregisteret/api/enheter/952151266,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; bred industrirolle flagges for matavgrensning.
naeringslivets-hovedorganisasjon,NÆRINGSLIVETS HOVEDORGANISASJON,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert hovedorganisasjon med matrelevante landsforeninger og NACE 94.110.,,2026,955600436,https://data.brreg.no/enhetsregisteret/api/enheter/955600436,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; bred hovedorganisasjon flagges for matavgrensning.
nho-logistikk-og-transport,NHO LOGISTIKK OG TRANSPORT,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert yrkes- eller bransjeorganisasjon relevant for matlogistikk med NACE 94.120.,,2026,983054331,https://data.brreg.no/enhetsregisteret/api/enheter/983054331,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; logistikkrolle flagges for matavgrensning.
nho-service-og-handel,NHO SERVICE OG HANDEL,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert handels- og serviceorganisasjon relevant for servering og handel med NACE 94.110.,,2026,971491671,https://data.brreg.no/enhetsregisteret/api/enheter/971491671,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; bred handelsrolle flagges for matavgrensning.
norsk-landbrukssamvirke,NORSK LANDBRUKSSAMVIRKE,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert samvirke- og næringsorganisasjon for landbruket med NACE 94.110.,,2026,970142711,https://data.brreg.no/enhetsregisteret/api/enheter/970142711,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
samvirkene,SAMVIRKENE,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert samvirke- og koordineringsaktør relevant for samvirkeøkonomi med NACE 70.200.,,2026,995165473,https://data.brreg.no/enhetsregisteret/api/enheter/995165473,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; bred samvirkerolle flagges for matavgrensning.
norske-sjomatbedrifters-landsforening,NORSKE SJØMATBEDRIFTERS LANDSFORENING,organisasjon,interesseorg-paraply,naeringsorganisasjon,NO,Brreg-registrert bransjeforening for sjømatbedrifter med NACE 94.120.,,2026,971455020,https://data.brreg.no/enhetsregisteret/api/enheter/971455020,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; rolle og matrelevans flagges for etterkontroll før hard claim-lock.
