node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
a-lively-kitchen-andrea-lively-visu,A LIVELY KITCHEN ANDREA LIVELY VISU,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Driver gårdshage med ferske råvarer, grønnsaker og annen mat til salgs. En seng og frokost for turister. Konsulenttjenester innen mat- og drikkeindustrien.",,2026,924985208,https://data.brreg.no/enhetsregisteret/api/enheter/924985208,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ rolle.
abel-anskar-iversen,ABEL ANSKAR IVERSEN,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Jordbruk.",,2026,969156555,https://data.brreg.no/enhetsregisteret/api/enheter/969156555,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
abiro-bu-pedersen,ABIRO BU-PEDERSEN,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Naturbruk - regenerativ småskala dyrking av frukt, bær, grønnsaker og blomster. Bigård - honningproduksjon.",,2026,933079082,https://data.brreg.no/enhetsregisteret/api/enheter/933079082,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
abrahamsen-potetrad,ABRAHAMSEN POTETRÅD,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker og poteter.",,2026,932604639,https://data.brreg.no/enhetsregisteret/api/enheter/932604639,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
acsne-mikrogartneri,ACSNE MIKROGARTNERI,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking og salg av mikrogrønt. Laging og salg av søtsaker, kaker og bakst. Sanking av ville sopp, salg av sopp i tørket og ferskt form.",,2026,935721547,https://data.brreg.no/enhetsregisteret/api/enheter/935721547,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
adam-curtis,ADAM CURTIS,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker. Tjenester tilknyttet planteproduksjon.",,2026,921241518,https://data.brreg.no/enhetsregisteret/api/enheter/921241518,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
adrian-fosshaug,ADRIAN FOSSHAUG,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker og poteter. Grunnarbeid (graving, drenering, sprengning, planering).",,2026,830732802,https://data.brreg.no/enhetsregisteret/api/enheter/830732802,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
adrian-roed-ostby,ADRIAN RØED ØSTBY,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker og poteter. Hønsehold for eggproduksjon.",,2026,934037626,https://data.brreg.no/enhetsregisteret/api/enheter/934037626,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
agrolink-as,AGROLINK AS,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Leie og drift av jordbruksareal, landbruksentreprenør, kjøp og salg av verdipapirer, kjøp og salg av fast eiendom, konsulentbistand, samt øvrige aktiviteter som naturlig hører inn under dette.",,2026,990046468,https://data.brreg.no/enhetsregisteret/api/enheter/990046468,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ rolle.
agronom-odd-hyllene,AGRONOM ODD HYLLENE,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker og poteter. Utøvende musiker.",,2026,997396367,https://data.brreg.no/enhetsregisteret/api/enheter/997396367,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
agrovin-as,AGROVIN AS,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Maskinsamarbeid i forbindelse med planteproduksjon.",,2026,981887069,https://data.brreg.no/enhetsregisteret/api/enheter/981887069,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
aker-brygge-urban-farm-as,AKER BRYGGE URBAN FARM AS,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Produksjon og salg av microgreens tilhørende tjenester opplysning og opplæring.",,2026,931040294,https://data.brreg.no/enhetsregisteret/api/enheter/931040294,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
akkerhaugen-eiendom-as,AKKERHAUGEN EIENDOM AS,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Gartneridrift, utleie av fast eiendom og alt hva dermed er forbundet.",,2026,859594182,https://data.brreg.no/enhetsregisteret/api/enheter/859594182,registry_snapshot,machine_verified,middels,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug. Aktivitet omtaler holding/investering/utleie/handel; kontroller operativ rolle.
akkerhaugen-gartneri-as,AKKERHAUGEN GARTNERI AS,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Gartnerivirksomhet. Produksjon og salg av egnede vekster i veksthus og annen virksomhet som er forbundet med dette, herunder å delta i andre selskaper med beslektet virksomhet.",,2026,987614722,https://data.brreg.no/enhetsregisteret/api/enheter/987614722,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
albrigtsen-jorddrift,ALBRIGTSEN JORDDRIFT,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Jordubrukesvirksomhet med potetprodukjson, tynning og uttak av skog, vedproduksjon, plukking av bær og sopp.",,2026,920397301,https://data.brreg.no/enhetsregisteret/api/enheter/920397301,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
aleksander-lokland-pettersen,ALEKSANDER LOKLAND PETTERSEN,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Produksjon av selvdyrket chili, chilisauser og chilifrø.",,2026,928087387,https://data.brreg.no/enhetsregisteret/api/enheter/928087387,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
alf-egil-kvammen,ALF EGIL KVAMMEN,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker.",,2026,929731468,https://data.brreg.no/enhetsregisteret/api/enheter/929731468,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
alf-r-larssen,ALF R LARSSEN,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker og poteter.",,2026,969404028,https://data.brreg.no/enhetsregisteret/api/enheter/969404028,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
alice-boersma,ALICE BOERSMA,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Dyrking av grønnsaker og poteter.",,2026,928242633,https://data.brreg.no/enhetsregisteret/api/enheter/928242633,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
alice-nybo-curtis,ALICE NYBØ CURTIS,organisasjon,primaerproduksjon,jordbruk-groent,NO,"Brreg-registrert aktor i primaerproduksjon/jordbruk-groent med 01.130 (Dyrking av grønnsaker, meloner, rot- og knollvekster). Jordbruk: Potetproduksjon og korn. Potetpakkeri.",,2026,926431684,https://data.brreg.no/enhetsregisteret/api/enheter/926431684,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; primær-NACE 01.130. Importer deduper mot lokal Company/Actor ved org.nr. eller slug.
