node_id,name,node_type,domain,subdomain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
annis-mathallen-as,ANNIS MATHALLEN AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Kjøp og salg av matvarer. Kjøp og salg av matvarer og annet som er naturlig i denne forbindelse.,,2026,998547830,https://data.brreg.no/enhetsregisteret/api/enheter/998547830,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
arctic-rein-og-vilt-as,ARCTIC REIN OG VILT AS,organisasjon,foredling-industri,kjott-egg,NO,"Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Viderefordeling og salg av rein og annet vilt. Selskapets formål er, med utgangspunkt i tradisjonell samisk kultur, videreforedle, markedsføre og selge høykvalitetssprodukter av rein og annet vilt, samt hva hermed står i forbindelse.",,2026,912561259,https://data.brreg.no/enhetsregisteret/api/enheter/912561259,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
arne-b-rresen-as,ARNE BØRRESEN AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Produksjon av kjøttvarer. Produksjon og foredling av kjøtt.,,2026,996514854,https://data.brreg.no/enhetsregisteret/api/enheter/996514854,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
aron-mat-as,ARON-MAT AS,organisasjon,foredling-industri,kjott-egg,NO,Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Videreforedling av kjøtt- og fiskeprodukter og forøvrig å kunne delta i andre selskaper innen samme og tilgrensende bransjer. Videreforedling av kjøtt- og fiskeprodukter og forøvrig å kunne delta i andre selskaper innen samme og tilgrensende bransjer.,,2026,958790880,https://data.brreg.no/enhetsregisteret/api/enheter/958790880,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
ask-spekehus-as,ASK SPEKEHUS AS,organisasjon,foredling-industri,kjott-egg,NO,"Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Produksjon av næringsmidler. Spekemat, spekepølser, pølser og annen relatert virksomhet. Foredle, kjøpe og selge kjøttbaserte varer som spekemat, pølser, kjøtt og alt som naturlig tilhører under dette.",,2026,925921793,https://data.brreg.no/enhetsregisteret/api/enheter/925921793,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
aune-kj-tt-a-s,Aune Kjøtt A/S,organisasjon,foredling-industri,kjott-egg,NO,"Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Foredling og produksjon av kjøtt, samt alt hva herved står i forbindelse, herunder å delta i andre selskaper med lignende formål. Foredling og produksjon av kjøtt, samt alt hva herved står i forbindelse, herunder å delta i andre selskaper med lignende formål.",,2026,847557982,https://data.brreg.no/enhetsregisteret/api/enheter/847557982,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
den-stolte-p-lsemaker-as,DEN STOLTE PØLSEMAKER AS,organisasjon,foredling-industri,kjott-egg,NO,"Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Produksjon og salg av kjøttmat og pølser. Produksjon, innkjøp og salg av næringsmidler, samt ivestere i selskaper som det er naturlig å være endel av innen næringsmiddel kjeden.",,2026,917998833,https://data.brreg.no/enhetsregisteret/api/enheter/917998833,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
bents-viltkj-kken-as,BENTS VILTKJØKKEN AS,organisasjon,foredling-industri,kjott-egg,NO,"Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Produksjon av kjøtt og fjørfevarer. Viltskjæring, produktbehandling og catering.",,2026,932074532,https://data.brreg.no/enhetsregisteret/api/enheter/932074532,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
dalsmo-as,DALSMO AS,organisasjon,foredling-industri,kjott-egg,NO,"Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Jordbruk, oppdrett og husdyrhold, jordbruk - dyrking. Nærings - og nytelesesmidler. Jordbruk, oppdrett og husdyrhold, jordbruk - dyrking. Nærings - og nytelesesmidler.",,2026,929113713,https://data.brreg.no/enhetsregisteret/api/enheter/929113713,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
a-ids-e-as,A. IDSØE AS,organisasjon,foredling-industri,kjott-egg,NO,"Brreg-registrert aktor i foredling-industri/kjott-egg med 10.130 (Produksjon av kjøtt- og fjørfevarer). Produksjon av kjøtt- og fjørfevarer samt kjøp og salg av næringsmidler og det som herved står i forbindelse. Drift av restaurant. Catering og andre tilknyttede tjenester, herunder virksomhet som naturlig står i forbindelse med dette. Produksjon, kjøp og salg av næringsmidler, samt drift av restaurant, catering og andre tilknyttede tjenester, herunder virksomhet som naturlig står i forbindelse med dette.",,2026,925178853,https://data.brreg.no/enhetsregisteret/api/enheter/925178853,registry_snapshot,machine_verified,hoy,2026-07-01,Brreg API validert aktiv enhet 2026-07-01; NACE 10.130; ingen Company-rad funnet i lokal DB ved pre-dedup.
